Date	Average
09/08/2014	95
03/19/2014	105
11/18/2013	120
08/18/2013	85
09/20/2013	95
10/30/2014	120
07/21/2014	267
01/07/2014	95
11/01/2013	135
06/18/2014	195
07/29/2014	255
09/06/2013	95
10/25/2014	120
02/21/2014	105
12/31/2013	105
07/08/2014	190
08/29/2013	95
04/06/2014	105
03/17/2014	105
06/23/2014	213
02/09/2014	105
09/01/2014	100
09/17/2014	110
05/21/2014	125
07/15/2013	105
09/05/2013	105
02/04/2014	95
11/04/2013	135
10/22/2014	133
02/02/2014	98
12/24/2013	105
07/01/2014	207
11/24/2013	135
06/01/2014	125
06/09/2014	157
03/20/2014	105
01/26/2014	95
01/24/2014	95
07/06/2014	245
10/13/2013	135
09/09/2013	95
10/19/2014	125
09/16/2014	110
06/12/2014	190
12/29/2013	105
08/30/2013	95
03/13/2014	105
10/27/2013	135
07/10/2014	230
03/25/2014	105
08/07/2014	190
12/09/2013	105
07/11/2013	105
08/07/2013	105
08/04/2014	210
11/06/2014	120
09/30/2014	117
04/21/2014	125
12/03/2013	105
02/06/2014	95
10/08/2013	125
07/22/2013	125
01/29/2014	105
02/03/2014	98
06/19/2013	115
09/10/2013	95
05/20/2014	125
12/06/2013	105
05/05/2014	123
09/23/2013	95
09/08/2013	95
12/20/2013	105
08/13/2013	105
12/10/2013	105
08/01/2014	217
08/06/2013	95
11/21/2013	135
11/07/2014	120
06/16/2013	110
06/20/2013	115
04/10/2014	105
05/26/2014	123
07/09/2013	105
10/14/2014	120
03/06/2014	105
04/28/2014	125
11/20/2013	120
11/26/2013	125
10/08/2014	127
05/04/2014	125
05/02/2014	125
07/24/2014	260
07/11/2014	210
07/22/2014	257
09/24/2014	110
12/11/2013	105
10/26/2014	120
12/12/2013	105
09/11/2013	95
02/20/2014	105
08/27/2013	75
02/14/2014	105
02/17/2014	105
10/02/2013	105
01/13/2014	95
04/29/2014	125
01/06/2014	95
07/28/2013	105
09/22/2014	110
11/13/2013	140
11/01/2014	125
03/28/2014	105
02/13/2014	105
08/03/2014	210
08/02/2013	105
03/31/2014	105
11/29/2013	125
11/08/2014	120
05/23/2014	125
10/28/2014	125
03/24/2014	105
08/23/2014	110
09/13/2014	90
04/30/2014	125
10/31/2014	117
06/27/2014	197
06/25/2014	193
08/19/2013	85
06/03/2014	130
11/05/2013	135
08/01/2013	105
09/28/2014	117
08/17/2014	117
01/27/2014	95
10/24/2014	129
09/15/2014	110
10/12/2013	135
10/27/2014	125
08/15/2013	95
04/07/2014	105
01/14/2014	95
06/08/2014	155
08/25/2014	110
10/25/2013	135
12/13/2013	115
06/04/2014	130
10/20/2013	135
06/25/2013	120
11/07/2013	135
05/18/2014	125
09/24/2013	95
10/15/2013	130
03/11/2014	105
08/04/2013	105
01/28/2014	98
08/26/2013	75
03/26/2014	103
12/04/2013	105
10/10/2013	110
01/09/2014	105
07/16/2013	105
02/08/2014	140
09/09/2014	90
03/07/2014	105
04/15/2014	105
10/30/2013	135
07/15/2014	235
06/26/2014	197
01/02/2014	105
06/28/2013	115
03/27/2014	105
07/21/2013	115
01/22/2014	95
10/23/2013	135
07/23/2014	255
09/21/2014	105
09/04/2013	95
03/21/2014	105
04/23/2014	120
04/27/2014	125
09/16/2013	95
01/03/2014	105
01/05/2014	95
11/03/2013	135
06/17/2014	197
08/06/2014	190
11/15/2013	125
01/08/2014	105
04/17/2014	105
07/31/2014	240
09/15/2013	95
09/19/2014	110
06/11/2014	157
06/10/2014	157
11/17/2013	113
12/01/2013	105
08/25/2013	85
10/13/2014	110
02/24/2014	105
07/14/2014	210
12/19/2013	105
06/20/2014	205
02/18/2014	105
11/25/2013	135
07/19/2013	135
10/11/2013	133
07/30/2014	255
07/18/2014	230
05/25/2014	125
10/12/2014	125
07/12/2013	105
04/20/2014	125
02/23/2014	105
05/15/2014	125
08/08/2014	190
08/28/2014	120
08/12/2014	113
06/18/2013	115
05/27/2014	125
10/07/2013	117
07/02/2014	210
07/23/2013	105
01/01/2014	105
02/25/2014	105
11/22/2013	135
09/07/2014	95
05/19/2014	125
10/09/2014	125
09/30/2013	105
06/17/2013	120
10/16/2014	125
07/24/2013	105
07/10/2013	115
10/20/2014	125
05/30/2014	125
07/31/2013	105
11/06/2013	135
09/12/2013	95
07/28/2014	253
06/27/2013	115
05/07/2014	123
07/18/2013	135
11/03/2014	110
02/10/2014	105
09/14/2014	90
07/13/2014	210
07/05/2013	105
11/10/2014	117
05/12/2014	125
10/17/2014	120
12/23/2013	105
09/18/2014	110
03/09/2014	105
09/03/2013	95
10/01/2013	105
08/13/2014	120
05/11/2014	123
07/04/2013	105
04/04/2014	105
08/09/2014	190
07/25/2013	105
06/21/2013	115
01/21/2014	105
08/15/2014	120
10/29/2013	135
08/16/2013	85
08/23/2013	95
08/18/2014	110
11/27/2013	125
04/16/2014	105
11/09/2014	120
06/30/2014	190
03/14/2014	105
10/23/2014	140
