Date	Average
09/08/2014	38
03/19/2014	39
11/18/2013	37
08/18/2013	33
09/20/2013	38
10/30/2014	39
07/21/2014	43
01/07/2014	38
11/01/2013	39
07/29/2014	38
09/06/2013	38
02/21/2014	48
12/31/2013	38
08/29/2013	38
04/06/2014	53
03/17/2014	39
02/09/2014	38
09/01/2014	43
09/17/2014	42
05/21/2014	58
07/15/2013	33
09/05/2013	38
02/04/2014	38
11/04/2013	38
10/22/2014	45
02/02/2014	38
12/24/2013	38
11/24/2013	38
03/20/2014	39
01/26/2014	37
01/24/2014	38
09/09/2013	38
10/19/2014	31
09/16/2014	39
12/29/2013	38
08/30/2013	38
03/13/2014	43
10/27/2013	38
03/25/2014	39
08/07/2014	43
12/09/2013	38
07/11/2013	33
08/07/2013	43
08/04/2014	38
11/06/2014	29
09/30/2014	43
04/21/2014	46
12/03/2013	38
02/06/2014	38
10/08/2013	38
07/22/2013	30
01/29/2014	38
02/03/2014	38
09/10/2013	38
05/20/2014	58
12/06/2013	38
05/05/2014	58
09/23/2013	38
09/08/2013	38
12/20/2013	38
08/13/2013	38
12/10/2013	38
08/01/2014	38
08/06/2013	38
11/21/2013	33
11/07/2014	33
04/10/2014	48
05/26/2014	57
07/09/2013	33
10/14/2014	43
03/06/2014	48
04/28/2014	58
11/20/2013	38
11/26/2013	38
10/08/2014	38
05/04/2014	57
05/02/2014	58
07/24/2014	39
07/22/2014	43
09/24/2014	38
12/11/2013	38
10/26/2014	38
12/12/2013	38
09/11/2013	38
02/20/2014	48
08/27/2013	38
02/14/2014	48
02/17/2014	48
10/02/2013	33
01/13/2014	38
04/29/2014	58
01/06/2014	38
07/28/2013	29
11/13/2013	37
11/01/2014	32
03/28/2014	39
02/13/2014	48
08/03/2014	38
08/02/2013	33
03/31/2014	34
11/29/2013	38
11/08/2014	33
05/23/2014	58
10/28/2014	38
03/24/2014	39
08/23/2014	48
09/13/2014	38
04/30/2014	58
10/31/2014	39
08/19/2013	38
11/05/2013	38
08/01/2013	33
09/28/2014	11
01/27/2014	38
10/24/2014	43
09/15/2014	43
10/12/2013	38
04/07/2014	44
01/14/2014	38
08/25/2014	43
10/25/2013	38
12/13/2013	38
10/20/2013	33
06/25/2013	30
11/07/2013	39
05/18/2014	58
09/24/2013	38
03/11/2014	39
08/04/2013	33
01/28/2014	38
08/26/2013	38
03/26/2014	43
12/04/2013	38
10/10/2013	33
01/09/2014	38
07/16/2013	38
09/09/2014	38
03/07/2014	48
04/15/2014	43
10/30/2013	38
01/02/2014	38
06/28/2013	38
03/27/2014	39
07/21/2013	33
01/22/2014	38
10/23/2013	38
09/21/2014	39
09/04/2013	38
03/21/2014	39
04/23/2014	47
04/27/2014	47
09/16/2013	38
01/03/2014	38
01/05/2014	38
11/03/2013	39
08/06/2014	38
01/08/2014	38
04/17/2014	43
07/31/2014	38
09/15/2013	38
09/19/2014	39
11/17/2013	38
12/01/2013	38
08/25/2013	39
10/13/2014	43
02/24/2014	48
12/19/2013	38
02/18/2014	48
11/25/2013	38
07/19/2013	33
10/11/2013	33
07/30/2014	38
05/25/2014	58
10/12/2014	43
07/12/2013	33
04/20/2014	47
02/23/2014	48
05/15/2014	58
08/08/2014	43
08/28/2014	43
08/12/2014	43
05/27/2014	57
10/07/2013	38
07/23/2013	33
01/01/2014	38
02/25/2014	48
11/22/2013	38
09/07/2014	33
05/19/2014	58
10/09/2014	43
09/30/2013	38
10/16/2014	48
07/24/2013	29
07/10/2013	33
10/20/2014	34
07/31/2013	33
11/06/2013	39
09/12/2013	38
07/28/2014	36
06/27/2013	38
05/07/2014	57
07/18/2013	33
11/03/2014	33
02/10/2014	38
07/05/2013	33
11/10/2014	33
05/12/2014	58
10/17/2014	48
12/23/2013	38
09/18/2014	39
03/09/2014	39
09/03/2013	38
10/01/2013	38
08/13/2014	43
05/11/2014	57
07/04/2013	29
04/04/2014	48
08/09/2014	43
07/25/2013	29
01/21/2014	38
10/29/2013	38
08/16/2013	38
08/23/2013	38
08/18/2014	43
11/27/2013	38
04/16/2014	43
11/09/2014	31
03/14/2014	39
10/23/2014	48
08/31/2014	43
07/14/2013	33
01/20/2014	38
02/07/2014	38
03/23/2014	39
11/14/2013	38
09/02/2014	43
08/21/2014	48
12/08/2013	38
07/29/2013	33
09/27/2013	38
05/06/2014	58
11/28/2013	38
11/02/2014	34
05/08/2014	58
08/11/2014	43
07/27/2014	38
03/03/2014	48
04/11/2014	48
09/22/2013	38
07/25/2014	36
08/02/2014	38
09/23/2014	38
12/27/2013	38
08/05/2014	38
09/05/2014	38
10/24/2013	39
01/17/2014	38
