Date	Average
03/19/2014	38
10/30/2014	97
01/07/2014	58
02/21/2014	33
12/31/2013	63
04/06/2014	29
03/17/2014	38
02/09/2014	33
02/04/2014	38
11/04/2013	95
02/02/2014	33
12/24/2013	58
11/24/2013	85
03/20/2014	38
01/26/2014	38
01/24/2014	33
12/29/2013	55
03/13/2014	39
03/25/2014	38
12/09/2013	75
04/21/2014	29
12/03/2013	75
02/06/2014	38
10/08/2013	95
01/29/2014	38
02/03/2014	38
12/06/2013	75
05/05/2014	39
12/20/2013	55
12/10/2013	65
04/10/2014	43
03/06/2014	38
04/28/2014	29
11/26/2013	85
05/04/2014	43
05/02/2014	39
12/11/2013	65
12/12/2013	65
02/20/2014	39
02/14/2014	38
02/17/2014	39
10/02/2013	95
01/13/2014	48
04/29/2014	39
01/06/2014	58
03/28/2014	19
02/13/2014	38
03/31/2014	34
11/29/2013	85
03/24/2014	38
04/30/2014	39
01/27/2014	38
04/07/2014	26
01/14/2014	58
10/25/2013	75
12/13/2013	67
10/20/2013	75
03/11/2014	38
01/28/2014	33
03/26/2014	23
12/04/2013	78
10/10/2013	95
01/09/2014	53
03/07/2014	38
04/15/2014	19
01/02/2014	58
03/27/2014	19
01/22/2014	38
10/23/2013	65
03/21/2014	38
04/23/2014	29
04/27/2014	29
01/03/2014	58
01/05/2014	58
11/03/2013	95
01/08/2014	58
04/17/2014	19
12/01/2013	78
02/24/2014	38
12/19/2013	58
02/18/2014	38
11/25/2013	78
10/11/2013	95
04/20/2014	29
02/23/2014	43
10/07/2013	95
01/01/2014	63
02/25/2014	37
11/22/2013	95
09/30/2013	95
05/07/2014	39
02/10/2014	33
12/23/2013	48
03/09/2014	39
10/01/2013	95
04/04/2014	32
01/21/2014	39
10/29/2013	85
11/27/2013	85
04/16/2014	19
03/14/2014	39
01/20/2014	39
02/07/2014	33
03/23/2014	38
12/08/2013	75
05/06/2014	39
11/28/2013	85
05/08/2014	39
03/03/2014	38
04/11/2014	20
12/27/2013	63
10/24/2013	75
01/17/2014	48
12/16/2013	65
03/05/2014	43
12/26/2013	65
02/16/2014	39
01/12/2014	53
04/13/2014	19
04/03/2014	29
01/10/2014	58
12/22/2013	58
12/15/2013	75
10/22/2013	65
11/10/2013	85
03/10/2014	38
10/21/2013	65
05/13/2014	48
12/02/2013	75
02/05/2014	38
01/16/2014	53
04/01/2014	29
04/18/2014	23
12/18/2013	75
04/25/2014	29
01/19/2014	39
04/22/2014	29
03/12/2014	38
02/12/2014	38
10/04/2013	85
02/26/2014	38
03/18/2014	38
02/11/2014	33
01/23/2014	39
09/29/2013	95
04/02/2014	29
11/11/2013	85
10/28/2013	95
12/05/2013	85
05/09/2014	39
02/28/2014	38
11/12/2013	95
10/09/2013	95
