Date	Average
09/08/2014	66
03/19/2014	155
11/18/2013	90
08/18/2013	63
09/20/2013	65
10/30/2014	80
07/21/2014	137
01/07/2014	137
11/01/2013	55
06/18/2014	123
07/29/2014	136
09/06/2013	65
10/25/2014	63
02/21/2014	155
12/31/2013	135
07/08/2014	137
08/29/2013	63
04/06/2014	155
03/17/2014	155
06/23/2014	137
02/09/2014	156
09/01/2014	63
09/17/2014	67
05/21/2014	137
07/15/2013	65
09/05/2013	68
02/04/2014	155
11/04/2013	55
10/22/2014	68
02/02/2014	143
12/24/2013	133
07/01/2014	137
11/24/2013	55
06/01/2014	137
06/09/2014	127
03/20/2014	155
01/26/2014	155
01/24/2014	160
07/06/2014	137
10/13/2013	55
09/09/2013	65
10/19/2014	67
09/16/2014	67
06/12/2014	123
12/29/2013	135
08/30/2013	68
03/13/2014	157
10/27/2013	55
07/10/2014	137
03/25/2014	155
08/07/2014	135
12/09/2013	125
07/11/2013	65
08/07/2013	65
08/04/2014	137
11/06/2014	77
09/30/2014	67
04/21/2014	157
12/03/2013	105
02/06/2014	155
10/08/2013	55
07/22/2013	65
01/29/2014	155
02/03/2014	155
06/19/2013	55
09/10/2013	68
05/20/2014	133
12/06/2013	105
05/05/2014	147
09/23/2013	65
09/08/2013	68
12/20/2013	127
08/13/2013	63
12/10/2013	127
08/01/2014	137
08/06/2013	65
11/21/2013	55
11/07/2014	77
06/16/2013	53
06/20/2013	55
04/10/2014	160
05/26/2014	137
07/09/2013	65
10/14/2014	67
03/06/2014	157
04/28/2014	157
11/20/2013	89
11/26/2013	55
10/08/2014	67
05/04/2014	147
05/02/2014	145
07/24/2014	137
07/11/2014	137
07/22/2014	137
09/24/2014	67
12/11/2013	125
10/26/2014	67
12/12/2013	125
09/11/2013	68
02/20/2014	155
08/27/2013	68
02/14/2014	153
02/17/2014	145
10/02/2013	55
01/13/2014	157
04/29/2014	157
01/06/2014	135
07/28/2013	65
09/22/2014	67
11/13/2013	75
11/01/2014	76
03/28/2014	155
02/13/2014	155
08/03/2014	137
08/02/2013	65
03/31/2014	147
11/29/2013	105
11/08/2014	76
05/23/2014	133
10/28/2014	77
03/24/2014	156
08/23/2014	76
09/13/2014	66
04/30/2014	147
10/31/2014	77
06/27/2014	130
06/25/2014	137
08/19/2013	63
06/03/2014	137
11/05/2013	55
08/01/2013	75
09/28/2014	60
08/17/2014	85
