Date	Average
09/08/2014	43
03/19/2014	48
11/18/2013	63
08/18/2013	55
09/20/2013	55
10/30/2014	63
07/21/2014	85
01/07/2014	45
11/01/2013	55
06/18/2014	75
07/29/2014	85
09/06/2013	65
10/25/2014	55
02/21/2014	45
12/31/2013	45
07/08/2014	85
08/29/2013	55
04/06/2014	55
03/17/2014	48
06/23/2014	85
02/09/2014	45
09/01/2014	53
09/17/2014	43
05/21/2014	125
07/15/2013	45
09/05/2013	65
02/04/2014	45
11/04/2013	55
10/22/2014	58
02/02/2014	45
12/24/2013	45
07/01/2014	85
11/24/2013	48
06/01/2014	95
06/09/2014	90
03/20/2014	48
01/26/2014	45
01/24/2014	45
07/06/2014	85
10/13/2013	65
09/09/2013	55
10/19/2014	53
09/16/2014	45
06/12/2014	85
12/29/2013	48
08/30/2013	55
03/13/2014	48
10/27/2013	55
07/10/2014	85
03/25/2014	65
08/07/2014	75
12/09/2013	45
07/11/2013	55
08/07/2013	55
08/04/2014	75
11/06/2014	58
09/30/2014	55
04/21/2014	75
12/03/2013	45
02/06/2014	45
10/08/2013	55
07/22/2013	55
01/29/2014	45
02/03/2014	45
06/19/2013	75
09/10/2013	57
05/20/2014	115
12/06/2013	45
05/05/2014	93
09/23/2013	57
09/08/2013	55
12/20/2013	45
08/13/2013	45
12/10/2013	45
08/01/2014	65
08/06/2013	55
11/21/2013	58
11/07/2014	58
06/16/2013	75
06/20/2013	75
04/10/2014	65
05/26/2014	107
07/09/2013	45
10/14/2014	53
03/06/2014	48
04/28/2014	95
11/20/2013	58
11/26/2013	55
10/08/2014	53
05/04/2014	97
05/02/2014	95
07/24/2014	85
07/11/2014	85
07/22/2014	85
09/24/2014	45
12/11/2013	45
10/26/2014	57
12/12/2013	45
09/11/2013	55
02/20/2014	45
08/27/2013	55
02/14/2014	45
02/17/2014	45
10/02/2013	48
01/13/2014	45
04/29/2014	95
01/06/2014	45
07/28/2013	55
09/22/2014	55
11/13/2013	55
11/01/2014	63
03/28/2014	65
02/13/2014	45
08/03/2014	75
08/02/2013	55
03/31/2014	58
11/29/2013	53
11/08/2014	60
05/23/2014	115
10/28/2014	63
03/24/2014	48
08/23/2014	65
09/13/2014	58
04/30/2014	95
10/31/2014	63
06/27/2014	85
06/25/2014	85
08/19/2013	55
06/03/2014	83
11/05/2013	55
08/01/2013	55
09/28/2014	53
08/17/2014	65
01/27/2014	53
10/24/2014	58
09/15/2014	43
10/12/2013	55
10/27/2014	63
08/15/2013	55
04/07/2014	58
01/14/2014	45
06/08/2014	85
08/25/2014	65
10/25/2013	55
12/13/2013	43
06/04/2014	85
10/20/2013	55
06/25/2013	65
11/07/2013	55
05/18/2014	85
09/24/2013	53
10/15/2013	55
03/11/2014	48
08/04/2013	55
01/28/2014	45
08/26/2013	55
03/26/2014	65
12/04/2013	45
10/10/2013	55
01/09/2014	43
07/16/2013	55
02/08/2014	75
09/09/2014	50
03/07/2014	58
04/15/2014	65
10/30/2013	55
07/15/2014	85
06/26/2014	85
01/02/2014	43
06/28/2013	55
03/27/2014	65
07/21/2013	55
01/22/2014	45
10/23/2013	55
07/23/2014	85
09/21/2014	53
09/04/2013	65
03/21/2014	48
04/23/2014	75
04/27/2014	85
09/16/2013	55
01/03/2014	45
01/05/2014	45
11/03/2013	58
06/17/2014	75
08/06/2014	65
11/15/2013	55
01/08/2014	45
04/17/2014	65
07/31/2014	85
09/15/2013	55
09/19/2014	45
06/11/2014	85
06/10/2014	85
11/17/2013	63
12/01/2013	45
08/25/2013	55
10/13/2014	58
02/24/2014	55
07/14/2014	85
12/19/2013	45
06/20/2014	75
02/18/2014	45
11/25/2013	55
07/19/2013	55
10/11/2013	55
07/30/2014	85
07/18/2014	85
05/25/2014	115
10/12/2014	52
07/12/2013	55
04/20/2014	85
02/23/2014	45
05/15/2014	85
08/08/2014	65
08/28/2014	48
08/12/2014	65
06/18/2013	75
05/27/2014	95
10/07/2013	55
07/02/2014	85
07/23/2013	55
01/01/2014	45
02/25/2014	45
11/22/2013	53
09/07/2014	48
05/19/2014	115
10/09/2014	53
09/30/2013	48
06/17/2013	75
10/16/2014	53
07/24/2013	55
07/10/2013	55
10/20/2014	53
05/30/2014	95
07/31/2013	55
11/06/2013	55
09/12/2013	55
07/28/2014	95
06/27/2013	55
05/07/2014	85
07/18/2013	55
11/03/2014	58
02/10/2014	45
09/14/2014	58
07/13/2014	85
07/05/2013	45
11/10/2014	53
05/12/2014	85
10/17/2014	53
12/23/2013	45
09/18/2014	45
03/09/2014	48
09/03/2013	55
10/01/2013	48
08/13/2014	65
05/11/2014	87
07/04/2013	45
04/04/2014	63
08/09/2014	65
07/25/2013	55
06/21/2013	75
01/21/2014	45
08/15/2014	65
10/29/2013	55
08/16/2013	55
08/23/2013	55
08/18/2014	65
11/27/2013	45
04/16/2014	65
11/09/2014	60
06/30/2014	85
03/14/2014	48
10/23/2014	60
10/16/2013	57
08/31/2014	55
07/14/2013	45
01/20/2014	45
02/07/2014	45
06/15/2014	85
03/23/2014	55
11/14/2013	55
09/02/2014	55
08/21/2014	65
12/08/2013	45
07/29/2013	55
09/27/2013	48
08/19/2014	65
05/06/2014	95
07/04/2014	85
08/20/2014	65
11/28/2013	55
11/02/2014	63
05/08/2014	93
06/16/2014	85
08/11/2014	65
07/27/2014	77
03/03/2014	48
07/05/2014	85
04/11/2014	65
09/22/2013	55
07/07/2014	85
07/25/2014	85
08/02/2014	65
09/23/2014	47
12/27/2013	45
08/05/2014	65
09/05/2014	45
10/24/2013	55
10/14/2013	65
01/17/2014	45
12/16/2013	45
03/05/2014	48
12/26/2013	45
02/16/2014	45
07/02/2013	45
01/12/2014	45
07/16/2014	85
04/13/2014	65
04/03/2014	65
06/06/2014	90
08/26/2014	55
07/01/2013	45
09/01/2013	55
10/15/2014	53
01/10/2014	45
08/29/2014	55
12/22/2013	45
11/04/2014	58
12/15/2013	45
11/16/2013	55
09/29/2014	53
10/22/2013	55
09/11/2014	58
11/10/2013	55
03/10/2014	48
05/28/2014	95
09/19/2013	55
10/17/2013	55
11/05/2014	58
10/31/2013	55
05/22/2014	125
08/10/2014	65
09/26/2013	48
08/14/2014	65
10/21/2013	55
05/13/2014	87
09/12/2014	55
09/06/2014	48
05/16/2014	95
07/20/2014	83
06/29/2014	85
12/02/2013	55
07/17/2014	85
02/05/2014	45
01/16/2014	45
07/09/2014	85
08/22/2014	65
04/01/2014	55
10/29/2014	65
04/18/2014	87
06/19/2014	75
09/17/2013	55
09/02/2013	55
08/24/2014	65
12/18/2013	45
04/25/2014	85
10/21/2014	53
01/19/2014	48
04/22/2014	75
09/25/2013	55
08/27/2014	55
07/03/2014	85
09/03/2014	55
03/12/2014	48
08/14/2013	55
09/13/2013	55
02/12/2014	45
10/04/2013	45
08/05/2013	57
02/26/2014	45
03/18/2014	48
06/24/2014	85
10/03/2013	48
09/04/2014	55
07/03/2013	45
09/20/2014	53
06/13/2014	85
02/11/2014	45
08/16/2014	65
01/23/2014	45
07/26/2013	55
09/29/2013	48
10/10/2014	53
06/30/2013	45
07/30/2013	55
04/02/2014	55
11/11/2013	55
10/28/2013	55
09/26/2014	53
07/17/2013	55
07/12/2014	85
04/09/2014	65
12/05/2013	45
06/05/2014	80
10/06/2013	45
07/26/2014	77
05/09/2014	85
08/08/2013	55
02/28/2014	53
06/02/2014	85
09/10/2014	53
06/26/2013	65
11/12/2013	55
10/09/2013	55
