Date	Average
03/19/2014	43
11/18/2013	36
09/20/2013	75
10/30/2014	23
01/07/2014	43
11/01/2013	23
09/06/2013	75
10/25/2014	43
02/21/2014	58
12/31/2013	43
04/06/2014	32
03/17/2014	47
02/09/2014	33
05/21/2014	58
09/05/2013	78
02/04/2014	33
11/04/2013	33
10/22/2014	33
02/02/2014	33
12/24/2013	48
11/24/2013	33
06/01/2014	39
06/09/2014	39
03/20/2014	38
01/26/2014	32
01/24/2014	33
10/13/2013	58
09/09/2013	85
10/19/2014	31
06/12/2014	39
12/29/2013	39
03/13/2014	48
10/27/2013	28
03/25/2014	38
12/09/2013	45
11/06/2014	18
09/30/2014	87
04/21/2014	33
12/03/2013	38
02/06/2014	33
10/08/2013	33
01/29/2014	33
02/03/2014	38
09/10/2013	85
05/20/2014	58
12/06/2013	43
05/05/2014	38
09/23/2013	73
09/08/2013	85
12/20/2013	43
12/10/2013	45
11/21/2013	33
11/07/2014	28
04/10/2014	33
10/14/2014	67
03/06/2014	38
04/28/2014	38
11/26/2013	28
10/08/2014	77
05/04/2014	42
05/02/2014	43
09/24/2014	87
12/11/2013	43
10/26/2014	42
12/12/2013	48
09/11/2013	85
02/20/2014	59
02/14/2014	38
02/17/2014	58
10/02/2013	33
01/13/2014	43
04/29/2014	38
01/06/2014	43
09/22/2014	95
11/13/2013	32
11/01/2014	18
03/28/2014	38
02/13/2014	38
03/31/2014	38
11/29/2013	38
11/08/2014	28
10/28/2014	38
03/24/2014	38
04/30/2014	33
10/31/2014	22
06/03/2014	39
11/05/2013	38
09/28/2014	41
01/27/2014	36
10/24/2014	32
10/12/2013	43
10/27/2014	38
04/07/2014	30
01/14/2014	43
06/08/2014	39
10/25/2013	28
12/13/2013	48
06/04/2014	43
10/20/2013	14
11/07/2013	45
05/18/2014	39
09/24/2013	65
03/11/2014	43
01/28/2014	33
03/26/2014	38
12/04/2013	41
10/10/2013	28
01/09/2014	38
03/07/2014	38
04/15/2014	38
10/30/2013	23
01/02/2014	48
03/27/2014	33
01/22/2014	38
10/23/2013	23
09/04/2013	95
03/21/2014	42
04/23/2014	33
04/27/2014	33
09/16/2013	75
01/03/2014	48
01/05/2014	48
11/03/2013	23
11/15/2013	38
01/08/2014	43
04/17/2014	38
09/15/2013	85
06/11/2014	39
06/10/2014	39
11/17/2013	34
12/01/2013	38
10/13/2014	58
02/24/2014	48
12/19/2013	48
02/18/2014	58
11/25/2013	33
10/11/2013	23
10/12/2014	67
04/20/2014	38
02/23/2014	53
10/07/2013	33
01/01/2014	43
02/25/2014	48
11/22/2013	38
09/07/2014	88
05/19/2014	43
10/09/2014	67
09/30/2013	38
10/16/2014	53
10/20/2014	28
11/06/2013	48
09/12/2013	85
05/07/2014	43
11/03/2014	25
02/10/2014	33
09/14/2014	93
11/10/2014	20
05/12/2014	48
10/17/2014	43
12/23/2013	48
03/09/2014	48
10/01/2013	33
05/11/2014	48
04/04/2014	32
01/21/2014	43
10/29/2013	23
11/27/2013	28
04/16/2014	38
11/09/2014	21
03/14/2014	45
10/23/2014	35
10/16/2013	67
01/20/2014	33
02/07/2014	33
03/23/2014	38
11/14/2013	33
12/08/2013	43
09/27/2013	63
05/06/2014	38
11/28/2013	33
11/02/2014	18
05/08/2014	42
03/03/2014	45
04/11/2014	30
09/22/2013	75
09/23/2014	87
12/27/2013	47
10/24/2013	33
12/16/2013	45
03/05/2014	40
12/26/2013	48
01/12/2014	39
04/13/2014	33
04/03/2014	32
06/06/2014	39
01/10/2014	43
12/22/2013	43
11/04/2014	23
12/15/2013	48
11/16/2013	33
09/29/2014	77
10/22/2013	18
11/10/2013	31
03/10/2014	43
09/19/2013	85
10/17/2013	43
11/05/2014	23
10/31/2013	23
05/22/2014	48
09/26/2013	68
10/21/2013	14
05/13/2014	47
12/02/2013	33
02/05/2014	33
08/12/2013	33
04/01/2014	32
10/29/2014	33
04/18/2014	38
09/17/2013	95
09/02/2013	78
12/18/2013	48
04/25/2014	33
10/21/2014	33
01/19/2014	38
04/22/2014	38
09/25/2013	68
03/12/2014	43
09/13/2013	85
02/12/2014	38
10/04/2013	33
02/26/2014	43
03/18/2014	42
10/03/2013	33
01/23/2014	38
09/29/2013	43
10/10/2014	57
04/02/2014	33
11/11/2013	34
10/28/2013	23
09/26/2014	77
04/09/2014	33
12/05/2013	48
06/05/2014	39
10/06/2013	43
05/09/2014	43
02/28/2014	43
06/02/2014	39
11/12/2013	34
10/09/2013	23
