Date	Average
03/19/2014	90
04/06/2014	55
03/17/2014	95
03/20/2014	87
03/13/2014	115
03/25/2014	58
04/21/2014	75
04/10/2014	77
03/06/2014	145
04/28/2014	97
05/04/2014	103
05/02/2014	95
04/29/2014	95
03/28/2014	55
03/31/2014	85
03/24/2014	55
04/30/2014	97
04/07/2014	55
03/11/2014	110
03/26/2014	58
03/07/2014	155
04/15/2014	65
03/27/2014	57
03/21/2014	57
04/23/2014	65
04/27/2014	65
04/17/2014	75
04/20/2014	58
03/09/2014	155
04/04/2014	53
04/16/2014	65
03/14/2014	110
03/23/2014	58
04/11/2014	65
03/05/2014	133
04/13/2014	65
04/03/2014	47
03/10/2014	155
04/01/2014	48
04/18/2014	75
04/25/2014	67
04/22/2014	75
03/12/2014	117
03/18/2014	95
04/02/2014	48
04/09/2014	65
02/28/2014	195
