Date	Average
09/08/2014	42
03/19/2014	97
11/18/2013	80
08/18/2013	23
09/20/2013	38
10/30/2014	77
07/21/2014	33
01/07/2014	95
11/01/2013	55
06/18/2014	22
07/29/2014	33
09/06/2013	23
10/25/2014	63
02/21/2014	97
12/31/2013	75
07/08/2014	28
08/29/2013	28
03/17/2014	97
06/23/2014	20
02/09/2014	96
09/01/2014	41
09/17/2014	58
05/21/2014	40
07/15/2013	38
09/05/2013	28
02/04/2014	85
11/04/2013	65
10/22/2014	58
02/02/2014	85
12/24/2013	77
07/01/2014	22
11/24/2013	75
06/01/2014	23
06/09/2014	23
03/20/2014	97
01/26/2014	83
01/24/2014	97
07/06/2014	21
09/09/2013	28
10/19/2014	48
09/16/2014	58
06/12/2014	22
12/29/2013	85
08/30/2013	28
03/13/2014	105
10/27/2013	95
07/10/2014	30
03/25/2014	83
08/07/2014	27
12/09/2013	65
07/11/2013	38
08/07/2013	28
08/04/2014	33
11/06/2014	77
09/30/2014	53
04/21/2014	67
12/03/2013	65
02/06/2014	76
10/08/2013	39
07/22/2013	19
01/29/2014	97
02/03/2014	85
06/19/2013	23
09/10/2013	38
05/20/2014	45
12/06/2013	75
05/05/2014	28
09/23/2013	33
09/08/2013	28
12/20/2013	95
08/13/2013	19
12/10/2013	73
08/01/2014	33
08/06/2013	26
11/21/2013	78
11/07/2014	87
06/16/2013	15
06/20/2013	23
04/10/2014	87
05/26/2014	30
07/09/2013	43
10/14/2014	38
03/06/2014	117
04/28/2014	48
11/20/2013	85
11/26/2013	75
10/08/2014	40
05/04/2014	30
05/02/2014	48
07/24/2014	37
07/11/2014	33
07/22/2014	33
09/24/2014	58
12/11/2013	65
12/12/2013	67
09/11/2013	33
02/20/2014	87
08/27/2013	28
02/14/2014	87
02/17/2014	97
10/02/2013	43
01/13/2014	103
04/29/2014	53
01/06/2014	85
07/28/2013	19
09/22/2014	58
11/13/2013	85
11/01/2014	65
03/28/2014	73
02/13/2014	87
08/03/2014	32
08/02/2013	24
03/31/2014	70
11/29/2013	65
11/08/2014	76
05/23/2014	33
03/24/2014	84
08/23/2014	29
09/13/2014	53
04/30/2014	48
10/31/2014	77
06/27/2014	17
06/25/2014	18
08/19/2013	23
06/03/2014	21
08/01/2013	22
09/28/2014	45
08/17/2014	23
01/27/2014	85
10/24/2014	58
09/15/2014	53
10/12/2013	43
10/27/2014	55
08/15/2013	28
04/07/2014	80
01/14/2014	127
06/08/2014	25
08/25/2014	33
10/25/2013	85
12/13/2013	66
06/04/2014	28
10/20/2013	45
06/25/2013	28
11/07/2013	78
05/18/2014	40
09/24/2013	33
03/11/2014	105
08/04/2013	24
01/28/2014	95
08/26/2013	28
03/26/2014	87
12/04/2013	65
10/10/2013	38
01/09/2014	95
07/16/2013	43
02/08/2014	85
09/09/2014	43
03/07/2014	117
04/15/2014	57
10/30/2013	85
07/15/2014	38
06/26/2014	18
01/02/2014	75
06/28/2013	28
03/27/2014	78
07/21/2013	20
01/22/2014	87
10/23/2013	38
07/23/2014	34
09/21/2014	63
09/04/2013	28
03/21/2014	110
04/23/2014	53
04/27/2014	57
09/16/2013	38
01/03/2014	85
01/05/2014	77
11/03/2013	65
06/17/2014	23
08/06/2014	27
11/15/2013	78
01/08/2014	87
04/17/2014	57
07/31/2014	33
09/15/2013	38
09/19/2014	58
06/11/2014	21
06/10/2014	20
11/17/2013	78
12/01/2013	75
08/25/2013	28
10/13/2014	48
02/24/2014	87
07/14/2014	38
12/19/2013	97
06/20/2014	24
02/18/2014	75
11/25/2013	65
07/19/2013	24
10/11/2013	43
07/30/2014	33
07/18/2014	33
05/25/2014	37
10/12/2014	28
07/12/2013	38
04/20/2014	90
02/23/2014	87
05/15/2014	40
08/08/2014	20
08/28/2014	39
08/12/2014	20
06/18/2013	19
05/27/2014	23
10/07/2013	48
07/02/2014	20
07/23/2013	19
01/01/2014	85
02/25/2014	83
11/22/2013	75
09/07/2014	48
05/19/2014	40
10/09/2014	33
09/30/2013	43
06/17/2013	18
10/16/2014	43
07/24/2013	19
07/10/2013	43
10/20/2014	53
05/30/2014	19
07/31/2013	22
11/06/2013	85
09/12/2013	33
07/28/2014	38
06/27/2013	28
05/07/2014	33
07/18/2013	28
11/03/2014	67
02/10/2014	85
09/14/2014	45
07/13/2014	33
07/05/2013	38
11/10/2014	68
05/12/2014	40
10/17/2014	48
12/23/2013	75
09/18/2014	58
03/09/2014	117
09/03/2013	33
10/01/2013	41
08/13/2014	22
05/11/2014	38
07/04/2013	28
04/04/2014	75
08/09/2014	20
07/25/2013	22
06/21/2013	20
01/21/2014	97
08/15/2014	22
10/29/2013	95
08/16/2013	28
08/23/2013	28
08/18/2014	20
11/27/2013	65
04/16/2014	77
11/09/2014	69
06/30/2014	19
03/14/2014	105
10/23/2014	60
10/16/2013	68
08/31/2014	28
07/14/2013	33
01/20/2014	97
02/07/2014	107
06/15/2014	22
03/23/2014	97
11/14/2013	75
09/02/2014	38
08/21/2014	22
12/08/2013	73
07/29/2013	21
09/27/2013	38
08/19/2014	22
05/06/2014	22
07/04/2014	27
08/20/2014	28
11/28/2013	65
11/02/2014	78
05/08/2014	38
06/16/2014	22
08/11/2014	23
07/27/2014	37
03/03/2014	95
07/05/2014	28
04/11/2014	48
09/22/2013	32
07/07/2014	27
07/25/2014	33
08/02/2014	33
09/23/2014	53
12/27/2013	87
08/05/2014	33
09/05/2014	43
10/24/2013	95
01/17/2014	95
