Date	Average
09/08/2014	29
03/19/2014	40
11/18/2013	47
08/18/2013	33
09/20/2013	28
10/30/2014	33
07/21/2014	28
01/07/2014	33
11/01/2013	58
06/18/2014	28
07/29/2014	28
09/06/2013	33
10/25/2014	33
02/21/2014	43
12/31/2013	38
07/08/2014	38
08/29/2013	28
04/06/2014	85
03/17/2014	43
06/23/2014	18
02/09/2014	33
09/01/2014	32
09/17/2014	28
05/21/2014	33
07/15/2013	33
09/05/2013	28
02/04/2014	33
11/04/2013	45
10/22/2014	38
02/02/2014	33
12/24/2013	38
07/01/2014	20
11/24/2013	28
06/01/2014	28
06/09/2014	28
03/20/2014	38
01/26/2014	42
01/24/2014	38
07/06/2014	35
09/09/2013	47
10/19/2014	28
09/16/2014	33
06/12/2014	28
12/29/2013	38
08/30/2013	23
03/13/2014	48
10/27/2013	65
07/10/2014	39
03/25/2014	22
08/07/2014	18
12/09/2013	33
07/11/2013	38
08/07/2013	38
08/04/2014	22
11/06/2014	48
09/30/2014	38
04/21/2014	33
12/03/2013	36
02/06/2014	33
10/08/2013	28
07/22/2013	19
01/29/2014	38
02/03/2014	33
06/19/2013	19
09/10/2013	33
05/20/2014	39
12/06/2013	38
05/05/2014	33
09/23/2013	28
09/08/2013	38
12/20/2013	48
08/13/2013	37
12/10/2013	38
08/01/2014	21
08/06/2013	34
11/21/2013	45
11/07/2014	48
06/16/2013	18
06/20/2013	23
04/10/2014	28
05/26/2014	29
07/09/2013	39
10/14/2014	23
03/06/2014	43
04/28/2014	33
11/20/2013	47
11/26/2013	35
10/08/2014	23
05/04/2014	33
05/02/2014	33
07/24/2014	28
07/11/2014	39
07/22/2014	27
09/24/2014	28
12/11/2013	44
12/12/2013	45
09/11/2013	33
02/20/2014	43
08/27/2013	33
02/14/2014	48
02/17/2014	42
10/02/2013	28
01/13/2014	32
04/29/2014	33
01/06/2014	33
07/28/2013	19
09/22/2014	33
11/13/2013	52
11/01/2014	33
03/28/2014	23
02/13/2014	47
08/03/2014	22
08/02/2013	22
03/31/2014	23
11/29/2013	35
11/08/2014	48
05/23/2014	22
03/24/2014	26
08/23/2014	22
09/13/2014	33
04/30/2014	33
10/31/2014	28
06/27/2014	18
06/25/2014	19
08/19/2013	33
06/03/2014	40
11/05/2013	45
08/01/2013	20
