Date	Average
09/08/2014	19
03/19/2014	28
11/18/2013	54
08/18/2013	31
09/20/2013	28
10/30/2014	33
07/21/2014	15
01/07/2014	28
11/01/2013	53
06/18/2014	20
07/29/2014	14
09/06/2013	28
10/25/2014	58
02/21/2014	39
12/31/2013	23
07/08/2014	22
08/29/2013	28
04/06/2014	32
03/17/2014	39
06/23/2014	19
02/09/2014	33
09/01/2014	22
09/17/2014	26
05/21/2014	22
07/15/2013	38
09/05/2013	28
02/04/2014	28
11/04/2013	48
10/22/2014	33
02/02/2014	26
12/24/2013	19
07/01/2014	17
11/24/2013	33
06/01/2014	18
06/09/2014	19
03/20/2014	26
01/26/2014	26
01/24/2014	23
07/06/2014	21
09/09/2013	28
10/19/2014	23
09/16/2014	26
06/12/2014	22
12/29/2013	19
08/30/2013	28
03/13/2014	43
10/27/2013	58
07/10/2014	24
03/25/2014	38
08/07/2014	15
12/09/2013	23
07/11/2013	38
08/07/2013	28
08/04/2014	16
11/06/2014	28
09/30/2014	23
04/21/2014	22
12/03/2013	29
02/06/2014	28
10/08/2013	28
07/22/2013	23
01/29/2014	28
02/03/2014	28
06/19/2013	24
09/10/2013	28
05/20/2014	23
12/06/2013	33
05/05/2014	16
09/23/2013	28
09/08/2013	33
12/20/2013	23
08/13/2013	28
12/10/2013	22
08/01/2014	14
08/06/2013	28
11/21/2013	48
11/07/2014	23
06/16/2013	17
06/20/2013	23
04/10/2014	29
05/26/2014	23
07/09/2013	39
10/14/2014	21
03/06/2014	41
04/28/2014	17
11/20/2013	58
11/26/2013	33
10/08/2014	23
05/04/2014	18
05/02/2014	21
07/24/2014	16
07/11/2014	24
07/22/2014	14
09/24/2014	25
12/11/2013	22
12/12/2013	23
09/11/2013	28
02/20/2014	42
08/27/2013	28
02/14/2014	39
02/17/2014	43
10/02/2013	33
01/13/2014	22
04/29/2014	18
01/06/2014	28
07/28/2013	28
09/22/2014	28
11/13/2013	57
11/01/2014	28
03/28/2014	41
02/13/2014	38
08/03/2014	16
08/02/2013	28
03/31/2014	35
11/29/2013	38
11/08/2014	33
05/23/2014	23
10/28/2014	38
03/24/2014	32
08/23/2014	19
09/13/2014	21
04/30/2014	18
10/31/2014	28
06/27/2014	18
06/25/2014	17
08/19/2013	28
06/03/2014	20
11/05/2013	48
08/01/2013	26
09/28/2014	34
08/17/2014	22
01/27/2014	26
10/24/2014	32
09/15/2014	24
10/12/2013	28
10/27/2014	33
08/15/2013	33
04/07/2014	30
01/14/2014	22
06/08/2014	23
08/25/2014	16
10/25/2013	48
12/13/2013	23
06/04/2014	28
10/20/2013	28
06/25/2013	38
11/07/2013	58
05/18/2014	24
09/24/2013	28
03/11/2014	48
08/04/2013	28
01/28/2014	23
08/26/2013	28
03/26/2014	42
12/04/2013	32
10/10/2013	23
01/09/2014	28
07/16/2013	33
02/08/2014	31
09/09/2014	20
03/07/2014	41
04/15/2014	23
10/30/2013	58
07/15/2014	21
06/26/2014	19
01/02/2014	23
06/28/2013	38
03/27/2014	35
07/21/2013	23
01/22/2014	28
10/23/2013	28
07/23/2014	17
09/21/2014	25
09/04/2013	28
03/21/2014	28
04/23/2014	23
04/27/2014	20
09/16/2013	28
01/03/2014	23
01/05/2014	27
11/03/2013	48
06/17/2014	16
08/06/2014	16
11/15/2013	57
01/08/2014	28
04/17/2014	22
07/31/2014	14
09/15/2013	28
09/19/2014	28
06/11/2014	18
06/10/2014	19
11/17/2013	57
12/01/2013	38
08/25/2013	28
10/13/2014	16
02/24/2014	39
07/14/2014	21
12/19/2013	21
06/20/2014	19
02/18/2014	38
11/25/2013	33
07/19/2013	28
10/11/2013	28
07/30/2014	16
07/18/2014	16
05/25/2014	23
10/12/2014	15
07/12/2013	35
04/20/2014	19
02/23/2014	39
05/15/2014	23
08/08/2014	14
08/28/2014	19
08/12/2014	16
06/18/2013	23
05/27/2014	27
10/07/2013	28
07/02/2014	16
07/23/2013	28
01/01/2014	21
02/25/2014	39
11/22/2013	42
09/07/2014	27
05/19/2014	24
10/09/2014	20
09/30/2013	29
06/17/2013	19
10/16/2014	24
07/24/2013	28
07/10/2013	43
10/20/2014	23
05/30/2014	28
07/31/2013	23
11/06/2013	58
09/12/2013	28
07/28/2014	17
06/27/2013	38
05/07/2014	16
07/18/2013	30
11/03/2014	28
02/10/2014	33
09/14/2014	21
07/13/2014	19
07/05/2013	38
11/10/2014	30
05/12/2014	25
10/17/2014	23
12/23/2013	22
09/18/2014	28
03/09/2014	58
09/03/2013	33
10/01/2013	33
08/13/2014	18
05/11/2014	21
07/04/2013	38
04/04/2014	32
08/09/2014	15
07/25/2013	28
06/21/2013	20
01/21/2014	28
08/15/2014	17
10/29/2013	58
08/16/2013	28
08/23/2013	30
08/18/2014	19
11/27/2013	33
04/16/2014	22
11/09/2014	18
06/30/2014	17
03/14/2014	48
10/23/2014	33
08/31/2014	18
07/14/2013	43
01/20/2014	28
02/07/2014	27
06/15/2014	16
03/23/2014	48
11/14/2013	63
09/02/2014	19
08/21/2014	16
12/08/2013	29
07/29/2013	25
09/27/2013	28
08/19/2014	17
05/06/2014	20
07/04/2014	16
08/20/2014	18
11/28/2013	43
11/02/2014	28
05/08/2014	21
06/16/2014	16
08/11/2014	16
07/27/2014	16
03/03/2014	58
07/05/2014	15
04/11/2014	22
09/22/2013	28
07/07/2014	19
07/25/2014	18
08/02/2014	17
09/23/2014	27
12/27/2013	28
08/05/2014	16
09/05/2014	19
10/24/2013	53
01/17/2014	23
12/16/2013	22
03/05/2014	41
12/26/2013	19
02/16/2014	39
07/02/2013	33
01/12/2014	22
07/16/2014	18
04/13/2014	22
04/03/2014	31
06/06/2014	28
08/26/2014	23
07/01/2013	38
09/01/2013	28
01/10/2014	26
08/29/2014	18
12/22/2013	23
11/04/2014	28
12/15/2013	22
