Date	Average
09/08/2014	28
03/19/2014	43
11/18/2013	56
08/18/2013	38
09/20/2013	38
07/21/2014	26
01/07/2014	33
11/01/2013	58
06/18/2014	29
07/29/2014	28
09/06/2013	38
12/31/2013	28
07/08/2014	29
08/29/2013	38
06/23/2014	29
09/01/2014	28
09/17/2014	33
05/21/2014	33
09/05/2013	33
11/04/2013	48
10/22/2014	38
02/02/2014	33
12/24/2013	33
07/01/2014	29
11/24/2013	48
06/01/2014	29
06/09/2014	29
03/20/2014	33
01/26/2014	37
07/06/2014	29
09/09/2013	38
10/19/2014	27
09/16/2014	38
06/12/2014	29
12/29/2013	38
08/30/2013	38
10/27/2013	65
03/25/2014	48
08/07/2014	28
12/09/2013	38
07/11/2013	43
08/07/2013	38
08/04/2014	29
09/30/2014	33
04/21/2014	33
12/03/2013	43
10/08/2013	33
07/22/2013	38
06/19/2013	28
09/10/2013	38
05/20/2014	29
12/06/2013	43
05/05/2014	29
09/08/2013	28
12/20/2013	38
08/13/2013	33
12/10/2013	43
08/06/2013	33
11/21/2013	48
06/16/2013	21
06/20/2013	28
04/10/2014	33
05/26/2014	33
07/09/2013	43
04/28/2014	33
11/26/2013	38
10/08/2014	38
05/04/2014	29
05/02/2014	29
07/24/2014	28
07/11/2014	29
07/22/2014	29
09/24/2014	38
12/11/2013	43
12/12/2013	38
09/11/2013	38
08/27/2013	43
02/17/2014	48
10/02/2013	33
01/13/2014	28
04/29/2014	29
01/06/2014	38
07/28/2013	33
09/22/2014	33
03/28/2014	48
08/03/2014	28
08/02/2013	38
03/31/2014	38
11/29/2013	38
05/23/2014	29
09/13/2014	38
04/30/2014	31
06/27/2014	29
06/25/2014	29
08/19/2013	38
06/03/2014	29
11/05/2013	48
08/01/2013	39
09/28/2014	38
08/17/2014	28
10/24/2014	36
08/15/2013	38
01/14/2014	28
06/08/2014	33
12/13/2013	43
06/04/2014	33
06/25/2013	33
11/07/2013	58
05/18/2014	38
09/24/2013	38
08/04/2013	33
08/26/2013	38
03/26/2014	48
12/04/2013	43
10/10/2013	33
01/09/2014	33
07/16/2013	43
09/09/2014	28
04/15/2014	33
10/30/2013	58
07/15/2014	29
06/26/2014	29
01/02/2014	29
03/27/2014	43
07/21/2013	38
01/22/2014	33
07/23/2014	28
09/21/2014	33
09/04/2013	38
03/21/2014	38
04/27/2014	33
09/16/2013	38
01/03/2014	28
01/05/2014	33
11/03/2013	48
06/17/2014	29
08/06/2014	28
01/08/2014	33
04/17/2014	33
07/31/2014	28
09/15/2013	38
09/19/2014	33
06/11/2014	29
06/10/2014	29
12/01/2013	38
08/25/2013	43
10/13/2014	33
02/24/2014	43
12/19/2013	31
06/20/2014	39
11/25/2013	43
07/19/2013	38
10/11/2013	33
07/30/2014	28
07/18/2014	35
05/25/2014	32
10/12/2014	33
07/12/2013	43
04/20/2014	33
02/23/2014	48
05/15/2014	37
08/08/2014	23
08/28/2014	29
08/12/2014	23
06/18/2013	28
05/27/2014	37
10/07/2013	33
07/02/2014	29
07/23/2013	33
01/01/2014	28
02/25/2014	43
11/22/2013	43
09/07/2014	29
05/19/2014	38
10/09/2014	38
09/30/2013	33
06/17/2013	28
07/24/2013	38
07/10/2013	48
10/20/2014	33
05/30/2014	33
07/31/2013	33
09/12/2013	48
07/28/2014	28
06/27/2013	38
05/07/2014	29
07/18/2013	43
09/14/2014	20
07/05/2013	48
05/12/2014	29
12/23/2013	33
09/18/2014	38
10/01/2013	38
08/13/2014	21
05/11/2014	33
07/04/2013	48
04/04/2014	36
08/09/2014	23
07/25/2013	33
06/21/2013	28
01/21/2014	33
08/15/2014	28
10/29/2013	58
08/16/2013	33
08/23/2013	33
08/18/2014	29
11/27/2013	43
04/16/2014	33
11/09/2014	33
06/30/2014	29
10/23/2014	38
08/31/2014	21
07/14/2013	48
01/20/2014	33
06/15/2014	29
08/21/2014	28
12/08/2013	38
07/29/2013	33
09/27/2013	28
08/19/2014	28
05/06/2014	29
08/20/2014	28
11/28/2013	43
11/02/2014	33
05/08/2014	33
06/16/2014	29
08/11/2014	23
07/27/2014	28
07/05/2014	29
04/11/2014	33
09/22/2013	38
07/25/2014	29
08/02/2014	28
09/23/2014	38
12/27/2013	20
08/05/2014	28
09/05/2014	28
01/17/2014	33
12/16/2013	38
12/26/2013	33
01/12/2014	33
04/13/2014	33
04/03/2014	33
06/06/2014	33
09/01/2013	33
01/10/2014	33
08/29/2014	28
12/22/2013	33
12/15/2013	38
09/29/2014	33
09/11/2014	29
11/10/2013	58
05/28/2014	38
09/19/2013	38
10/17/2013	48
10/31/2013	58
05/22/2014	33
08/10/2014	23
09/26/2013	28
08/14/2014	28
10/21/2013	38
05/13/2014	29
09/12/2014	33
09/06/2014	28
05/16/2014	37
07/19/2014	33
07/20/2014	33
12/02/2013	43
07/17/2014	34
01/16/2014	33
08/12/2013	18
07/09/2014	29
08/22/2014	28
04/01/2014	34
04/18/2014	33
06/19/2014	29
09/17/2013	38
09/02/2013	38
12/18/2013	33
04/25/2014	33
10/21/2014	33
01/19/2014	33
04/22/2014	29
09/25/2013	28
07/03/2014	29
08/14/2013	38
09/13/2013	38
10/04/2013	33
08/05/2013	33
02/26/2014	43
03/18/2014	48
06/24/2014	29
10/03/2013	28
09/04/2014	27
07/03/2013	48
09/20/2014	33
06/13/2014	29
07/26/2013	38
09/29/2013	33
10/10/2014	33
06/30/2013	43
07/30/2013	38
04/02/2014	33
10/28/2013	58
09/26/2014	38
07/17/2013	48
07/12/2014	29
04/09/2014	33
12/05/2013	43
06/05/2014	33
07/26/2014	28
05/09/2014	33
08/08/2013	33
02/28/2014	43
06/02/2014	33
09/10/2014	28
10/09/2013	33
