Date	Average
09/08/2014	160
03/19/2014	48
11/18/2013	73
08/18/2013	148
09/20/2013	145
10/30/2014	110
07/21/2014	190
01/07/2014	43
11/01/2013	95
06/18/2014	123
07/29/2014	190
09/06/2013	145
10/25/2014	155
02/21/2014	53
12/31/2013	43
08/29/2013	105
04/06/2014	40
03/17/2014	48
06/23/2014	117
02/09/2014	33
09/01/2014	130
09/17/2014	145
05/21/2014	87
09/05/2013	155
02/04/2014	28
11/04/2013	77
10/22/2014	160
02/02/2014	28
12/24/2013	33
07/01/2014	130
11/24/2013	55
06/01/2014	67
06/09/2014	125
03/20/2014	48
01/26/2014	32
01/24/2014	28
09/09/2013	145
10/19/2014	163
09/16/2014	175
06/12/2014	137
12/29/2013	43
08/30/2013	95
03/13/2014	48
10/27/2013	85
03/25/2014	33
08/07/2014	145
12/09/2013	43
08/04/2014	130
11/06/2014	93
09/30/2014	163
04/21/2014	67
12/03/2013	33
02/06/2014	28
10/08/2013	155
01/29/2014	28
02/03/2014	28
06/19/2013	75
09/10/2013	145
05/20/2014	95
12/06/2013	38
09/23/2013	145
09/08/2013	145
12/20/2013	33
12/10/2013	34
08/01/2014	190
11/21/2013	55
11/07/2014	97
06/16/2013	75
06/20/2013	75
04/10/2014	33
05/26/2014	67
10/14/2014	147
03/06/2014	48
04/28/2014	58
11/20/2013	85
11/26/2013	43
10/08/2014	163
05/04/2014	87
05/02/2014	97
07/24/2014	190
07/11/2014	190
07/22/2014	175
09/24/2014	145
12/11/2013	35
10/26/2014	145
12/12/2013	38
09/11/2013	145
02/20/2014	53
08/27/2013	95
02/14/2014	28
02/17/2014	58
10/02/2013	145
01/13/2014	43
04/29/2014	58
01/06/2014	43
09/22/2014	145
11/13/2013	85
11/01/2014	110
03/28/2014	43
02/13/2014	28
08/03/2014	190
03/31/2014	33
11/29/2013	43
11/08/2014	96
05/23/2014	67
10/28/2014	145
03/24/2014	28
08/23/2014	145
09/13/2014	145
04/30/2014	58
10/31/2014	103
06/25/2014	115
08/19/2013	145
06/03/2014	133
11/05/2013	85
09/28/2014	145
08/17/2014	145
01/27/2014	32
10/24/2014	155
09/15/2014	175
10/27/2014	128
04/07/2014	35
01/14/2014	43
06/08/2014	137
08/25/2014	145
10/25/2013	75
12/13/2013	37
06/04/2014	137
10/20/2013	135
06/25/2013	75
11/07/2013	75
05/18/2014	85
09/24/2013	145
03/11/2014	53
01/28/2014	32
08/26/2013	95
03/26/2014	43
12/04/2013	35
10/10/2013	145
01/09/2014	48
02/08/2014	35
09/09/2014	165
03/07/2014	48
04/15/2014	33
10/30/2013	85
07/15/2014	145
06/26/2014	160
01/02/2014	43
03/27/2014	38
01/22/2014	43
10/23/2013	85
07/23/2014	190
09/21/2014	130
09/04/2013	155
03/21/2014	48
04/23/2014	53
04/27/2014	53
09/16/2013	145
01/03/2014	43
01/05/2014	43
11/03/2013	85
06/17/2014	147
08/06/2014	190
11/15/2013	75
01/08/2014	43
04/17/2014	58
07/31/2014	190
09/15/2013	145
09/19/2014	145
06/11/2014	135
06/10/2014	135
11/17/2013	75
12/01/2013	35
08/25/2013	95
10/13/2014	123
02/24/2014	43
12/19/2013	38
06/20/2014	127
02/18/2014	53
11/25/2013	48
10/11/2013	145
07/30/2014	190
07/18/2014	190
05/25/2014	67
10/12/2014	163
04/20/2014	68
02/23/2014	48
05/15/2014	87
08/08/2014	145
08/28/2014	145
08/12/2014	145
06/18/2013	75
05/27/2014	67
10/07/2013	145
01/01/2014	43
02/25/2014	33
11/22/2013	48
09/07/2014	165
05/19/2014	77
10/09/2014	155
09/30/2013	145
06/17/2013	75
10/16/2014	163
10/20/2014	163
05/30/2014	67
11/06/2013	85
09/12/2013	145
07/28/2014	190
05/07/2014	67
11/03/2014	107
02/10/2014	28
11/10/2014	67
05/12/2014	97
10/17/2014	163
12/23/2013	38
09/18/2014	130
03/09/2014	53
09/03/2013	95
10/01/2013	145
08/13/2014	145
05/11/2014	97
04/04/2014	38
08/09/2014	190
06/21/2013	75
01/21/2014	43
10/29/2013	95
08/16/2013	145
08/23/2013	95
08/18/2014	145
11/27/2013	45
04/16/2014	45
11/09/2014	97
06/30/2014	130
03/14/2014	53
10/23/2014	160
10/16/2013	190
08/31/2014	155
01/20/2014	43
02/07/2014	28
06/15/2014	127
03/23/2014	48
11/14/2013	75
09/02/2014	145
08/21/2014	145
12/08/2013	38
09/27/2013	145
08/19/2014	145
05/06/2014	77
08/20/2014	145
11/28/2013	45
11/02/2014	105
05/08/2014	58
06/16/2014	125
08/11/2014	135
07/27/2014	190
03/03/2014	48
04/11/2014	38
09/22/2013	145
07/25/2014	190
08/02/2014	190
09/23/2014	135
12/27/2013	33
08/05/2014	135
09/05/2014	187
10/24/2013	85
01/17/2014	38
12/16/2013	38
03/05/2014	48
12/26/2013	33
02/16/2014	28
01/12/2014	43
07/16/2014	190
04/13/2014	33
04/03/2014	42
06/06/2014	137
08/26/2014	145
09/01/2013	95
01/10/2014	48
08/29/2014	145
12/22/2013	33
11/04/2014	107
11/16/2013	75
09/29/2014	145
10/22/2013	85
09/11/2014	145
11/10/2013	85
03/10/2014	48
05/28/2014	75
09/19/2013	145
10/17/2013	145
11/05/2014	97
10/31/2013	85
05/22/2014	67
08/10/2014	145
09/26/2013	145
08/14/2014	145
10/21/2013	75
05/13/2014	87
09/12/2014	140
09/06/2014	165
05/16/2014	83
07/19/2014	190
07/20/2014	190
12/02/2013	39
07/17/2014	190
02/05/2014	28
01/16/2014	43
08/22/2014	145
04/01/2014	42
10/29/2014	138
04/18/2014	58
06/19/2014	127
09/17/2013	145
09/02/2013	95
08/24/2014	145
12/18/2013	38
04/25/2014	65
10/21/2014	160
01/19/2014	43
04/22/2014	63
09/25/2013	145
08/27/2014	145
09/03/2014	175
03/12/2014	48
09/13/2013	145
02/12/2014	28
10/04/2013	145
02/26/2014	38
03/18/2014	48
06/24/2014	117
10/03/2013	145
09/04/2014	175
09/20/2014	130
06/13/2014	137
02/11/2014	28
08/16/2014	145
01/23/2014	43
09/29/2013	145
10/10/2014	163
04/02/2014	48
11/11/2013	75
10/28/2013	85
09/26/2014	145
04/09/2014	33
12/05/2013	32
06/05/2014	137
10/06/2013	145
07/26/2014	190
05/09/2014	93
02/28/2014	38
06/02/2014	77
09/10/2014	145
06/26/2013	75
11/12/2013	75
10/09/2013	145
