Date	Average
09/08/2014	12
03/19/2014	23
11/18/2013	53
08/18/2013	39
09/20/2013	41
10/30/2014	20
07/21/2014	26
01/07/2014	23
11/01/2013	33
06/18/2014	35
07/29/2014	21
09/06/2013	53
10/25/2014	20
02/21/2014	20
12/31/2013	23
07/08/2014	46
08/29/2013	42
04/06/2014	18
03/17/2014	27
06/23/2014	34
02/09/2014	18
09/01/2014	14
09/17/2014	14
05/21/2014	18
07/15/2013	15
09/05/2013	43
02/04/2014	19
11/04/2013	33
10/22/2014	23
02/02/2014	16
12/24/2013	23
07/01/2014	33
11/24/2013	48
06/01/2014	24
06/09/2014	26
03/20/2014	23
01/26/2014	19
01/24/2014	17
07/06/2014	41
10/13/2013	38
09/09/2013	43
10/19/2014	17
09/16/2014	15
06/12/2014	26
12/29/2013	22
08/30/2013	42
03/13/2014	20
10/27/2013	28
07/10/2014	46
03/25/2014	20
08/07/2014	18
12/09/2013	28
07/11/2013	15
08/07/2013	33
08/04/2014	18
11/06/2014	20
09/30/2014	19
04/21/2014	20
12/03/2013	39
02/06/2014	22
10/08/2013	30
07/22/2013	16
01/29/2014	14
02/03/2014	20
06/19/2013	13
09/10/2013	43
05/20/2014	20
12/06/2013	30
05/05/2014	24
09/23/2013	39
09/08/2013	48
12/20/2013	24
08/13/2013	33
12/10/2013	27
08/01/2014	20
08/06/2013	35
11/21/2013	48
11/07/2014	19
06/16/2013	8
06/20/2013	13
04/10/2014	17
05/26/2014	22
07/09/2013	14
10/14/2014	24
03/06/2014	18
04/28/2014	20
11/26/2013	39
10/08/2014	18
05/04/2014	27
05/02/2014	24
07/24/2014	21
07/11/2014	42
07/22/2014	25
09/24/2014	15
12/11/2013	27
10/26/2014	22
12/12/2013	33
09/11/2013	44
02/20/2014	25
08/27/2013	43
02/14/2014	18
02/17/2014	18
10/02/2013	34
01/13/2014	20
04/29/2014	19
01/06/2014	23
07/28/2013	18
09/22/2014	16
11/13/2013	49
11/01/2014	18
03/28/2014	19
02/13/2014	18
08/03/2014	18
08/02/2013	38
03/31/2014	17
11/29/2013	48
11/08/2014	20
05/23/2014	22
10/28/2014	29
03/24/2014	21
08/23/2014	16
09/13/2014	14
04/30/2014	25
10/31/2014	18
06/27/2014	30
06/25/2014	28
08/19/2013	38
06/03/2014	26
11/05/2013	38
08/01/2013	22
09/28/2014	18
08/17/2014	16
01/27/2014	19
10/24/2014	21
09/15/2014	16
10/12/2013	29
10/27/2014	28
08/15/2013	38
04/07/2014	18
01/14/2014	20
06/08/2014	26
08/25/2014	16
10/25/2013	28
12/13/2013	33
06/04/2014	25
10/20/2013	26
06/25/2013	12
11/07/2013	43
05/18/2014	20
09/24/2013	41
10/15/2013	39
03/11/2014	18
08/04/2013	29
01/28/2014	15
08/26/2013	42
03/26/2014	21
12/04/2013	38
10/10/2013	33
01/09/2014	23
07/16/2013	15
02/08/2014	19
09/09/2014	12
03/07/2014	18
04/15/2014	19
10/30/2013	36
07/15/2014	32
06/26/2014	28
01/02/2014	23
06/28/2013	12
03/27/2014	21
07/21/2013	17
01/22/2014	19
10/23/2013	28
07/23/2014	23
09/21/2014	15
09/04/2013	53
03/21/2014	25
04/23/2014	19
04/27/2014	20
09/16/2013	44
01/03/2014	23
01/05/2014	22
11/03/2013	33
06/17/2014	30
08/06/2014	18
11/15/2013	43
01/08/2014	19
04/17/2014	24
07/31/2014	20
09/15/2013	43
09/19/2014	16
06/11/2014	26
06/10/2014	26
11/17/2013	48
12/01/2013	48
08/25/2013	41
10/13/2014	20
02/24/2014	20
07/14/2014	36
12/19/2013	23
06/20/2014	40
02/18/2014	22
11/25/2013	39
07/19/2013	16
10/11/2013	32
07/30/2014	20
07/18/2014	28
05/25/2014	24
10/12/2014	19
07/12/2013	14
04/20/2014	20
02/23/2014	19
05/15/2014	20
08/08/2014	18
08/28/2014	18
08/12/2014	16
06/18/2013	9
05/27/2014	23
10/07/2013	33
07/02/2014	38
07/23/2013	19
01/01/2014	23
02/25/2014	20
11/22/2013	56
09/07/2014	12
05/19/2014	22
10/09/2014	17
09/30/2013	32
06/17/2013	8
10/16/2014	28
07/24/2013	18
07/10/2013	15
10/20/2014	18
05/30/2014	24
07/31/2013	23
11/06/2013	38
09/12/2013	43
07/28/2014	21
06/27/2013	12
05/07/2014	22
07/18/2013	16
11/03/2014	28
02/10/2014	18
09/14/2014	11
07/13/2014	38
07/05/2013	14
11/10/2014	19
05/12/2014	18
10/17/2014	20
12/23/2013	23
09/18/2014	16
03/09/2014	22
09/03/2013	55
08/13/2014	14
05/11/2014	18
07/04/2013	14
04/04/2014	18
08/09/2014	18
07/25/2013	18
06/21/2013	10
01/21/2014	18
08/15/2014	28
10/29/2013	38
08/16/2013	33
08/23/2013	42
08/18/2014	14
11/27/2013	46
04/16/2014	24
11/09/2014	20
06/30/2014	30
03/14/2014	20
10/23/2014	22
10/16/2013	38
08/31/2014	15
07/14/2013	15
01/20/2014	18
02/07/2014	20
06/15/2014	27
03/23/2014	24
11/14/2013	49
09/02/2014	12
08/21/2014	16
12/08/2013	33
07/29/2013	22
09/27/2013	38
08/19/2014	14
05/06/2014	20
07/04/2014	43
08/20/2014	13
11/28/2013	48
11/02/2014	18
05/08/2014	19
06/16/2014	28
08/11/2014	17
07/27/2014	23
03/03/2014	22
07/05/2014	41
04/11/2014	16
09/22/2013	41
07/07/2014	42
07/25/2014	24
08/02/2014	20
09/23/2014	16
12/27/2013	23
08/05/2014	20
09/05/2014	11
10/24/2013	33
10/14/2013	38
01/17/2014	22
12/16/2013	24
03/05/2014	20
12/26/2013	23
02/16/2014	19
07/02/2013	12
01/12/2014	23
07/16/2014	30
04/13/2014	19
04/03/2014	18
06/06/2014	26
08/26/2014	21
07/01/2013	12
09/01/2013	42
01/10/2014	18
08/29/2014	17
