Date	Average
09/08/2014	76
03/19/2014	67
11/18/2013	85
08/18/2013	65
09/20/2013	98
10/30/2014	100
07/21/2014	53
01/07/2014	48
11/01/2013	105
06/18/2014	38
07/29/2014	48
09/06/2013	70
10/25/2014	148
02/21/2014	52
12/31/2013	48
07/08/2014	67
08/29/2013	60
04/06/2014	80
03/17/2014	67
06/23/2014	47
02/09/2014	43
09/01/2014	77
09/17/2014	137
05/21/2014	55
07/15/2013	105
09/05/2013	73
02/04/2014	38
11/04/2013	130
10/22/2014	195
02/02/2014	43
12/24/2013	53
07/01/2014	87
11/24/2013	55
06/01/2014	58
06/09/2014	47
03/20/2014	63
01/26/2014	42
01/24/2014	48
07/06/2014	76
10/13/2013	150
09/09/2013	68
10/19/2014	170
09/16/2014	130
06/12/2014	48
12/29/2013	53
08/30/2013	68
03/13/2014	73
10/27/2013	195
07/10/2014	67
03/25/2014	67
08/07/2014	43
12/09/2013	45
07/11/2013	95
08/07/2013	48
08/04/2014	44
11/06/2014	87
09/30/2014	137
04/21/2014	77
12/03/2013	65
02/06/2014	38
10/08/2013	125
07/22/2013	55
01/29/2014	43
02/03/2014	39
06/19/2013	58
09/10/2013	73
05/20/2014	57
12/06/2013	48
05/05/2014	67
09/23/2013	78
09/08/2013	73
12/20/2013	45
08/13/2013	53
12/10/2013	42
08/01/2014	39
08/06/2013	48
11/21/2013	78
11/07/2014	87
06/16/2013	58
06/20/2013	53
04/10/2014	58
05/26/2014	53
07/09/2013	95
10/14/2014	117
03/06/2014	70
04/28/2014	67
11/20/2013	85
11/26/2013	55
10/08/2014	137
05/04/2014	67
05/02/2014	67
07/24/2014	53
07/11/2014	67
07/22/2014	53
09/24/2014	127
12/11/2013	42
10/26/2014	145
12/12/2013	48
09/11/2013	90
02/20/2014	53
08/27/2013	68
02/14/2014	58
02/17/2014	53
10/02/2013	105
01/13/2014	43
04/29/2014	65
01/06/2014	48
07/28/2013	55
09/22/2014	137
11/13/2013	110
11/01/2014	88
03/28/2014	77
02/13/2014	43
08/03/2014	42
08/02/2013	53
03/31/2014	60
11/29/2013	78
11/08/2014	76
05/23/2014	53
10/28/2014	147
03/24/2014	65
08/23/2014	48
09/13/2014	96
04/30/2014	67
10/31/2014	97
06/27/2014	57
06/25/2014	46
08/19/2013	63
06/03/2014	57
11/05/2013	130
08/01/2013	48
09/28/2014	137
08/17/2014	48
01/27/2014	43
10/24/2014	178
09/15/2014	137
10/12/2013	145
10/27/2014	135
08/15/2013	63
04/07/2014	75
01/14/2014	46
06/08/2014	53
08/25/2014	58
10/25/2013	237
12/13/2013	43
06/04/2014	53
10/20/2013	110
06/25/2013	75
11/07/2013	110
05/18/2014	67
09/24/2013	95
03/11/2014	75
08/04/2013	48
01/28/2014	42
08/26/2013	68
03/26/2014	63
12/04/2013	67
10/10/2013	95
01/09/2014	48
07/16/2013	95
09/09/2014	87
03/07/2014	75
04/15/2014	97
10/30/2013	105
07/15/2014	58
06/26/2014	57
01/02/2014	45
06/28/2013	95
03/27/2014	77
07/21/2013	55
01/22/2014	48
10/23/2013	195
07/23/2014	48
09/21/2014	107
09/04/2013	73
03/21/2014	57
04/23/2014	75
04/27/2014	67
09/16/2013	98
01/03/2014	45
01/05/2014	48
11/03/2013	105
06/17/2014	43
08/06/2014	42
11/15/2013	95
01/08/2014	53
04/17/2014	75
07/31/2014	48
09/15/2013	95
09/19/2014	117
06/11/2014	52
06/10/2014	50
11/17/2013	90
12/01/2013	78
08/25/2013	65
10/13/2014	117
02/24/2014	53
07/14/2014	58
12/19/2013	48
06/20/2014	47
02/18/2014	67
11/25/2013	65
07/19/2013	68
10/11/2013	150
07/30/2014	48
07/18/2014	55
05/25/2014	57
10/12/2014	117
07/12/2013	115
04/20/2014	77
02/23/2014	53
05/15/2014	73
08/08/2014	43
08/28/2014	67
08/12/2014	38
06/18/2013	58
05/27/2014	53
10/07/2013	145
07/02/2014	97
07/23/2013	58
01/01/2014	48
02/25/2014	53
11/22/2013	75
09/07/2014	77
05/19/2014	57
10/09/2014	147
09/30/2013	105
06/17/2013	58
10/16/2014	125
07/24/2013	58
07/10/2013	95
10/20/2014	170
05/30/2014	53
07/31/2013	53
11/06/2013	130
09/12/2013	75
07/28/2014	47
06/27/2013	95
05/07/2014	53
07/18/2013	75
11/03/2014	87
02/10/2014	48
09/14/2014	97
07/13/2014	70
07/05/2013	95
11/10/2014	63
05/12/2014	77
10/17/2014	193
12/23/2013	58
09/18/2014	117
03/09/2014	75
09/03/2013	68
10/01/2013	105
08/13/2014	38
05/11/2014	77
07/04/2013	95
04/04/2014	78
08/09/2014	37
07/25/2013	55
06/21/2013	53
01/21/2014	45
08/15/2014	37
10/29/2013	125
08/16/2013	63
08/23/2013	68
08/18/2014	38
11/27/2013	55
04/16/2014	85
11/09/2014	77
06/30/2014	83
03/14/2014	77
10/23/2014	190
10/16/2013	275
08/31/2014	77
07/14/2013	115
01/20/2014	43
02/07/2014	38
06/15/2014	41
03/23/2014	57
11/14/2013	95
09/02/2014	66
08/21/2014	42
12/08/2013	48
07/29/2013	55
09/27/2013	85
08/19/2014	38
05/06/2014	58
07/04/2014	97
08/20/2014	43
11/28/2013	95
11/02/2014	83
05/08/2014	58
06/16/2014	47
08/11/2014	32
07/27/2014	48
03/03/2014	77
07/05/2014	78
04/11/2014	58
09/22/2013	95
07/07/2014	75
07/25/2014	48
08/02/2014	39
09/23/2014	137
12/27/2013	65
08/05/2014	45
09/05/2014	71
10/24/2013	225
01/17/2014	45
12/16/2013	48
03/05/2014	77
12/26/2013	53
02/16/2014	63
07/02/2013	85
01/12/2014	43
07/16/2014	53
04/13/2014	70
04/03/2014	75
06/06/2014	53
08/26/2014	60
07/01/2013	85
09/01/2013	65
10/15/2014	155
01/10/2014	47
08/29/2014	77
12/22/2013	55
11/04/2014	68
12/15/2013	45
11/16/2013	92
09/29/2014	137
10/22/2013	150
09/11/2014	107
11/10/2013	95
03/10/2014	77
05/28/2014	53
09/19/2013	95
10/17/2013	150
11/05/2014	77
10/31/2013	105
05/22/2014	55
08/10/2014	38
09/26/2013	85
08/14/2014	33
10/21/2013	110
05/13/2014	78
09/12/2014	105
09/06/2014	76
05/16/2014	77
07/19/2014	55
07/20/2014	55
06/29/2014	55
12/02/2013	60
07/17/2014	49
02/05/2014	38
01/16/2014	45
08/12/2013	53
07/09/2014	67
08/22/2014	40
04/01/2014	65
10/29/2014	125
04/18/2014	87
06/19/2014	38
09/17/2013	115
09/02/2013	68
08/24/2014	48
12/18/2013	47
04/25/2014	65
10/21/2014	192
01/19/2014	48
04/22/2014	75
09/25/2013	85
08/27/2014	77
07/03/2014	97
09/03/2014	77
03/12/2014	77
08/14/2013	58
09/13/2013	85
02/12/2014	48
10/04/2013	105
08/05/2013	53
02/26/2014	53
03/18/2014	65
06/24/2014	47
10/03/2013	115
09/04/2014	67
07/03/2013	95
09/20/2014	107
06/13/2014	47
02/11/2014	48
08/16/2014	48
01/23/2014	48
07/26/2013	55
09/29/2013	110
10/10/2014	120
06/30/2013	85
07/30/2013	53
04/02/2014	68
11/11/2013	95
10/28/2013	145
09/26/2014	137
07/17/2013	85
07/12/2014	58
04/09/2014	58
12/05/2013	48
06/05/2014	53
10/06/2013	195
07/26/2014	48
05/09/2014	58
08/08/2013	45
02/28/2014	110
06/02/2014	48
09/10/2014	107
06/26/2013	95
11/12/2013	95
10/09/2013	115
