Date	Average
03/19/2014	28
11/18/2013	75
08/18/2013	53
09/20/2013	58
10/30/2014	87
07/21/2014	78
01/07/2014	25
11/01/2013	95
06/18/2014	53
07/29/2014	72
09/06/2013	63
10/25/2014	85
02/21/2014	28
12/31/2013	27
07/08/2014	75
08/29/2013	58
04/06/2014	31
03/17/2014	28
06/23/2014	67
02/09/2014	33
09/01/2014	77
09/17/2014	73
05/21/2014	38
07/15/2013	38
09/05/2013	63
02/04/2014	33
11/04/2013	95
10/22/2014	73
02/02/2014	33
12/24/2013	29
07/01/2014	85
11/24/2013	75
06/01/2014	43
06/09/2014	43
03/20/2014	28
01/26/2014	28
01/24/2014	29
07/06/2014	78
10/13/2013	95
09/09/2013	53
10/19/2014	75
09/16/2014	73
06/12/2014	42
12/29/2013	28
08/30/2013	58
03/13/2014	22
10/27/2013	85
07/10/2014	87
03/25/2014	33
08/07/2014	68
12/09/2013	43
07/11/2013	38
08/07/2013	48
08/04/2014	68
11/06/2014	97
09/30/2014	77
04/21/2014	42
12/03/2013	48
02/06/2014	33
10/08/2013	78
07/22/2013	48
01/29/2014	26
02/03/2014	33
06/19/2013	40
09/10/2013	58
05/20/2014	38
12/06/2013	45
05/05/2014	37
09/23/2013	75
09/08/2013	58
12/20/2013	30
08/13/2013	53
12/10/2013	42
08/01/2014	73
08/06/2013	48
11/21/2013	78
11/07/2014	97
06/16/2013	33
06/20/2013	41
04/10/2014	33
05/26/2014	38
07/09/2013	38
10/14/2014	77
03/06/2014	26
04/28/2014	38
11/20/2013	103
11/26/2013	75
10/08/2014	87
05/04/2014	38
05/02/2014	38
07/24/2014	73
07/11/2014	87
07/22/2014	77
09/24/2014	68
12/11/2013	38
10/26/2014	97
12/12/2013	38
09/11/2013	53
02/20/2014	23
08/27/2013	58
02/14/2014	20
02/17/2014	22
10/02/2013	95
01/13/2014	23
04/29/2014	40
01/06/2014	23
07/28/2013	53
11/13/2013	100
11/01/2014	87
03/28/2014	33
02/13/2014	28
08/03/2014	68
08/02/2013	48
03/31/2014	35
11/29/2013	48
11/08/2014	97
05/23/2014	41
10/28/2014	87
03/24/2014	32
08/23/2014	95
09/13/2014	73
04/30/2014	40
10/31/2014	77
06/27/2014	58
06/25/2014	58
08/19/2013	53
06/03/2014	41
11/05/2013	105
08/01/2013	48
09/28/2014	66
08/17/2014	73
01/27/2014	28
10/24/2014	78
09/15/2014	73
10/12/2013	97
10/27/2014	97
08/15/2013	53
04/07/2014	28
01/14/2014	22
06/08/2014	42
08/25/2014	73
10/25/2013	85
12/13/2013	38
06/04/2014	43
10/20/2013	85
06/25/2013	43
11/07/2013	95
05/18/2014	42
09/24/2013	78
03/11/2014	19
08/04/2013	48
01/28/2014	24
08/26/2013	58
03/26/2014	33
12/04/2013	48
10/10/2013	78
01/09/2014	26
07/16/2013	48
09/09/2014	68
03/07/2014	28
04/15/2014	38
10/30/2013	95
07/15/2014	87
06/26/2014	58
01/02/2014	26
06/28/2013	41
03/27/2014	28
07/21/2013	52
01/22/2014	28
10/23/2013	75
07/23/2014	77
09/21/2014	85
09/04/2013	58
03/21/2014	33
04/23/2014	43
04/27/2014	38
09/16/2013	58
01/03/2014	28
01/05/2014	28
11/03/2013	95
06/17/2014	58
08/06/2014	68
11/15/2013	82
01/08/2014	23
04/17/2014	42
07/31/2014	83
09/15/2013	58
09/19/2014	97
06/11/2014	43
06/10/2014	42
11/17/2013	79
12/01/2013	45
08/25/2013	53
10/13/2014	78
02/24/2014	28
07/14/2014	83
12/19/2013	32
06/20/2014	53
02/18/2014	23
11/25/2013	78
07/19/2013	38
10/11/2013	95
07/30/2014	70
07/18/2014	87
05/25/2014	37
10/12/2014	73
07/12/2013	48
04/20/2014	43
02/23/2014	22
05/15/2014	42
08/08/2014	68
08/28/2014	73
