Date	Average
09/08/2014	54
03/19/2014	20
11/18/2013	55
08/18/2013	55
09/20/2013	38
10/30/2014	40
07/21/2014	42
01/07/2014	25
11/01/2013	55
06/18/2014	42
07/29/2014	42
09/06/2013	55
10/25/2014	55
02/21/2014	31
12/31/2013	27
07/08/2014	38
08/29/2013	53
04/06/2014	26
03/17/2014	35
06/23/2014	33
02/09/2014	28
09/01/2014	48
09/17/2014	54
05/21/2014	43
07/15/2013	60
09/05/2013	43
02/04/2014	21
11/04/2013	65
10/22/2014	53
02/02/2014	18
12/24/2013	42
07/01/2014	30
11/24/2013	42
06/01/2014	52
06/09/2014	39
03/20/2014	18
01/26/2014	18
01/24/2014	14
07/06/2014	53
10/13/2013	53
09/09/2013	43
10/19/2014	36
09/16/2014	60
06/12/2014	43
12/29/2013	27
08/30/2013	53
03/13/2014	24
10/27/2013	55
07/10/2014	46
03/25/2014	18
08/07/2014	39
12/09/2013	43
07/11/2013	65
08/07/2013	63
08/04/2014	42
11/06/2014	35
09/30/2014	70
04/21/2014	38
12/03/2013	40
02/06/2014	30
10/08/2013	38
07/22/2013	58
01/29/2014	16
02/03/2014	20
06/19/2013	28
09/10/2013	48
05/20/2014	40
12/06/2013	40
05/05/2014	42
09/23/2013	38
09/08/2013	43
12/20/2013	43
08/13/2013	58
12/10/2013	43
08/01/2014	42
08/06/2013	63
11/21/2013	45
11/07/2014	34
06/16/2013	33
06/20/2013	23
04/10/2014	20
05/26/2014	42
07/09/2013	43
10/14/2014	50
03/06/2014	28
04/28/2014	38
11/20/2013	65
11/26/2013	38
10/08/2014	46
05/04/2014	48
05/02/2014	49
07/24/2014	48
07/11/2014	43
07/22/2014	37
09/24/2014	55
12/11/2013	45
10/26/2014	50
12/12/2013	46
09/11/2013	43
02/20/2014	42
08/27/2013	53
02/14/2014	28
02/17/2014	38
10/02/2013	43
01/13/2014	28
04/29/2014	48
01/06/2014	24
07/28/2013	58
09/22/2014	59
11/13/2013	75
11/01/2014	33
03/28/2014	18
02/13/2014	27
08/03/2014	42
08/02/2013	60
03/31/2014	22
11/29/2013	39
11/08/2014	34
05/23/2014	43
10/28/2014	50
03/24/2014	14
08/23/2014	46
09/13/2014	58
04/30/2014	48
10/31/2014	40
06/27/2014	33
06/25/2014	28
08/19/2013	58
06/03/2014	54
11/05/2013	110
08/01/2013	58
09/28/2014	69
08/17/2014	32
01/27/2014	20
10/24/2014	38
09/15/2014	77
10/12/2013	48
10/27/2014	55
08/15/2013	58
04/07/2014	21
01/14/2014	28
