Date	Average
01/07/2014	17
02/21/2014	19
12/31/2013	19
03/17/2014	19
02/09/2014	20
05/21/2014	28
02/04/2014	16
02/02/2014	13
12/24/2013	32
03/20/2014	17
12/29/2013	19
03/13/2014	19
03/25/2014	14
04/21/2014	23
01/29/2014	11
02/03/2014	14
05/20/2014	23
05/05/2014	28
12/20/2013	30
04/10/2014	17
05/26/2014	28
03/06/2014	19
04/28/2014	23
05/04/2014	29
05/02/2014	28
02/20/2014	24
02/14/2014	28
02/17/2014	23
01/13/2014	20
04/29/2014	28
01/06/2014	17
03/28/2014	14
02/13/2014	19
05/23/2014	23
04/30/2014	33
01/14/2014	19
05/18/2014	23
03/11/2014	19
03/26/2014	14
01/09/2014	21
03/07/2014	19
04/15/2014	23
01/02/2014	17
03/27/2014	14
03/21/2014	13
04/23/2014	23
04/27/2014	38
01/03/2014	19
01/05/2014	21
01/08/2014	19
04/17/2014	23
02/24/2014	19
12/19/2013	29
02/18/2014	21
05/25/2014	23
04/20/2014	28
02/23/2014	19
05/15/2014	23
01/01/2014	18
02/25/2014	19
05/19/2014	23
05/07/2014	22
02/10/2014	19
05/12/2014	23
12/23/2013	31
03/09/2014	19
05/11/2014	23
01/21/2014	15
04/16/2014	23
11/09/2014	19
03/14/2014	18
01/20/2014	15
05/06/2014	23
05/08/2014	23
03/03/2014	23
04/11/2014	16
12/27/2013	28
01/17/2014	17
03/05/2014	19
12/26/2013	29
02/16/2014	23
01/12/2014	20
04/13/2014	18
01/10/2014	19
12/22/2013	33
03/10/2014	17
05/22/2014	28
05/13/2014	28
05/16/2014	28
02/05/2014	14
01/16/2014	19
04/18/2014	23
12/18/2013	31
04/25/2014	23
01/19/2014	17
04/22/2014	28
03/12/2014	19
02/12/2014	19
02/26/2014	22
03/18/2014	19
02/11/2014	23
04/09/2014	14
05/09/2014	28
02/28/2014	22
