Date	Average
03/19/2014	65
11/18/2013	85
08/18/2013	125
09/20/2013	125
07/21/2014	95
01/07/2014	125
11/01/2013	125
06/18/2014	105
07/29/2014	115
09/06/2013	125
10/25/2014	55
02/21/2014	125
12/31/2013	125
07/08/2014	125
08/29/2013	125
04/06/2014	55
03/17/2014	55
06/23/2014	95
02/09/2014	125
09/17/2014	115
05/21/2014	115
07/15/2013	125
09/05/2013	125
02/04/2014	125
11/04/2013	125
10/22/2014	115
02/02/2014	125
12/24/2013	125
07/01/2014	95
11/24/2013	125
06/01/2014	113
06/09/2014	105
03/20/2014	55
01/26/2014	125
01/24/2014	125
07/06/2014	95
09/09/2013	125
10/19/2014	115
09/16/2014	115
06/12/2014	105
12/29/2013	125
08/30/2013	125
03/13/2014	75
10/27/2013	125
07/10/2014	125
03/25/2014	58
08/07/2014	105
12/09/2013	125
07/11/2013	125
08/07/2013	125
08/04/2014	115
09/30/2014	115
04/21/2014	95
12/03/2013	125
02/06/2014	125
10/08/2013	125
07/22/2013	125
01/29/2014	125
02/03/2014	125
06/19/2013	125
09/10/2013	125
05/20/2014	125
12/06/2013	125
05/05/2014	103
09/23/2013	125
09/08/2013	125
12/20/2013	125
08/13/2013	125
12/10/2013	125
08/01/2014	105
08/06/2013	125
11/21/2013	125
06/16/2013	125
06/20/2013	125
04/10/2014	105
05/26/2014	113
07/09/2013	125
10/14/2014	105
03/06/2014	75
04/28/2014	115
11/20/2013	95
11/26/2013	125
10/08/2014	115
05/04/2014	105
05/02/2014	105
07/24/2014	95
07/11/2014	95
07/22/2014	95
09/24/2014	115
12/11/2013	125
12/12/2013	125
09/11/2013	125
02/20/2014	125
08/27/2013	125
02/14/2014	125
02/17/2014	125
10/02/2013	125
01/13/2014	125
04/29/2014	115
01/06/2014	125
07/28/2013	125
09/22/2014	115
11/13/2013	85
03/28/2014	58
02/13/2014	125
08/03/2014	115
08/02/2013	125
03/31/2014	53
11/29/2013	125
05/23/2014	115
03/24/2014	58
09/13/2014	115
04/30/2014	105
06/27/2014	97
06/25/2014	95
08/19/2013	125
06/03/2014	113
08/01/2013	125
09/28/2014	115
01/27/2014	85
10/24/2014	115
09/15/2014	115
10/12/2013	125
08/15/2013	125
04/07/2014	58
01/14/2014	125
06/08/2014	115
10/25/2013	125
12/13/2013	125
06/04/2014	115
10/20/2013	125
06/25/2013	127
11/07/2013	125
05/18/2014	115
09/24/2013	125
03/11/2014	75
08/04/2013	125
01/28/2014	125
08/26/2013	125
03/26/2014	65
12/04/2013	125
10/10/2013	125
01/09/2014	125
07/16/2013	125
09/09/2014	97
03/07/2014	75
04/15/2014	125
10/30/2013	125
07/15/2014	85
06/26/2014	95
01/02/2014	125
06/28/2013	125
03/27/2014	58
07/21/2013	125
01/22/2014	125
10/23/2013	125
07/23/2014	95
09/21/2014	115
09/04/2013	125
03/21/2014	58
04/23/2014	115
04/27/2014	115
09/16/2013	125
01/03/2014	125
01/05/2014	125
11/03/2013	125
06/17/2014	95
08/06/2014	115
11/15/2013	85
01/08/2014	130
04/17/2014	125
07/31/2014	105
09/15/2013	125
09/19/2014	115
06/11/2014	95
06/10/2014	105
11/17/2013	95
12/01/2013	125
08/25/2013	125
10/13/2014	117
02/24/2014	125
07/14/2014	105
12/19/2013	125
06/20/2014	95
02/18/2014	125
11/25/2013	125
07/19/2013	125
10/11/2013	125
07/30/2014	115
07/18/2014	95
05/25/2014	113
10/12/2014	115
07/12/2013	125
04/20/2014	105
02/23/2014	125
05/15/2014	117
08/08/2014	105
08/12/2014	115
06/18/2013	125
05/27/2014	117
10/07/2013	125
07/02/2014	95
07/23/2013	125
01/01/2014	125
02/25/2014	125
11/22/2013	125
05/19/2014	125
10/09/2014	115
09/30/2013	125
06/17/2013	125
10/16/2014	115
07/24/2013	125
07/10/2013	125
10/20/2014	115
05/30/2014	105
07/31/2013	125
09/12/2013	125
07/28/2014	105
06/27/2013	125
05/07/2014	113
07/18/2013	125
02/10/2014	125
09/14/2014	115
07/13/2014	95
07/05/2013	125
05/12/2014	105
10/17/2014	115
12/23/2013	125
09/18/2014	115
03/09/2014	75
09/03/2013	125
10/01/2013	125
08/13/2014	105
05/11/2014	113
07/04/2013	125
04/04/2014	55
08/09/2014	115
07/25/2013	125
06/21/2013	125
01/21/2014	125
08/15/2014	125
10/29/2013	125
08/16/2013	125
08/23/2013	135
11/27/2013	125
04/16/2014	115
06/30/2014	95
03/14/2014	75
10/23/2014	115
10/16/2013	125
07/14/2013	125
01/20/2014	125
02/07/2014	125
06/15/2014	97
03/23/2014	58
11/14/2013	113
12/08/2013	125
07/29/2013	125
09/27/2013	125
05/06/2014	105
07/04/2014	95
11/28/2013	125
05/08/2014	107
06/16/2014	105
08/11/2014	115
07/27/2014	95
03/03/2014	85
07/05/2014	95
04/11/2014	125
09/22/2013	125
07/07/2014	95
07/25/2014	95
08/02/2014	115
09/23/2014	115
12/27/2013	125
08/05/2014	115
10/24/2013	125
01/17/2014	125
12/16/2013	125
03/05/2014	85
12/26/2013	125
02/16/2014	125
07/02/2013	125
01/12/2014	125
07/16/2014	95
04/13/2014	115
04/03/2014	48
06/06/2014	115
07/01/2013	125
09/01/2013	125
01/10/2014	125
12/22/2013	125
12/15/2013	125
11/16/2013	85
09/29/2014	115
10/22/2013	125
09/11/2014	105
11/10/2013	75
03/10/2014	75
05/28/2014	115
09/19/2013	125
10/17/2013	125
10/31/2013	125
05/22/2014	115
08/10/2014	95
09/26/2013	145
08/14/2014	105
10/21/2013	125
05/13/2014	115
09/12/2014	105
05/16/2014	105
07/19/2014	95
07/20/2014	95
12/02/2013	125
07/17/2014	95
02/05/2014	125
01/16/2014	128
07/09/2014	125
04/01/2014	55
04/18/2014	115
06/19/2014	95
09/17/2013	125
09/02/2013	125
12/18/2013	125
04/25/2014	125
10/21/2014	115
01/19/2014	125
04/22/2014	115
09/25/2013	125
07/03/2014	95
03/12/2014	75
08/14/2013	125
09/13/2013	125
02/12/2014	125
10/04/2013	125
08/05/2013	125
02/26/2014	125
03/18/2014	65
06/24/2014	95
10/03/2013	145
09/04/2014	87
07/03/2013	125
09/20/2014	115
06/13/2014	105
02/11/2014	125
01/23/2014	125
07/26/2013	125
09/29/2013	125
10/10/2014	125
06/30/2013	125
07/30/2013	125
04/02/2014	53
10/28/2013	125
09/26/2014	115
07/17/2013	125
07/12/2014	95
04/09/2014	85
12/05/2013	125
06/05/2014	115
10/06/2013	125
07/26/2014	95
05/09/2014	115
08/08/2013	125
02/28/2014	125
06/02/2014	117
09/10/2014	97
06/26/2013	125
11/12/2013	145
10/09/2013	125
