Date	Average
09/08/2014	216
03/19/2014	207
11/18/2013	190
08/18/2013	175
09/20/2013	173
10/30/2014	187
07/21/2014	197
01/07/2014	237
11/01/2013	165
06/18/2014	177
07/29/2014	207
09/06/2013	173
10/25/2014	178
02/21/2014	237
12/31/2013	225
07/08/2014	197
08/29/2013	175
04/06/2014	210
03/17/2014	237
06/23/2014	177
02/09/2014	236
09/01/2014	217
09/17/2014	206
05/21/2014	177
07/15/2013	175
09/05/2013	173
02/04/2014	237
11/04/2013	165
10/22/2014	187
02/02/2014	230
12/24/2013	235
07/01/2014	197
11/24/2013	195
06/01/2014	177
06/09/2014	177
03/20/2014	207
01/26/2014	235
01/24/2014	237
07/06/2014	197
10/13/2013	115
09/09/2013	173
10/19/2014	187
09/16/2014	207
06/12/2014	185
12/29/2013	235
08/30/2013	175
03/13/2014	237
10/27/2013	165
07/10/2014	197
03/25/2014	197
08/07/2014	217
12/09/2013	226
07/11/2013	175
08/07/2013	175
08/04/2014	217
11/06/2014	217
09/30/2014	197
04/21/2014	185
12/03/2013	205
02/06/2014	236
10/08/2013	165
07/22/2013	175
01/29/2014	235
02/03/2014	235
06/19/2013	175
09/10/2013	173
05/20/2014	177
12/06/2013	215
05/05/2014	203
09/23/2013	173
09/08/2013	173
12/20/2013	225
08/13/2013	175
12/10/2013	225
08/01/2014	217
08/06/2013	175
11/21/2013	190
11/07/2014	217
06/16/2013	175
06/20/2013	175
04/10/2014	197
05/26/2014	177
07/09/2013	175
10/14/2014	187
03/06/2014	235
04/28/2014	195
11/20/2013	190
11/26/2013	205
10/08/2014	197
05/04/2014	217
05/02/2014	207
07/24/2014	197
07/11/2014	197
07/22/2014	190
09/24/2014	197
12/11/2013	225
10/26/2014	177
12/12/2013	225
09/11/2013	173
02/20/2014	237
08/27/2013	175
02/14/2014	237
02/17/2014	237
10/02/2013	165
01/13/2014	237
04/29/2014	207
01/06/2014	237
07/28/2013	175
09/22/2014	193
11/13/2013	190
11/01/2014	186
03/28/2014	197
02/13/2014	237
08/03/2014	217
08/02/2013	175
03/31/2014	195
11/29/2013	205
11/08/2014	212
05/23/2014	173
10/28/2014	187
03/24/2014	196
08/23/2014	226
09/13/2014	216
04/30/2014	207
10/31/2014	187
06/27/2014	197
06/25/2014	197
08/19/2013	175
06/03/2014	173
11/05/2013	165
08/01/2013	175
09/28/2014	197
08/17/2014	216
01/27/2014	235
10/24/2014	178
09/15/2014	207
10/12/2013	163
10/27/2014	185
08/15/2013	175
04/07/2014	210
01/14/2014	237
06/08/2014	175
08/25/2014	227
10/25/2013	165
12/13/2013	227
06/04/2014	177
10/20/2013	165
06/25/2013	175
11/07/2013	175
05/18/2014	183
09/24/2013	173
10/15/2013	165
03/11/2014	237
08/04/2013	175
01/28/2014	237
08/26/2013	175
03/26/2014	197
12/04/2013	205
10/10/2013	165
01/09/2014	237
07/16/2013	175
02/08/2014	215
09/09/2014	217
03/07/2014	235
04/15/2014	195
10/30/2013	165
07/15/2014	197
06/26/2014	193
01/02/2014	235
06/28/2013	175
03/27/2014	197
07/21/2013	175
01/22/2014	237
10/23/2013	165
07/23/2014	190
09/21/2014	193
09/04/2013	173
03/21/2014	203
04/23/2014	175
04/27/2014	185
09/16/2013	173
01/03/2014	235
01/05/2014	235
11/03/2013	165
06/17/2014	177
08/06/2014	217
11/15/2013	190
01/08/2014	237
04/17/2014	185
07/31/2014	207
09/15/2013	173
09/19/2014	198
06/11/2014	175
06/10/2014	175
11/17/2013	190
12/01/2013	220
08/25/2013	175
10/13/2014	187
02/24/2014	237
07/14/2014	197
12/19/2013	225
06/20/2014	177
02/18/2014	237
11/25/2013	205
07/19/2013	175
10/11/2013	165
07/30/2014	207
07/18/2014	197
05/25/2014	177
10/12/2014	187
07/12/2013	175
04/20/2014	187
02/23/2014	237
05/15/2014	175
08/08/2014	217
08/28/2014	227
08/12/2014	216
06/18/2013	175
05/27/2014	177
10/07/2013	165
07/02/2014	197
07/23/2013	175
01/01/2014	235
02/25/2014	237
11/22/2013	195
09/07/2014	213
05/19/2014	173
10/09/2014	187
09/30/2013	165
06/17/2013	175
10/16/2014	187
07/24/2013	175
07/10/2013	175
10/20/2014	187
05/30/2014	177
07/31/2013	175
11/06/2013	165
09/12/2013	173
07/28/2014	207
06/27/2013	175
05/07/2014	217
07/18/2013	175
11/03/2014	187
02/10/2014	236
09/14/2014	217
07/13/2014	197
07/05/2013	175
11/10/2014	217
05/12/2014	213
10/17/2014	183
12/23/2013	225
09/18/2014	197
03/09/2014	233
09/03/2013	185
10/01/2013	165
08/13/2014	217
05/11/2014	217
07/04/2013	175
04/04/2014	210
08/09/2014	216
07/25/2013	175
06/21/2013	175
01/21/2014	237
08/15/2014	217
10/29/2013	165
08/16/2013	175
08/23/2013	175
08/18/2014	217
11/27/2013	205
04/16/2014	177
11/09/2014	217
06/30/2014	197
03/14/2014	237
10/23/2014	183
10/16/2013	167
08/31/2014	215
07/14/2013	175
01/20/2014	235
02/07/2014	237
06/15/2014	187
03/23/2014	147
11/14/2013	190
09/02/2014	216
08/21/2014	227
12/08/2013	225
07/29/2013	175
09/27/2013	165
08/19/2014	217
05/06/2014	207
07/04/2014	195
08/20/2014	217
11/28/2013	205
11/02/2014	187
05/08/2014	203
06/16/2014	175
08/11/2014	216
07/27/2014	183
03/03/2014	237
07/05/2014	195
04/11/2014	187
09/22/2013	173
07/07/2014	197
07/25/2014	197
09/23/2014	193
12/27/2013	225
08/05/2014	217
09/05/2014	217
10/24/2013	165
10/14/2013	165
01/17/2014	237
12/16/2013	225
03/05/2014	237
12/26/2013	225
02/16/2014	237
07/02/2013	175
01/12/2014	237
07/16/2014	190
04/13/2014	185
04/03/2014	210
06/06/2014	173
08/26/2014	227
07/01/2013	175
09/01/2013	175
10/15/2014	185
01/10/2014	237
08/29/2014	227
12/22/2013	225
11/04/2014	187
12/15/2013	223
11/16/2013	190
09/29/2014	197
10/22/2013	165
09/11/2014	207
11/10/2013	193
03/10/2014	237
05/28/2014	175
09/19/2013	173
10/17/2013	165
11/05/2014	187
10/31/2013	165
05/22/2014	177
08/10/2014	216
09/26/2013	173
08/14/2014	217
10/21/2013	165
05/13/2014	217
09/12/2014	210
09/06/2014	216
05/16/2014	177
07/19/2014	196
07/20/2014	197
06/29/2014	195
12/02/2013	205
07/17/2014	196
02/05/2014	235
01/16/2014	237
07/09/2014	197
08/22/2014	227
04/01/2014	197
10/29/2014	185
04/18/2014	185
06/19/2014	175
09/17/2013	173
09/02/2013	185
08/24/2014	223
12/18/2013	225
04/25/2014	175
10/21/2014	187
01/19/2014	237
04/22/2014	175
09/25/2013	175
08/27/2014	227
07/03/2014	197
09/03/2014	217
03/12/2014	235
08/14/2013	175
09/13/2013	168
02/12/2014	226
10/04/2013	165
08/05/2013	175
02/26/2014	235
03/18/2014	210
06/24/2014	177
10/03/2013	165
09/04/2014	217
07/03/2013	175
09/20/2014	196
06/13/2014	177
02/11/2014	225
08/16/2014	214
01/23/2014	237
07/26/2013	175
09/29/2013	165
10/10/2014	183
06/30/2013	175
07/30/2013	175
04/02/2014	195
11/11/2013	190
10/28/2013	165
09/26/2014	197
07/17/2013	175
07/12/2014	196
04/09/2014	195
12/05/2013	205
06/05/2014	177
10/06/2013	165
07/26/2014	188
05/09/2014	207
08/08/2013	175
02/28/2014	237
06/02/2014	177
09/10/2014	213
06/26/2013	175
11/12/2013	190
10/09/2013	165
