Date	Average
09/08/2014	66
03/19/2014	70
11/18/2013	53
08/18/2013	58
09/20/2013	75
10/30/2014	77
07/21/2014	53
01/07/2014	38
11/01/2013	65
06/18/2014	48
07/29/2014	58
09/06/2013	85
10/25/2014	78
02/21/2014	58
12/31/2013	33
07/08/2014	43
08/29/2013	78
04/06/2014	55
03/17/2014	67
06/23/2014	39
02/09/2014	48
09/01/2014	58
09/17/2014	87
05/21/2014	77
07/15/2013	35
09/05/2013	95
02/04/2014	48
11/04/2013	48
10/22/2014	77
02/02/2014	48
12/24/2013	43
07/01/2014	38
11/24/2013	43
06/01/2014	40
06/09/2014	38
03/20/2014	67
01/26/2014	52
01/24/2014	58
07/06/2014	43
10/13/2013	105
09/09/2013	78
10/19/2014	67
09/16/2014	87
06/12/2014	55
12/29/2013	33
08/30/2013	75
03/13/2014	73
10/27/2013	75
07/10/2014	42
03/25/2014	77
08/07/2014	58
12/09/2013	48
07/11/2013	35
08/07/2013	43
08/04/2014	48
11/06/2014	63
09/30/2014	58
04/21/2014	43
12/03/2013	48
02/06/2014	48
10/08/2013	55
07/22/2013	38
01/29/2014	47
02/03/2014	48
06/19/2013	38
09/10/2013	78
05/20/2014	85
12/06/2013	43
05/05/2014	38
09/23/2013	78
09/08/2013	85
12/20/2013	48
08/13/2013	43
12/10/2013	48
08/01/2014	48
08/06/2013	43
11/21/2013	55
11/07/2014	67
06/16/2013	35
06/20/2013	45
04/10/2014	48
05/26/2014	57
07/09/2013	45
10/14/2014	87
03/06/2014	87
04/28/2014	42
11/20/2013	57
11/26/2013	43
10/08/2014	87
05/04/2014	42
05/02/2014	37
07/24/2014	57
07/11/2014	43
07/22/2014	47
09/24/2014	67
12/11/2013	48
10/26/2014	90
12/12/2013	43
09/11/2013	85
02/20/2014	55
08/27/2013	78
02/14/2014	58
02/17/2014	57
10/02/2013	53
01/13/2014	57
04/29/2014	48
01/06/2014	39
07/28/2013	38
09/22/2014	87
11/13/2013	42
11/01/2014	76
03/28/2014	55
02/13/2014	67
08/03/2014	53
08/02/2013	38
03/31/2014	75
11/29/2013	45
11/08/2014	56
05/23/2014	58
10/28/2014	87
03/24/2014	66
08/23/2014	42
09/13/2014	86
04/30/2014	43
10/31/2014	77
06/27/2014	48
06/25/2014	48
08/19/2013	53
06/03/2014	39
11/05/2013	57
08/01/2013	38
09/28/2014	67
08/17/2014	58
01/27/2014	42
10/24/2014	68
09/15/2014	83
10/12/2013	85
10/27/2014	125
08/15/2013	43
04/07/2014	60
01/14/2014	58
06/08/2014	45
08/25/2014	53
10/25/2013	75
12/13/2013	43
06/04/2014	43
10/20/2013	65
06/25/2013	34
11/07/2013	48
05/18/2014	43
09/24/2013	63
10/15/2013	105
03/11/2014	87
08/04/2013	38
01/28/2014	43
08/26/2013	73
03/26/2014	57
12/04/2013	48
10/10/2013	53
01/09/2014	38
07/16/2013	33
02/08/2014	41
09/09/2014	75
03/07/2014	78
04/15/2014	48
10/30/2013	55
07/15/2014	58
06/26/2014	48
01/02/2014	38
06/28/2013	35
03/27/2014	58
07/21/2013	38
01/22/2014	58
10/23/2013	85
07/23/2014	53
09/21/2014	73
09/04/2013	95
03/21/2014	87
04/23/2014	45
04/27/2014	43
09/16/2013	58
01/03/2014	43
01/05/2014	43
11/03/2013	58
06/17/2014	45
08/06/2014	53
11/15/2013	44
01/08/2014	38
04/17/2014	48
07/31/2014	48
09/15/2013	78
09/19/2014	78
06/11/2014	42
06/10/2014	53
11/17/2013	46
12/01/2013	48
08/25/2013	73
10/13/2014	67
02/24/2014	67
07/14/2014	48
12/19/2013	48
06/20/2014	48
02/18/2014	67
11/25/2013	45
07/19/2013	38
10/11/2013	76
07/30/2014	53
07/18/2014	55
05/25/2014	57
10/12/2014	57
07/12/2013	33
04/20/2014	48
02/23/2014	58
05/15/2014	83
08/08/2014	53
08/28/2014	58
08/12/2014	65
06/18/2013	38
05/27/2014	55
10/07/2013	58
07/02/2014	38
07/23/2013	43
01/01/2014	43
02/25/2014	65
11/22/2013	58
09/07/2014	67
05/19/2014	43
10/09/2014	64
09/30/2013	53
06/17/2013	35
10/16/2014	73
07/24/2013	43
07/10/2013	33
10/20/2014	67
05/30/2014	55
07/31/2013	38
11/06/2013	65
09/12/2013	85
07/28/2014	60
06/27/2013	28
05/07/2014	47
07/18/2013	38
11/03/2014	77
02/10/2014	48
09/14/2014	87
07/13/2014	43
07/05/2013	33
11/10/2014	47
05/12/2014	58
10/17/2014	77
12/23/2013	43
09/18/2014	87
03/09/2014	87
09/03/2013	110
10/01/2013	58
08/13/2014	60
05/11/2014	37
07/04/2013	33
04/04/2014	59
08/09/2014	53
07/25/2013	33
06/21/2013	55
01/21/2014	47
08/15/2014	115
10/29/2013	65
08/16/2013	58
08/23/2013	68
08/18/2014	55
11/27/2013	43
04/16/2014	53
11/09/2014	57
06/30/2014	38
03/14/2014	70
10/23/2014	73
10/16/2013	115
08/31/2014	58
07/14/2013	38
01/20/2014	38
02/07/2014	48
06/15/2014	43
03/23/2014	78
11/14/2013	41
09/02/2014	58
08/21/2014	42
12/08/2013	45
07/29/2013	38
09/27/2013	63
08/19/2014	46
05/06/2014	33
07/04/2014	43
08/20/2014	48
11/28/2013	45
11/02/2014	77
05/08/2014	58
06/16/2014	45
08/11/2014	53
07/27/2014	57
03/03/2014	75
07/05/2014	43
04/11/2014	48
09/22/2013	65
07/07/2014	43
07/25/2014	58
08/02/2014	48
09/23/2014	76
12/27/2013	38
08/05/2014	57
09/05/2014	68
10/24/2013	85
10/14/2013	110
01/17/2014	58
12/16/2013	43
03/05/2014	78
12/26/2013	43
02/16/2014	58
07/02/2013	29
01/12/2014	58
07/16/2014	57
04/13/2014	48
04/03/2014	60
06/06/2014	43
08/26/2014	58
07/01/2013	45
09/01/2013	68
10/15/2014	97
01/10/2014	38
08/29/2014	67
12/22/2013	41
11/04/2014	87
12/15/2013	39
11/16/2013	42
09/29/2014	58
10/22/2013	58
09/11/2014	97
11/10/2013	42
03/10/2014	87
05/28/2014	67
09/19/2013	65
10/17/2013	110
11/05/2014	77
10/31/2013	55
05/22/2014	76
08/10/2014	53
09/26/2013	65
08/14/2014	67
10/21/2013	58
05/13/2014	57
09/12/2014	87
09/06/2014	66
05/16/2014	83
07/19/2014	53
07/20/2014	53
06/29/2014	38
12/02/2013	45
07/17/2014	58
02/05/2014	37
01/16/2014	55
07/09/2014	43
08/22/2014	45
04/01/2014	75
10/29/2014	85
04/18/2014	47
06/19/2014	48
09/17/2013	58
09/02/2013	73
08/24/2014	42
12/18/2013	55
04/25/2014	43
10/21/2014	67
01/19/2014	38
04/22/2014	45
09/25/2013	58
08/27/2014	59
07/03/2014	37
09/03/2014	70
03/12/2014	75
08/14/2013	43
09/13/2013	85
02/12/2014	48
10/04/2013	58
08/05/2013	38
02/26/2014	53
03/18/2014	67
06/24/2014	43
10/03/2013	58
09/04/2014	63
07/03/2013	28
09/20/2014	74
06/13/2014	48
02/11/2014	48
08/16/2014	106
01/23/2014	58
07/26/2013	33
09/29/2013	58
10/10/2014	58
06/30/2013	45
07/30/2013	38
04/02/2014	75
11/11/2013	39
10/28/2013	65
09/26/2014	67
07/17/2013	35
07/12/2014	43
04/09/2014	48
12/05/2013	48
06/05/2014	44
10/06/2013	75
07/26/2014	58
05/09/2014	48
08/08/2013	38
02/28/2014	77
06/02/2014	38
09/10/2014	87
06/26/2013	28
11/12/2013	39
10/09/2013	53
