Date	Average
09/08/2014	13
03/19/2014	28
11/18/2013	14
08/18/2013	28
09/20/2013	13
10/30/2014	13
07/21/2014	38
01/07/2014	28
11/01/2013	14
06/18/2014	48
07/29/2014	33
09/06/2013	15
10/25/2014	17
02/21/2014	29
12/31/2013	18
07/08/2014	33
08/29/2013	16
04/06/2014	31
03/17/2014	28
06/23/2014	27
02/09/2014	38
09/01/2014	22
09/17/2014	15
05/21/2014	38
07/15/2013	43
09/05/2013	16
02/04/2014	28
11/04/2013	23
10/22/2014	18
02/02/2014	28
12/24/2013	23
07/01/2014	33
11/24/2013	17
06/01/2014	47
06/09/2014	47
03/20/2014	28
01/26/2014	34
01/24/2014	23
07/06/2014	38
10/13/2013	19
09/09/2013	15
10/19/2014	7
09/16/2014	15
06/12/2014	45
12/29/2013	43
08/30/2013	15
03/13/2014	28
10/27/2013	13
07/10/2014	33
03/25/2014	28
08/07/2014	38
12/09/2013	19
07/11/2013	43
08/07/2013	30
08/04/2014	33
11/06/2014	10
09/30/2014	17
12/03/2013	17
02/06/2014	23
10/08/2013	11
07/22/2013	38
01/29/2014	28
02/03/2014	38
06/19/2013	38
09/10/2013	15
05/20/2014	38
12/06/2013	17
09/23/2013	13
09/08/2013	16
12/20/2013	18
08/13/2013	28
12/10/2013	17
08/01/2014	38
08/06/2013	28
11/21/2013	19
11/07/2014	5
06/16/2013	39
06/20/2013	38
04/10/2014	28
07/09/2013	38
10/14/2014	8
03/06/2014	28
11/20/2013	14
11/26/2013	17
10/08/2014	9
07/24/2014	33
07/11/2014	33
07/22/2014	38
09/24/2014	12
12/11/2013	17
10/26/2014	9
12/12/2013	17
09/11/2013	13
02/20/2014	28
08/27/2013	16
02/14/2014	28
02/17/2014	29
10/02/2013	11
01/13/2014	33
01/06/2014	28
07/28/2013	31
09/22/2014	12
11/13/2013	18
11/01/2014	13
03/28/2014	28
02/13/2014	28
08/03/2014	38
08/02/2013	28
03/31/2014	30
11/29/2013	17
11/08/2014	7
05/23/2014	43
10/28/2014	19
03/24/2014	28
08/23/2014	27
09/13/2014	15
10/31/2014	13
06/27/2014	38
06/25/2014	38
08/19/2013	28
06/03/2014	57
08/01/2013	28
09/28/2014	11
08/17/2014	23
01/27/2014	31
10/24/2014	13
09/15/2014	17
10/12/2013	13
10/27/2014	11
08/15/2013	31
04/07/2014	29
01/14/2014	38
06/08/2014	57
08/25/2014	27
10/25/2013	11
12/13/2013	19
06/04/2014	58
10/20/2013	15
06/25/2013	38
11/07/2013	19
05/18/2014	53
09/24/2013	11
03/11/2014	28
08/04/2013	28
01/28/2014	28
08/26/2013	16
03/26/2014	28
12/04/2013	17
10/10/2013	9
01/09/2014	38
07/16/2013	43
09/09/2014	16
03/07/2014	28
04/15/2014	22
10/30/2013	11
07/15/2014	37
06/26/2014	37
01/02/2014	28
06/28/2013	38
03/27/2014	28
07/21/2013	43
01/22/2014	28
10/23/2013	9
07/23/2014	37
09/21/2014	11
09/04/2013	15
03/21/2014	28
09/16/2013	13
01/03/2014	28
01/05/2014	28
11/03/2013	14
06/17/2014	48
08/06/2014	38
11/15/2013	16
04/17/2014	23
07/31/2014	38
09/15/2013	13
09/19/2014	9
06/11/2014	48
06/10/2014	48
11/17/2013	15
12/01/2013	17
08/25/2013	16
10/13/2014	9
02/24/2014	28
07/14/2014	38
12/19/2013	19
06/20/2014	43
02/18/2014	29
11/25/2013	17
07/19/2013	38
10/11/2013	11
07/30/2014	38
07/18/2014	38
05/25/2014	38
10/12/2014	6
07/12/2013	39
02/23/2014	28
05/15/2014	35
08/08/2014	33
08/28/2014	22
08/12/2014	22
06/18/2013	43
10/07/2013	11
07/02/2014	33
07/23/2013	33
01/01/2014	28
02/25/2014	28
11/22/2013	17
09/07/2014	17
05/19/2014	58
10/09/2014	9
09/30/2013	11
06/17/2013	38
10/16/2014	11
07/24/2013	33
07/10/2013	38
10/20/2014	8
05/30/2014	53
07/31/2013	33
09/12/2013	13
07/28/2014	38
06/27/2013	39
07/18/2013	43
11/03/2014	14
02/10/2014	28
09/14/2014	16
07/13/2014	31
07/05/2013	43
11/10/2014	8
10/17/2014	9
12/23/2013	17
09/18/2014	11
03/09/2014	28
09/03/2013	15
10/01/2013	11
08/13/2014	20
07/04/2013	43
04/04/2014	35
08/09/2014	33
07/25/2013	33
06/21/2013	38
01/21/2014	28
08/15/2014	23
10/29/2013	11
08/16/2013	28
08/23/2013	19
08/18/2014	16
11/27/2013	17
04/16/2014	23
11/09/2014	9
06/30/2014	33
03/14/2014	28
10/23/2014	15
10/16/2013	18
08/31/2014	18
07/14/2013	43
01/20/2014	28
02/07/2014	28
06/15/2014	48
03/23/2014	28
11/14/2013	16
09/02/2014	23
08/21/2014	17
12/08/2013	17
07/29/2013	30
09/27/2013	11
08/19/2014	16
07/04/2014	38
08/20/2014	17
11/28/2013	17
11/02/2014	9
06/16/2014	48
08/11/2014	19
07/27/2014	38
03/03/2014	28
07/05/2014	38
04/11/2014	28
09/22/2013	13
07/07/2014	38
07/25/2014	38
08/02/2014	33
09/23/2014	13
12/27/2013	21
08/05/2014	38
09/05/2014	16
10/24/2013	11
10/14/2013	19
01/17/2014	33
12/16/2013	19
03/05/2014	28
12/26/2013	21
02/16/2014	29
07/02/2013	43
01/12/2014	33
07/16/2014	38
04/13/2014	23
06/06/2014	53
08/26/2014	29
07/01/2013	41
09/01/2013	15
10/15/2014	12
01/10/2014	38
08/29/2014	25
12/22/2013	17
11/04/2014	12
12/15/2013	19
11/16/2013	15
09/29/2014	14
10/22/2013	9
09/11/2014	14
11/10/2013	18
03/10/2014	28
05/28/2014	58
09/19/2013	13
10/17/2013	19
11/05/2014	15
10/31/2013	12
05/22/2014	38
08/10/2014	23
09/26/2013	11
08/14/2014	19
10/21/2013	14
09/12/2014	13
09/06/2014	16
05/16/2014	37
07/19/2014	38
07/20/2014	39
06/29/2014	38
12/02/2013	17
07/17/2014	38
02/05/2014	27
01/16/2014	33
08/12/2013	21
07/09/2014	33
08/22/2014	29
10/29/2014	13
04/18/2014	28
06/19/2014	43
09/17/2013	13
09/02/2013	14
08/24/2014	27
12/18/2013	19
10/21/2014	11
01/19/2014	33
09/25/2013	11
08/27/2014	28
07/03/2014	33
09/03/2014	22
03/12/2014	28
08/14/2013	28
09/13/2013	13
02/12/2014	19
10/04/2013	9
08/05/2013	28
02/26/2014	28
03/18/2014	28
06/24/2014	30
10/03/2013	9
09/04/2014	14
07/03/2013	40
09/20/2014	10
06/13/2014	43
02/11/2014	28
08/16/2014	23
01/23/2014	23
07/26/2013	33
09/29/2013	11
10/10/2014	5
06/30/2013	39
07/30/2013	31
04/02/2014	33
11/11/2013	18
10/28/2013	11
09/26/2014	11
07/17/2013	43
07/12/2014	33
04/09/2014	28
12/05/2013	17
06/05/2014	58
10/06/2013	12
07/26/2014	38
08/08/2013	33
02/28/2014	28
09/10/2014	13
06/26/2013	38
11/12/2013	17
10/09/2013	11
