Date	Average
09/08/2014	105
11/18/2013	155
08/18/2013	88
09/20/2013	55
10/30/2014	117
07/21/2014	97
01/07/2014	155
11/01/2013	105
06/18/2014	95
07/29/2014	105
09/06/2013	88
10/25/2014	125
02/21/2014	95
12/31/2013	155
07/08/2014	97
08/29/2013	88
03/17/2014	85
06/23/2014	83
02/09/2014	125
09/01/2014	107
09/17/2014	120
05/21/2014	115
09/05/2013	88
02/04/2014	145
11/04/2013	115
10/22/2014	133
02/02/2014	145
12/24/2013	165
07/01/2014	87
11/24/2013	145
06/01/2014	105
06/09/2014	97
01/26/2014	190
01/24/2014	165
07/06/2014	87
09/09/2013	88
10/19/2014	127
09/16/2014	125
06/12/2014	95
12/29/2013	155
08/30/2013	88
03/13/2014	75
10/27/2013	115
07/10/2014	93
08/07/2014	117
12/09/2013	165
08/07/2013	75
08/04/2014	105
11/06/2014	117
09/30/2014	125
04/21/2014	115
12/03/2013	175
02/06/2014	110
10/08/2013	115
07/22/2013	85
01/29/2014	155
02/03/2014	155
06/19/2013	75
09/10/2013	88
05/20/2014	115
12/06/2013	175
05/05/2014	117
09/23/2013	88
09/08/2013	88
12/20/2013	155
08/13/2013	95
12/10/2013	160
08/01/2014	107
08/06/2013	75
11/21/2013	155
11/07/2014	117
06/16/2013	75
06/20/2013	75
04/10/2014	107
05/26/2014	85
07/09/2013	75
10/14/2014	127
03/06/2014	75
04/28/2014	115
11/20/2013	155
11/26/2013	145
10/08/2014	125
05/04/2014	113
05/02/2014	115
07/24/2014	90
07/11/2014	87
07/22/2014	97
09/24/2014	117
12/11/2013	155
10/26/2014	95
12/12/2013	155
09/11/2013	88
02/20/2014	95
08/27/2013	88
02/14/2014	105
02/17/2014	105
10/02/2013	78
01/13/2014	155
04/29/2014	115
01/06/2014	155
07/28/2013	75
09/22/2014	117
11/13/2013	148
11/01/2014	116
03/28/2014	98
02/13/2014	115
08/03/2014	105
08/02/2013	85
11/29/2013	190
11/08/2014	115
05/23/2014	115
10/28/2014	115
08/23/2014	105
09/13/2014	115
04/30/2014	115
10/31/2014	107
06/27/2014	87
06/25/2014	85
08/19/2013	88
06/03/2014	107
08/01/2013	75
09/28/2014	125
08/17/2014	116
01/27/2014	185
10/24/2014	128
09/15/2014	115
10/12/2013	115
10/27/2014	115
08/15/2013	95
01/14/2014	155
06/08/2014	87
08/25/2014	105
10/25/2013	115
12/13/2013	175
06/04/2014	103
10/20/2013	115
06/25/2013	75
05/18/2014	115
09/24/2013	88
03/11/2014	85
08/04/2013	75
01/28/2014	155
08/26/2013	88
12/04/2013	165
10/10/2013	105
01/09/2014	155
09/09/2014	117
03/07/2014	75
04/15/2014	105
10/30/2013	115
07/15/2014	97
06/26/2014	87
01/02/2014	155
06/28/2013	75
03/27/2014	98
07/21/2013	75
01/22/2014	165
10/23/2013	105
07/23/2014	87
09/21/2014	125
09/04/2013	88
04/23/2014	115
04/27/2014	115
09/16/2013	88
01/03/2014	155
01/05/2014	155
06/17/2014	95
08/06/2014	95
11/15/2013	145
01/08/2014	155
04/17/2014	115
07/31/2014	100
09/15/2013	88
09/19/2014	125
06/11/2014	87
06/10/2014	97
11/17/2013	145
12/01/2013	190
08/25/2013	88
10/13/2014	127
02/24/2014	95
07/14/2014	97
12/19/2013	165
06/20/2014	93
02/18/2014	105
11/25/2013	145
07/19/2013	75
10/11/2013	115
07/30/2014	105
07/18/2014	87
05/25/2014	115
10/12/2014	127
04/20/2014	115
02/23/2014	95
05/15/2014	147
08/08/2014	107
08/28/2014	115
08/12/2014	117
06/18/2013	75
05/27/2014	77
10/07/2013	115
07/02/2014	87
07/23/2013	85
01/01/2014	165
02/25/2014	95
11/22/2013	145
09/07/2014	117
05/19/2014	115
10/09/2014	127
06/17/2013	75
10/16/2014	127
07/24/2013	85
07/10/2013	75
10/20/2014	127
05/30/2014	77
07/31/2013	75
09/12/2013	88
07/28/2014	100
06/27/2013	75
05/07/2014	113
07/18/2013	75
11/03/2014	117
02/10/2014	105
09/14/2014	115
07/13/2014	97
07/05/2013	75
11/10/2014	117
05/12/2014	115
10/17/2014	127
12/23/2013	155
09/18/2014	125
03/09/2014	75
09/03/2013	88
10/01/2013	88
08/13/2014	97
05/11/2014	113
07/04/2013	75
08/09/2014	107
07/25/2013	85
06/21/2013	75
01/21/2014	155
08/15/2014	115
10/29/2013	115
08/16/2013	95
08/23/2013	88
08/18/2014	117
11/27/2013	175
04/16/2014	117
11/09/2014	117
06/30/2014	87
03/14/2014	75
10/23/2014	133
10/16/2013	115
08/31/2014	107
01/20/2014	160
02/07/2014	115
06/15/2014	97
11/14/2013	145
09/02/2014	105
08/21/2014	117
12/08/2013	165
07/29/2013	75
09/27/2013	88
08/19/2014	117
05/06/2014	117
07/04/2014	85
08/20/2014	105
11/28/2013	190
11/02/2014	117
05/08/2014	110
06/16/2014	97
08/11/2014	105
07/27/2014	97
03/03/2014	85
07/05/2014	85
04/11/2014	105
09/22/2013	88
07/07/2014	97
07/25/2014	97
08/02/2014	107
09/23/2014	115
12/27/2013	155
08/05/2014	107
09/05/2014	115
10/24/2013	115
01/17/2014	145
12/16/2013	155
03/05/2014	85
12/26/2013	145
02/16/2014	105
07/02/2013	75
01/12/2014	155
07/16/2014	97
04/13/2014	105
