Date	Average
03/19/2014	65
08/18/2013	55
10/30/2014	95
01/07/2014	115
06/18/2014	58
09/06/2013	55
10/25/2014	105
02/21/2014	58
12/31/2013	115
08/29/2013	55
03/17/2014	65
02/09/2014	65
09/17/2014	95
05/21/2014	78
07/15/2013	55
09/05/2013	55
02/04/2014	75
10/22/2014	95
02/02/2014	75
12/24/2013	125
06/01/2014	58
06/09/2014	57
03/20/2014	55
01/26/2014	110
01/24/2014	85
09/09/2013	55
10/19/2014	95
09/16/2014	95
06/12/2014	58
12/29/2013	115
08/30/2013	55
03/13/2014	53
03/25/2014	58
07/11/2013	65
08/07/2013	55
11/06/2014	95
09/30/2014	95
04/21/2014	43
02/06/2014	65
10/08/2013	55
07/22/2013	55
01/29/2014	75
02/03/2014	85
06/19/2013	55
09/10/2013	55
05/20/2014	58
05/05/2014	48
09/23/2013	55
09/08/2013	58
08/13/2013	55
08/06/2013	55
11/07/2014	95
06/16/2013	75
06/20/2013	75
04/10/2014	33
05/26/2014	58
07/09/2013	55
10/14/2014	95
03/06/2014	53
10/08/2014	95
05/04/2014	47
05/02/2014	48
09/24/2014	95
10/26/2014	105
09/11/2013	55
02/20/2014	58
08/27/2013	55
02/14/2014	58
02/17/2014	58
10/02/2013	55
01/13/2014	95
04/29/2014	48
01/06/2014	105
07/28/2013	55
09/22/2014	95
11/01/2014	95
03/28/2014	65
02/13/2014	58
08/02/2013	55
11/08/2014	95
05/23/2014	58
03/24/2014	58
09/13/2014	95
04/30/2014	48
10/31/2014	95
08/19/2013	55
06/03/2014	58
08/01/2013	53
09/28/2014	95
01/27/2014	95
10/24/2014	95
09/15/2014	95
08/15/2013	55
01/14/2014	95
06/08/2014	57
06/04/2014	58
10/20/2013	65
06/25/2013	57
09/24/2013	55
03/11/2014	53
08/04/2013	55
01/28/2014	85
08/26/2013	55
03/26/2014	58
10/10/2013	55
01/09/2014	95
07/16/2013	55
03/07/2014	58
04/15/2014	48
01/02/2014	115
06/28/2013	75
03/27/2014	58
07/21/2013	55
01/22/2014	95
09/21/2014	95
09/04/2013	55
03/21/2014	55
04/23/2014	48
04/27/2014	48
09/16/2013	55
01/03/2014	115
01/05/2014	125
06/17/2014	58
01/08/2014	105
04/17/2014	55
09/15/2013	55
09/19/2014	95
06/11/2014	58
06/10/2014	58
08/25/2013	55
10/13/2014	85
02/24/2014	55
02/18/2014	58
07/19/2013	55
10/11/2013	55
05/25/2014	58
10/12/2014	85
07/12/2013	55
04/20/2014	48
02/23/2014	58
05/15/2014	57
06/18/2013	55
05/27/2014	58
10/07/2013	65
07/23/2013	55
01/01/2014	125
02/25/2014	58
05/19/2014	48
10/09/2014	95
09/30/2013	55
06/17/2013	55
10/16/2014	95
07/24/2013	55
10/20/2014	95
05/30/2014	53
07/31/2013	55
09/12/2013	55
06/27/2013	55
05/07/2014	47
07/18/2013	55
11/03/2014	97
02/10/2014	65
09/14/2014	95
07/05/2013	55
11/10/2014	95
05/12/2014	48
10/17/2014	95
12/23/2013	125
09/18/2014	95
03/09/2014	53
09/03/2013	55
10/01/2013	65
05/11/2014	47
07/04/2013	55
07/25/2013	55
06/21/2013	55
01/21/2014	95
08/16/2013	55
08/23/2013	55
04/16/2014	48
11/09/2014	95
03/14/2014	65
10/23/2014	95
07/14/2013	55
01/20/2014	95
02/07/2014	65
06/15/2014	58
03/23/2014	58
07/29/2013	55
09/27/2013	55
05/06/2014	47
11/02/2014	107
05/08/2014	48
03/03/2014	85
04/11/2014	35
09/22/2013	65
09/23/2014	95
12/27/2013	125
01/17/2014	95
03/05/2014	53
12/26/2013	125
02/16/2014	55
07/02/2013	48
01/12/2014	95
04/13/2014	48
06/06/2014	55
07/01/2013	55
09/01/2013	55
01/10/2014	105
11/04/2014	95
09/29/2014	95
09/11/2014	105
05/28/2014	58
09/19/2013	55
11/05/2014	95
09/26/2013	45
05/13/2014	48
09/12/2014	95
05/16/2014	53
02/05/2014	75
01/16/2014	95
10/29/2014	95
04/18/2014	48
09/17/2013	55
09/02/2013	65
04/25/2014	48
10/21/2014	95
01/19/2014	95
04/22/2014	53
09/25/2013	55
03/12/2014	53
08/14/2013	55
09/13/2013	55
02/12/2014	58
10/04/2013	65
08/05/2013	55
02/26/2014	53
03/18/2014	65
10/03/2013	65
07/03/2013	55
09/20/2014	95
06/13/2014	58
02/11/2014	65
01/23/2014	85
09/29/2013	55
06/30/2013	75
07/30/2013	53
09/26/2014	95
07/17/2013	55
06/05/2014	58
10/06/2013	75
05/09/2014	48
08/08/2013	55
02/28/2014	53
06/02/2014	58
09/10/2014	97
06/26/2013	55
10/09/2013	55
