Date	Average
09/08/2014	67
03/19/2014	45
11/18/2013	65
08/18/2013	155
09/20/2013	90
10/30/2014	50
07/21/2014	57
01/07/2014	97
11/01/2013	75
06/18/2014	177
07/29/2014	66
09/06/2013	125
10/25/2014	63
02/21/2014	65
12/31/2013	65
07/08/2014	93
08/29/2013	130
04/06/2014	38
03/17/2014	35
06/23/2014	193
02/09/2014	45
09/01/2014	293
09/17/2014	137
05/21/2014	133
07/15/2013	75
09/05/2013	125
02/04/2014	45
11/04/2013	97
10/22/2014	52
02/02/2014	38
12/24/2013	65
07/01/2014	110
11/24/2013	55
06/01/2014	163
06/09/2014	233
03/20/2014	45
01/26/2014	55
01/24/2014	29
07/06/2014	87
10/13/2013	95
09/09/2013	125
10/19/2014	43
09/16/2014	183
06/12/2014	213
12/29/2013	67
08/30/2013	135
03/13/2014	47
10/27/2013	135
07/10/2014	70
03/25/2014	35
08/07/2014	85
12/09/2013	65
07/11/2013	70
08/07/2013	125
08/04/2014	140
11/06/2014	97
09/30/2014	113
04/21/2014	57
12/03/2013	90
02/06/2014	46
10/08/2013	75
07/22/2013	75
01/29/2014	28
02/03/2014	38
06/19/2013	95
09/10/2013	123
05/20/2014	143
12/06/2013	85
05/05/2014	47
09/23/2013	70
09/08/2013	125
12/20/2013	77
08/13/2013	130
12/10/2013	65
08/01/2014	57
08/06/2013	125
11/21/2013	125
11/07/2014	90
06/16/2013	100
06/20/2013	55
04/10/2014	35
05/26/2014	137
07/09/2013	85
10/14/2014	193
03/06/2014	35
04/28/2014	47
11/20/2013	145
11/26/2013	85
10/08/2014	117
05/04/2014	47
05/02/2014	43
07/24/2014	73
07/11/2014	67
07/22/2014	57
09/24/2014	113
12/11/2013	75
10/26/2014	77
12/12/2013	75
09/11/2013	95
02/20/2014	65
08/27/2013	135
02/14/2014	47
02/17/2014	47
10/02/2013	55
01/13/2014	57
04/29/2014	47
01/06/2014	67
07/28/2013	75
09/22/2014	140
11/13/2013	65
11/01/2014	45
03/28/2014	38
02/13/2014	43
08/03/2014	67
08/02/2013	125
03/31/2014	35
11/29/2013	83
11/08/2014	92
05/23/2014	157
10/28/2014	57
03/24/2014	26
08/23/2014	212
09/13/2014	157
04/30/2014	47
10/31/2014	47
06/27/2014	110
06/25/2014	90
08/19/2013	110
06/03/2014	180
11/05/2013	95
