Date	Average
09/08/2014	38
11/18/2013	77
08/18/2013	55
09/20/2013	48
10/30/2014	58
07/21/2014	43
01/07/2014	39
11/01/2013	95
06/18/2014	33
07/29/2014	35
09/06/2013	58
10/25/2014	83
12/31/2013	43
07/08/2014	48
08/29/2013	53
04/06/2014	55
06/23/2014	38
09/01/2014	55
09/17/2014	48
05/21/2014	30
07/15/2013	45
09/05/2013	48
11/04/2013	105
10/22/2014	68
12/24/2013	38
07/01/2014	31
11/24/2013	75
06/01/2014	53
06/09/2014	33
07/06/2014	48
10/13/2013	53
09/09/2013	53
10/19/2014	63
09/16/2014	50
06/12/2014	27
12/29/2013	43
08/30/2013	53
10/27/2013	105
07/10/2014	53
03/25/2014	95
08/07/2014	30
12/09/2013	48
07/11/2013	38
08/07/2013	58
08/04/2014	34
11/06/2014	77
09/30/2014	55
04/21/2014	62
12/03/2013	65
10/08/2013	58
07/22/2013	38
06/19/2013	28
09/10/2013	54
05/20/2014	35
12/06/2013	58
05/05/2014	48
09/23/2013	29
09/08/2013	53
12/20/2013	39
08/13/2013	56
12/10/2013	45
08/01/2014	38
08/06/2013	48
11/21/2013	78
11/07/2014	67
06/16/2013	23
06/20/2013	33
04/10/2014	38
05/26/2014	33
07/09/2013	43
10/14/2014	28
04/28/2014	58
11/20/2013	68
11/26/2013	58
10/08/2014	38
05/04/2014	48
05/02/2014	48
07/24/2014	38
07/11/2014	50
07/22/2014	47
09/24/2014	67
12/11/2013	47
12/12/2013	42
09/11/2013	48
08/27/2013	39
10/02/2013	48
01/13/2014	43
04/29/2014	53
01/06/2014	41
07/28/2013	38
09/22/2014	53
11/13/2013	73
11/01/2014	43
03/28/2014	137
08/03/2014	36
08/02/2013	45
03/31/2014	93
11/29/2013	58
11/08/2014	67
05/23/2014	33
10/28/2014	58
08/23/2014	44
09/13/2014	53
04/30/2014	53
10/31/2014	53
06/27/2014	35
06/25/2014	35
08/19/2013	58
06/03/2014	47
11/05/2013	115
08/01/2013	45
09/28/2014	67
08/17/2014	22
10/24/2014	67
09/15/2014	55
10/12/2013	53
08/15/2013	58
04/07/2014	55
01/14/2014	39
06/08/2014	35
08/25/2014	45
10/25/2013	75
12/13/2013	43
06/04/2014	49
10/20/2013	38
06/25/2013	43
11/07/2013	115
05/18/2014	37
09/24/2013	29
10/15/2013	53
08/04/2013	45
08/26/2013	53
03/26/2014	85
12/04/2013	58
10/10/2013	58
01/09/2014	48
07/16/2013	45
09/09/2014	43
04/15/2014	45
10/30/2013	78
07/15/2014	48
06/26/2014	38
01/02/2014	42
06/28/2013	45
03/27/2014	138
07/21/2013	38
10/23/2013	38
07/23/2014	42
09/21/2014	63
09/04/2013	53
04/23/2014	77
04/27/2014	68
09/16/2013	48
01/03/2014	40
01/05/2014	39
11/03/2013	75
06/17/2014	27
08/06/2014	30
11/15/2013	78
01/08/2014	39
04/17/2014	83
07/31/2014	48
09/15/2013	45
09/19/2014	58
06/11/2014	33
06/10/2014	33
11/17/2013	85
12/01/2013	75
08/25/2013	45
10/13/2014	33
07/14/2014	43
12/19/2013	39
06/20/2014	37
11/25/2013	75
07/19/2013	38
10/11/2013	53
07/30/2014	33
07/18/2014	48
05/25/2014	37
10/12/2014	33
07/12/2013	38
04/20/2014	78
05/15/2014	42
08/08/2014	28
08/28/2014	44
08/12/2014	22
06/18/2013	28
05/27/2014	48
10/07/2013	58
07/02/2014	32
07/23/2013	38
01/01/2014	42
11/22/2013	78
09/07/2014	49
05/19/2014	37
10/09/2014	46
09/30/2013	37
06/17/2013	22
10/16/2014	34
07/24/2013	43
07/10/2013	43
10/20/2014	63
05/30/2014	48
07/31/2013	45
11/06/2013	85
09/12/2013	48
07/28/2014	35
06/27/2013	38
05/07/2014	50
07/18/2013	45
11/03/2014	56
09/14/2014	48
07/13/2014	48
07/05/2013	45
11/10/2014	77
05/12/2014	42
10/17/2014	30
12/23/2013	33
09/18/2014	58
09/03/2013	53
10/01/2013	48
08/13/2014	19
05/11/2014	38
07/04/2013	45
04/04/2014	72
08/09/2014	29
07/25/2013	43
06/21/2013	33
01/21/2014	48
08/15/2014	23
10/29/2013	105
08/16/2013	55
08/23/2013	53
08/18/2014	23
11/27/2013	65
04/16/2014	87
11/09/2014	68
06/30/2014	35
10/23/2014	65
10/16/2013	53
08/31/2014	48
07/14/2013	38
01/20/2014	43
06/15/2014	35
11/14/2013	95
09/02/2014	52
08/21/2014	48
12/08/2013	49
07/29/2013	42
09/27/2013	38
08/19/2014	23
05/06/2014	42
07/04/2014	17
08/20/2014	40
11/28/2013	58
11/02/2014	75
05/08/2014	58
06/16/2014	38
08/11/2014	30
07/27/2014	38
07/05/2014	45
04/11/2014	39
09/22/2013	42
07/07/2014	50
07/25/2014	38
08/02/2014	38
09/23/2014	56
12/27/2013	48
08/05/2014	33
09/05/2014	55
10/14/2013	58
01/17/2014	39
12/16/2013	42
12/26/2013	42
07/02/2013	45
01/12/2014	43
07/16/2014	48
04/13/2014	43
04/03/2014	43
06/06/2014	43
08/26/2014	45
07/01/2013	43
09/01/2013	53
10/15/2014	75
01/10/2014	48
08/29/2014	55
12/22/2013	42
11/04/2014	78
12/15/2013	42
11/16/2013	73
09/29/2014	58
09/11/2014	47
11/10/2013	110
05/28/2014	38
09/19/2013	48
10/17/2013	53
11/05/2014	76
10/31/2013	78
05/22/2014	29
08/10/2014	33
09/26/2013	29
08/14/2014	19
10/21/2013	38
05/13/2014	40
09/12/2014	49
09/06/2014	53
05/16/2014	47
07/19/2014	40
07/20/2014	40
06/29/2014	37
12/02/2013	65
07/17/2014	47
01/16/2014	43
08/12/2013	58
07/09/2014	43
08/22/2014	48
04/01/2014	78
10/29/2014	58
04/18/2014	87
