Date	Average
09/08/2014	38
03/19/2014	65
11/18/2013	22
08/18/2013	23
09/20/2013	38
10/30/2014	33
07/21/2014	58
01/07/2014	47
11/01/2013	33
06/18/2014	58
07/29/2014	48
09/06/2013	28
10/25/2014	83
02/21/2014	28
12/31/2013	38
07/08/2014	58
08/29/2013	28
04/06/2014	54
03/17/2014	75
06/23/2014	48
02/09/2014	26
09/01/2014	50
09/17/2014	33
05/21/2014	42
07/15/2013	33
09/05/2013	28
02/04/2014	23
11/04/2013	45
10/22/2014	77
02/02/2014	33
12/24/2013	43
07/01/2014	55
11/24/2013	23
06/01/2014	48
06/09/2014	54
03/20/2014	60
01/26/2014	38
01/24/2014	33
07/06/2014	58
10/13/2013	65
09/09/2013	38
10/19/2014	33
09/16/2014	36
06/12/2014	53
12/29/2013	38
08/30/2013	28
03/13/2014	58
10/27/2013	75
07/10/2014	55
03/25/2014	53
08/07/2014	95
12/09/2013	38
07/11/2013	33
08/07/2013	28
08/04/2014	45
11/06/2014	23
09/30/2014	38
04/21/2014	28
12/03/2013	29
02/06/2014	22
10/08/2013	33
07/22/2013	28
01/29/2014	28
02/03/2014	23
06/19/2013	33
09/10/2013	58
05/20/2014	43
12/06/2013	38
05/05/2014	30
09/23/2013	28
09/08/2013	48
12/20/2013	43
08/13/2013	28
12/10/2013	39
08/01/2014	48
08/06/2013	28
11/21/2013	28
11/07/2014	28
06/16/2013	28
06/20/2013	33
04/10/2014	55
05/26/2014	38
07/09/2013	33
10/14/2014	38
03/06/2014	65
04/28/2014	23
11/20/2013	22
11/26/2013	28
10/08/2014	38
05/04/2014	37
05/02/2014	38
07/24/2014	53
07/11/2014	53
07/22/2014	52
09/24/2014	33
12/11/2013	39
10/26/2014	38
12/12/2013	39
09/11/2013	48
02/20/2014	23
08/27/2013	28
02/14/2014	27
02/17/2014	23
10/02/2013	28
01/13/2014	43
04/29/2014	23
01/06/2014	53
07/28/2013	30
09/22/2014	32
11/13/2013	33
11/01/2014	28
03/28/2014	58
02/13/2014	28
08/03/2014	38
08/02/2013	28
03/31/2014	63
11/29/2013	18
11/08/2014	28
05/23/2014	43
10/28/2014	58
03/24/2014	55
08/23/2014	47
09/13/2014	33
04/30/2014	48
10/31/2014	28
06/27/2014	53
06/25/2014	48
08/19/2013	23
06/03/2014	53
11/05/2013	35
08/01/2013	28
09/28/2014	33
08/17/2014	40
01/27/2014	31
10/24/2014	78
09/15/2014	44
10/12/2013	65
08/15/2013	28
04/07/2014	54
01/14/2014	48
06/08/2014	43
08/25/2014	58
10/25/2013	65
12/13/2013	43
06/04/2014	45
10/20/2013	45
06/25/2013	28
11/07/2013	38
05/18/2014	48
09/24/2013	33
10/15/2013	65
03/11/2014	28
08/04/2013	23
01/28/2014	32
08/26/2013	28
03/26/2014	63
12/04/2013	28
10/10/2013	33
01/09/2014	47
07/16/2013	33
02/08/2014	23
09/09/2014	43
03/07/2014	77
04/15/2014	33
10/30/2013	65
07/15/2014	58
06/26/2014	48
01/02/2014	33
06/28/2013	33
03/27/2014	58
07/21/2013	28
01/22/2014	38
10/23/2013	38
07/23/2014	56
09/21/2014	38
09/04/2013	38
03/21/2014	57
04/23/2014	27
04/27/2014	23
09/16/2013	38
01/03/2014	68
01/05/2014	58
11/03/2013	45
06/17/2014	57
08/06/2014	45
11/15/2013	28
01/08/2014	53
04/17/2014	33
07/31/2014	48
09/15/2013	38
09/19/2014	35
06/11/2014	57
06/10/2014	38
11/17/2013	23
12/01/2013	28
08/25/2013	23
10/13/2014	33
02/24/2014	28
07/14/2014	55
12/19/2013	39
06/20/2014	56
02/18/2014	23
11/25/2013	23
07/19/2013	28
10/11/2013	58
07/30/2014	48
07/18/2014	53
05/25/2014	42
10/12/2014	33
07/12/2013	33
04/20/2014	28
02/23/2014	28
05/15/2014	48
08/08/2014	40
08/28/2014	53
08/12/2014	49
06/18/2013	28
05/27/2014	38
10/07/2013	33
07/02/2014	58
07/23/2013	28
01/01/2014	38
02/25/2014	28
11/22/2013	23
09/07/2014	42
05/19/2014	53
10/09/2014	33
09/30/2013	28
06/17/2013	28
10/16/2014	43
07/24/2013	28
07/10/2013	33
10/20/2014	32
05/30/2014	38
07/31/2013	26
11/06/2013	45
09/12/2013	38
07/28/2014	48
06/27/2013	33
05/07/2014	28
07/18/2013	38
11/03/2014	28
02/10/2014	28
09/14/2014	33
07/13/2014	53
07/05/2013	33
11/10/2014	43
05/12/2014	58
10/17/2014	38
12/23/2013	57
09/18/2014	35
03/09/2014	65
09/03/2013	48
10/01/2013	28
08/13/2014	48
05/11/2014	48
07/04/2013	33
04/04/2014	46
08/09/2014	42
07/25/2013	28
06/21/2013	28
01/21/2014	43
08/15/2014	57
10/29/2013	65
08/16/2013	23
08/23/2013	28
08/18/2014	42
11/27/2013	18
04/16/2014	29
11/09/2014	27
06/30/2014	77
03/14/2014	48
10/23/2014	78
10/16/2013	63
08/31/2014	60
07/14/2013	33
01/20/2014	38
02/07/2014	25
06/15/2014	55
03/23/2014	54
11/14/2013	32
09/02/2014	48
08/21/2014	43
12/08/2013	39
07/29/2013	28
09/27/2013	33
08/19/2014	42
05/06/2014	23
07/04/2014	55
08/20/2014	45
11/28/2013	18
11/02/2014	28
05/08/2014	27
06/16/2014	53
08/11/2014	38
07/27/2014	48
03/03/2014	75
07/05/2014	58
04/11/2014	48
09/22/2013	33
07/07/2014	58
07/25/2014	48
08/02/2014	48
09/23/2014	38
12/27/2013	38
08/05/2014	43
09/05/2014	47
10/24/2013	65
10/14/2013	65
01/17/2014	43
12/16/2013	39
03/05/2014	75
12/26/2013	38
02/16/2014	28
07/02/2013	33
01/12/2014	48
07/16/2014	54
04/13/2014	48
04/03/2014	50
06/06/2014	45
08/26/2014	58
07/01/2013	28
09/01/2013	28
10/15/2014	58
01/10/2014	46
08/29/2014	53
12/22/2013	55
11/04/2014	28
12/15/2013	43
11/16/2013	26
09/29/2014	33
10/22/2013	43
09/11/2014	37
11/10/2013	38
03/10/2014	28
05/28/2014	37
09/19/2013	38
10/17/2013	55
11/05/2014	28
10/31/2013	75
05/22/2014	42
08/10/2014	43
09/26/2013	35
08/14/2014	48
10/21/2013	38
05/13/2014	53
09/12/2014	38
09/06/2014	42
05/16/2014	55
07/19/2014	53
07/20/2014	53
06/29/2014	43
12/02/2013	27
07/17/2014	58
02/05/2014	22
01/16/2014	43
08/12/2013	27
07/09/2014	58
08/22/2014	48
04/01/2014	50
10/29/2014	58
04/18/2014	28
06/19/2014	53
09/17/2013	38
09/02/2013	33
08/24/2014	49
12/18/2013	39
04/25/2014	53
10/21/2014	33
01/19/2014	42
04/22/2014	28
09/25/2013	28
08/27/2014	58
07/03/2014	58
09/03/2014	44
03/12/2014	65
08/14/2013	28
09/13/2013	43
02/12/2014	28
10/04/2013	33
08/05/2013	28
02/26/2014	28
03/18/2014	67
06/24/2014	42
10/03/2013	33
09/04/2014	42
07/03/2013	33
09/20/2014	38
06/13/2014	53
02/11/2014	33
08/16/2014	48
01/23/2014	33
07/26/2013	28
09/29/2013	33
10/10/2014	33
06/30/2013	31
07/30/2013	28
04/02/2014	48
11/11/2013	37
10/28/2013	75
09/26/2014	33
07/17/2013	33
07/12/2014	53
04/09/2014	33
12/05/2013	29
06/05/2014	43
10/06/2013	28
07/26/2014	48
05/09/2014	25
08/08/2013	28
02/28/2014	28
06/02/2014	43
09/10/2014	38
06/26/2013	33
11/12/2013	37
10/09/2013	28
