Date	Average
03/19/2014	75
06/18/2014	58
04/06/2014	140
03/17/2014	95
05/21/2014	58
06/01/2014	58
06/09/2014	58
03/20/2014	65
06/12/2014	58
03/13/2014	115
03/25/2014	155
09/30/2014	125
04/21/2014	65
05/20/2014	55
05/05/2014	57
06/16/2013	38
06/20/2013	48
04/10/2014	105
05/26/2014	57
10/14/2014	115
03/06/2014	235
04/28/2014	58
05/04/2014	57
05/02/2014	58
04/29/2014	58
09/22/2014	195
11/13/2013	103
03/28/2014	190
02/13/2014	195
03/31/2014	195
03/24/2014	155
04/30/2014	53
06/03/2014	58
09/28/2014	145
10/12/2013	115
04/07/2014	135
06/08/2014	58
06/04/2014	58
05/18/2014	58
03/11/2014	225
03/26/2014	210
03/07/2014	230
04/15/2014	58
03/27/2014	225
03/21/2014	75
04/23/2014	58
04/27/2014	65
06/17/2014	58
04/17/2014	77
06/11/2014	58
06/10/2014	58
02/24/2014	190
06/20/2014	58
04/20/2014	65
02/23/2014	195
05/15/2014	48
06/18/2013	38
05/27/2014	57
02/25/2014	195
05/19/2014	58
06/17/2013	48
05/30/2014	57
05/07/2014	57
05/12/2014	47
03/09/2014	225
05/11/2014	47
04/04/2014	145
06/21/2013	48
04/16/2014	57
03/14/2014	125
06/15/2014	58
03/23/2014	155
05/06/2014	57
05/08/2014	58
06/16/2014	58
03/03/2014	195
04/11/2014	125
09/23/2014	190
02/16/2014	190
04/13/2014	110
04/03/2014	125
06/06/2014	58
12/15/2013	85
09/29/2014	145
10/22/2013	115
03/10/2014	210
05/28/2014	58
05/13/2014	45
05/16/2014	53
04/01/2014	125
04/18/2014	87
06/19/2014	58
04/25/2014	58
04/22/2014	58
03/12/2014	115
02/12/2014	195
02/26/2014	195
03/18/2014	95
06/13/2014	58
04/02/2014	125
09/26/2014	145
04/09/2014	115
06/05/2014	58
05/09/2014	58
02/28/2014	195
