Date	Average
09/08/2014	226
03/19/2014	215
11/18/2013	222
08/18/2013	230
09/20/2013	230
10/30/2014	227
07/21/2014	217
01/07/2014	215
11/01/2013	230
06/18/2014	217
07/29/2014	216
09/06/2013	225
10/25/2014	225
02/21/2014	217
12/31/2013	225
07/08/2014	217
08/29/2013	220
04/06/2014	215
03/17/2014	217
06/23/2014	213
02/09/2014	226
09/01/2014	227
09/17/2014	227
05/21/2014	217
07/15/2013	215
09/05/2013	230
02/04/2014	225
11/04/2013	230
10/22/2014	232
02/02/2014	227
12/24/2013	227
07/01/2014	217
11/24/2013	225
06/01/2014	217
06/09/2014	217
03/20/2014	217
01/26/2014	222
01/24/2014	225
07/06/2014	215
10/13/2013	230
09/09/2013	230
10/19/2014	227
09/16/2014	227
06/12/2014	217
12/29/2013	225
08/30/2013	215
03/13/2014	217
10/27/2013	230
07/10/2014	217
03/25/2014	213
08/07/2014	217
12/09/2013	225
07/11/2013	215
08/07/2013	230
08/04/2014	217
11/06/2014	227
09/30/2014	227
04/21/2014	217
12/03/2013	225
02/06/2014	226
10/08/2013	230
07/22/2013	215
01/29/2014	225
02/03/2014	227
06/19/2013	215
09/10/2013	230
05/20/2014	217
12/06/2013	225
05/05/2014	217
09/23/2013	230
09/08/2013	230
12/20/2013	227
08/13/2013	230
12/10/2013	225
08/01/2014	217
08/06/2013	230
11/21/2013	225
11/07/2014	227
06/16/2013	215
06/20/2013	215
04/10/2014	203
05/26/2014	217
07/09/2013	215
10/14/2014	227
03/06/2014	217
04/28/2014	217
11/20/2013	223
11/26/2013	225
10/08/2014	227
05/04/2014	217
05/02/2014	217
07/24/2014	213
07/11/2014	217
07/22/2014	217
09/24/2014	227
12/11/2013	225
10/26/2014	227
12/12/2013	227
09/11/2013	230
02/20/2014	217
08/27/2013	230
02/14/2014	237
02/17/2014	217
10/02/2013	230
01/13/2014	225
04/29/2014	217
01/06/2014	227
07/28/2013	205
09/22/2014	225
11/13/2013	215
11/01/2014	226
03/28/2014	217
02/13/2014	227
08/03/2014	217
08/02/2013	205
