Date	Average
09/08/2014	58
03/19/2014	38
11/18/2013	45
08/18/2013	65
09/20/2013	38
10/30/2014	44
07/21/2014	48
01/07/2014	53
11/01/2013	58
06/18/2014	33
07/29/2014	53
09/06/2013	63
10/25/2014	48
02/21/2014	42
12/31/2013	58
07/08/2014	48
08/29/2013	58
04/06/2014	42
03/17/2014	53
06/23/2014	28
02/09/2014	53
09/01/2014	55
09/17/2014	53
05/21/2014	58
07/15/2013	38
09/05/2013	58
02/04/2014	42
11/04/2013	55
10/22/2014	63
02/02/2014	33
12/24/2013	60
07/01/2014	32
11/24/2013	43
06/01/2014	44
06/09/2014	37
03/20/2014	38
01/26/2014	42
01/24/2014	45
07/06/2014	65
10/13/2013	45
09/09/2013	63
10/19/2014	48
09/16/2014	57
06/12/2014	32
12/29/2013	58
08/30/2013	53
03/13/2014	48
10/27/2013	60
07/10/2014	58
03/25/2014	32
08/07/2014	33
12/09/2013	43
07/11/2013	38
08/07/2013	53
08/04/2014	32
11/06/2014	48
09/30/2014	52
04/21/2014	38
12/03/2013	48
02/06/2014	53
10/08/2013	43
07/22/2013	33
01/29/2014	38
02/03/2014	43
06/19/2013	33
09/10/2013	76
05/20/2014	45
12/06/2013	43
05/05/2014	37
09/23/2013	30
09/08/2013	65
12/20/2013	50
08/13/2013	53
12/10/2013	50
08/01/2014	48
08/06/2013	48
11/21/2013	45
11/07/2014	55
06/16/2013	28
06/20/2013	35
04/10/2014	38
05/26/2014	38
07/09/2013	38
10/14/2014	38
03/06/2014	48
04/28/2014	48
11/20/2013	60
11/26/2013	38
10/08/2014	30
05/04/2014	48
05/02/2014	48
07/24/2014	53
07/11/2014	58
07/22/2014	48
09/24/2014	53
12/11/2013	48
10/26/2014	43
12/12/2013	53
09/11/2013	60
02/20/2014	53
08/27/2013	63
02/14/2014	58
02/17/2014	63
10/02/2013	43
01/13/2014	53
04/29/2014	42
01/06/2014	53
07/28/2013	38
09/22/2014	58
11/13/2013	47
11/01/2014	41
03/28/2014	32
02/13/2014	58
08/03/2014	38
08/02/2013	45
03/31/2014	39
11/29/2013	44
11/08/2014	48
05/23/2014	48
10/28/2014	58
03/24/2014	31
08/23/2014	44
09/13/2014	58
04/30/2014	48
10/31/2014	42
06/27/2014	37
06/25/2014	31
08/19/2013	63
06/03/2014	53
11/05/2013	45
08/01/2013	43
09/28/2014	58
08/17/2014	33
01/27/2014	38
10/24/2014	46
09/15/2014	58
10/12/2013	42
08/15/2013	58
04/07/2014	41
01/14/2014	55
06/08/2014	42
08/25/2014	55
10/25/2013	68
12/13/2013	53
06/04/2014	53
10/20/2013	28
06/25/2013	38
11/07/2013	65
05/18/2014	55
09/24/2013	28
03/11/2014	43
08/04/2013	43
01/28/2014	43
08/26/2013	58
03/26/2014	33
12/04/2013	45
10/10/2013	55
01/09/2014	53
07/16/2013	43
02/08/2014	58
09/09/2014	52
03/07/2014	53
04/15/2014	33
10/30/2013	53
07/15/2014	50
06/26/2014	32
01/02/2014	57
06/28/2013	38
03/27/2014	33
07/21/2013	38
01/22/2014	45
10/23/2013	45
07/23/2014	48
09/21/2014	68
09/04/2013	63
03/21/2014	33
04/23/2014	38
04/27/2014	53
09/16/2013	48
01/03/2014	63
01/05/2014	58
11/03/2013	46
06/17/2014	32
08/06/2014	36
11/15/2013	43
01/08/2014	53
04/17/2014	37
07/31/2014	45
09/15/2013	58
09/19/2014	58
06/11/2014	38
06/10/2014	38
11/17/2013	43
12/01/2013	58
08/25/2013	48
10/13/2014	28
02/24/2014	67
07/14/2014	48
12/19/2013	55
06/20/2014	33
02/18/2014	63
11/25/2013	45
07/19/2013	33
10/11/2013	53
07/30/2014	44
07/18/2014	58
05/25/2014	43
10/12/2014	28
07/12/2013	33
04/20/2014	52
02/23/2014	75
05/15/2014	49
08/08/2014	33
08/28/2014	53
08/12/2014	23
06/18/2013	33
05/27/2014	43
10/07/2013	55
07/02/2014	31
07/23/2013	38
01/01/2014	57
02/25/2014	58
11/22/2013	45
09/07/2014	58
05/19/2014	50
10/09/2014	28
09/30/2013	33
06/17/2013	33
07/24/2013	33
07/10/2013	38
10/20/2014	43
05/30/2014	38
07/31/2013	33
11/06/2013	58
09/12/2013	58
07/28/2014	48
06/27/2013	40
05/07/2014	43
07/18/2013	43
11/03/2014	53
02/10/2014	40
09/14/2014	63
07/13/2014	53
07/05/2013	38
11/10/2014	40
05/12/2014	67
10/17/2014	43
12/23/2013	58
09/18/2014	58
03/09/2014	53
09/03/2013	63
10/01/2013	38
08/13/2014	22
05/11/2014	67
07/04/2013	38
04/04/2014	46
08/09/2014	33
07/25/2013	33
06/21/2013	38
01/21/2014	43
08/15/2014	19
10/29/2013	55
08/16/2013	53
08/23/2013	58
08/18/2014	38
11/27/2013	43
04/16/2014	35
11/09/2014	49
06/30/2014	33
03/14/2014	48
10/23/2014	46
10/16/2013	76
08/31/2014	55
07/14/2013	33
01/20/2014	43
02/07/2014	48
06/15/2014	32
03/23/2014	32
11/14/2013	63
09/02/2014	53
08/21/2014	42
12/08/2013	48
07/29/2013	33
09/27/2013	31
08/19/2014	35
05/06/2014	39
07/04/2014	55
08/20/2014	42
11/28/2013	48
11/02/2014	58
05/08/2014	53
06/16/2014	38
08/11/2014	29
07/27/2014	53
03/03/2014	58
07/05/2014	58
04/11/2014	33
09/22/2013	32
07/07/2014	48
07/25/2014	55
08/02/2014	42
09/23/2014	58
12/27/2013	58
08/05/2014	33
09/05/2014	53
10/24/2013	63
01/17/2014	58
12/16/2013	48
03/05/2014	58
12/26/2013	58
02/16/2014	63
07/02/2013	38
01/12/2014	48
07/16/2014	50
04/13/2014	38
04/03/2014	43
06/06/2014	48
08/26/2014	58
07/01/2013	39
09/01/2013	63
10/15/2014	58
01/10/2014	48
08/29/2014	58
12/22/2013	55
11/04/2014	53
12/15/2013	55
11/16/2013	55
09/29/2014	58
10/22/2013	38
09/11/2014	56
11/10/2013	48
03/10/2014	50
05/28/2014	43
09/19/2013	43
10/17/2013	48
11/05/2014	55
10/31/2013	55
05/22/2014	48
08/10/2014	33
09/26/2013	30
08/14/2014	20
10/21/2013	38
05/13/2014	67
09/12/2014	58
09/06/2014	57
05/16/2014	67
07/19/2014	48
07/20/2014	48
06/29/2014	35
12/02/2013	48
07/17/2014	47
02/05/2014	51
01/16/2014	53
08/12/2013	58
07/09/2014	48
08/22/2014	43
04/01/2014	38
10/29/2014	53
04/18/2014	53
06/19/2014	32
09/17/2013	53
09/02/2013	63
08/24/2014	43
12/18/2013	53
04/25/2014	47
10/21/2014	43
01/19/2014	48
04/22/2014	48
09/25/2013	28
08/27/2014	58
07/03/2014	33
09/03/2014	58
03/12/2014	43
08/14/2013	53
09/13/2013	50
02/12/2014	42
10/04/2013	43
08/05/2013	45
02/26/2014	57
03/18/2014	42
06/24/2014	30
10/03/2013	38
09/04/2014	53
07/03/2013	38
09/20/2014	58
06/13/2014	35
02/11/2014	43
08/16/2014	33
01/23/2014	45
07/26/2013	33
09/29/2013	38
10/10/2014	28
06/30/2013	39
07/30/2013	38
04/02/2014	45
11/11/2013	45
10/28/2013	58
09/26/2014	58
07/17/2013	43
07/12/2014	53
04/09/2014	42
12/05/2013	42
06/05/2014	46
10/06/2013	45
07/26/2014	53
05/09/2014	50
08/08/2013	53
02/28/2014	43
06/02/2014	50
09/10/2014	55
06/26/2013	38
11/12/2013	44
10/09/2013	43
