Date	Average
09/08/2014	110
03/19/2014	113
11/18/2013	95
08/18/2013	78
09/20/2013	118
10/30/2014	121
07/21/2014	108
01/07/2014	103
11/01/2013	93
06/18/2014	88
07/29/2014	106
09/06/2013	88
10/25/2014	126
02/21/2014	93
12/31/2013	103
07/08/2014	107
08/29/2013	78
04/06/2014	118
03/17/2014	108
06/23/2014	93
02/09/2014	93
09/01/2014	111
09/17/2014	108
05/21/2014	103
07/15/2013	88
09/05/2013	78
02/04/2014	90
11/04/2013	93
10/22/2014	133
02/02/2014	93
12/24/2013	102
07/01/2014	107
11/24/2013	95
06/01/2014	98
06/09/2014	93
03/20/2014	113
01/26/2014	98
01/24/2014	95
07/06/2014	108
10/13/2013	108
09/09/2013	118
10/19/2014	119
09/16/2014	111
06/12/2014	88
12/29/2013	103
08/30/2013	78
03/13/2014	105
10/27/2013	98
07/10/2014	105
03/25/2014	118
08/07/2014	113
12/09/2013	105
07/11/2013	95
08/07/2013	83
08/04/2014	113
11/06/2014	118
09/30/2014	117
04/21/2014	108
12/03/2013	103
02/06/2014	87
10/08/2013	108
07/22/2013	88
01/29/2014	95
02/03/2014	93
06/19/2013	105
09/10/2013	118
05/20/2014	101
12/06/2013	103
05/05/2014	104
09/23/2013	113
09/08/2013	98
12/20/2013	103
08/13/2013	78
12/10/2013	108
08/01/2014	113
08/06/2013	83
11/21/2013	95
11/07/2014	118
06/16/2013	105
06/20/2013	105
04/10/2014	113
05/26/2014	98
07/09/2013	95
10/14/2014	120
03/06/2014	102
04/28/2014	104
11/20/2013	96
11/26/2013	95
10/08/2014	118
05/04/2014	104
05/02/2014	102
07/24/2014	108
07/11/2014	105
07/22/2014	108
09/24/2014	107
12/11/2013	108
10/26/2014	120
12/12/2013	108
09/11/2013	118
02/20/2014	93
08/27/2013	78
02/14/2014	93
02/17/2014	93
10/02/2013	108
01/13/2014	103
04/29/2014	102
01/06/2014	103
07/28/2013	88
09/22/2014	108
11/13/2013	102
11/01/2014	119
03/28/2014	125
02/13/2014	92
08/03/2014	113
08/02/2013	85
03/31/2014	125
11/29/2013	96
11/08/2014	118
05/23/2014	102
10/28/2014	119
03/24/2014	118
08/23/2014	111
09/13/2014	110
04/30/2014	102
10/31/2014	118
06/27/2014	107
06/25/2014	98
08/19/2013	78
06/03/2014	98
11/05/2013	92
08/01/2013	85
09/28/2014	111
08/17/2014	112
01/27/2014	100
10/24/2014	125
09/15/2014	111
10/12/2013	108
10/27/2014	119
08/15/2013	78
04/07/2014	118
01/14/2014	103
06/08/2014	93
08/25/2014	110
10/25/2013	103
12/13/2013	108
06/04/2014	93
10/20/2013	103
06/25/2013	105
11/07/2013	93
05/18/2014	103
09/24/2013	113
10/15/2013	108
03/11/2014	107
08/04/2013	85
01/28/2014	93
08/26/2013	83
03/26/2014	118
12/04/2013	102
10/10/2013	108
01/09/2014	103
07/16/2013	88
02/08/2014	94
09/09/2014	110
03/07/2014	103
04/15/2014	108
10/30/2013	95
07/15/2014	108
06/26/2014	105
01/02/2014	103
06/28/2013	95
03/27/2014	127
07/21/2013	88
01/22/2014	98
10/23/2013	103
07/23/2014	108
09/21/2014	108
09/04/2013	78
03/21/2014	115
04/23/2014	108
04/27/2014	108
09/16/2013	118
01/03/2014	102
01/05/2014	103
11/03/2013	93
06/17/2014	88
08/06/2014	112
11/15/2013	103
01/08/2014	103
04/17/2014	108
07/31/2014	108
09/15/2013	118
09/19/2014	107
06/11/2014	93
06/10/2014	93
11/17/2013	95
12/01/2013	95
08/25/2013	83
10/13/2014	118
02/24/2014	95
07/14/2014	104
12/19/2013	103
06/20/2014	93
02/18/2014	93
11/25/2013	95
07/19/2013	88
10/11/2013	108
07/30/2014	108
07/18/2014	107
05/25/2014	100
10/12/2014	117
07/12/2013	90
04/20/2014	108
02/23/2014	97
05/15/2014	103
08/08/2014	113
08/28/2014	111
08/12/2014	113
06/18/2013	105
05/27/2014	98
10/07/2013	108
07/02/2014	108
07/23/2013	88
01/01/2014	103
02/25/2014	93
11/22/2013	95
09/07/2014	110
05/19/2014	101
10/09/2014	117
09/30/2013	112
06/17/2013	105
10/16/2014	120
07/24/2013	88
07/10/2013	95
10/20/2014	120
05/30/2014	98
07/31/2013	85
11/06/2013	93
09/12/2013	118
07/28/2014	108
06/27/2013	95
05/07/2014	103
07/18/2013	88
11/03/2014	117
02/10/2014	93
09/14/2014	109
07/13/2014	104
07/05/2013	95
11/10/2014	118
05/12/2014	103
10/17/2014	120
12/23/2013	103
09/18/2014	111
03/09/2014	105
09/03/2013	78
10/01/2013	113
08/13/2014	113
05/11/2014	103
07/04/2013	95
04/04/2014	118
08/09/2014	113
07/25/2013	85
06/21/2013	105
01/21/2014	97
08/15/2014	113
10/29/2013	95
08/16/2013	78
08/23/2013	83
08/18/2014	113
11/27/2013	95
04/16/2014	108
11/09/2014	118
06/30/2014	107
03/14/2014	103
10/23/2014	126
10/16/2013	108
08/31/2014	110
07/14/2013	90
01/20/2014	98
02/07/2014	88
06/15/2014	88
03/23/2014	123
11/14/2013	104
09/02/2014	110
08/21/2014	110
12/08/2013	105
07/29/2013	85
09/27/2013	113
08/19/2014	113
05/06/2014	103
07/04/2014	108
08/20/2014	110
11/28/2013	95
11/02/2014	119
05/08/2014	103
06/16/2014	88
08/11/2014	114
07/27/2014	108
03/03/2014	102
07/05/2014	108
04/11/2014	108
09/22/2013	113
07/07/2014	108
07/25/2014	108
08/02/2014	113
09/23/2014	108
12/27/2013	103
08/05/2014	112
09/05/2014	110
10/24/2013	103
10/14/2013	108
01/17/2014	103
12/16/2013	105
03/05/2014	103
12/26/2013	102
02/16/2014	93
07/02/2013	95
01/12/2014	103
07/16/2014	108
04/13/2014	108
04/03/2014	118
06/06/2014	93
08/26/2014	110
07/01/2013	95
09/01/2013	78
10/15/2014	121
01/10/2014	103
08/29/2014	110
12/22/2013	103
11/04/2014	117
12/15/2013	107
11/16/2013	102
09/29/2014	118
10/22/2013	103
09/11/2014	109
11/10/2013	103
03/10/2014	105
05/28/2014	98
09/19/2013	118
10/17/2013	103
11/05/2014	118
10/31/2013	93
05/22/2014	103
08/10/2014	116
09/26/2013	113
08/14/2014	113
10/21/2013	103
05/13/2014	102
09/12/2014	112
09/06/2014	110
05/16/2014	103
07/19/2014	108
07/20/2014	108
06/29/2014	105
12/02/2013	95
07/17/2014	106
02/05/2014	89
01/16/2014	103
07/09/2014	105
08/22/2014	111
04/01/2014	122
