Date	Average
09/08/2014	95
03/19/2014	103
11/18/2013	85
08/18/2013	53
09/20/2013	83
10/30/2014	97
07/21/2014	63
01/07/2014	93
11/01/2013	78
06/18/2014	58
07/29/2014	58
09/06/2013	65
10/25/2014	95
02/21/2014	88
12/31/2013	88
07/08/2014	67
08/29/2013	58
04/06/2014	78
03/17/2014	83
06/23/2014	58
02/09/2014	88
09/01/2014	95
09/17/2014	108
05/21/2014	58
07/15/2013	65
09/05/2013	58
02/04/2014	88
11/04/2013	78
10/22/2014	97
02/02/2014	85
12/24/2013	88
07/01/2014	67
11/24/2013	88
06/01/2014	65
06/09/2014	63
03/20/2014	103
01/26/2014	95
01/24/2014	93
07/06/2014	67
10/13/2013	85
09/09/2013	75
10/19/2014	98
09/16/2014	107
06/12/2014	57
12/29/2013	88
08/30/2013	68
03/13/2014	93
10/27/2013	75
07/10/2014	62
03/25/2014	95
08/07/2014	63
12/09/2013	88
07/11/2013	75
08/07/2013	55
08/04/2014	63
11/06/2014	107
09/30/2014	108
04/21/2014	78
12/03/2013	88
02/06/2014	83
10/08/2013	88
07/22/2013	65
01/29/2014	78
02/03/2014	88
06/19/2013	55
09/10/2013	78
05/20/2014	67
12/06/2013	78
05/05/2014	63
09/23/2013	83
09/08/2013	73
12/20/2013	88
08/13/2013	58
12/10/2013	88
08/01/2014	63
08/06/2013	55
11/21/2013	88
11/07/2014	107
06/16/2013	55
06/20/2013	55
04/10/2014	85
05/26/2014	67
07/09/2013	75
10/14/2014	87
03/06/2014	88
04/28/2014	67
11/20/2013	95
11/26/2013	88
10/08/2014	87
05/04/2014	67
05/02/2014	62
07/24/2014	57
07/11/2014	58
07/22/2014	57
09/24/2014	113
12/11/2013	88
10/26/2014	95
12/12/2013	88
09/11/2013	78
02/20/2014	88
08/27/2013	58
02/14/2014	88
02/17/2014	83
10/02/2013	78
01/13/2014	98
04/29/2014	65
01/06/2014	88
07/28/2013	55
09/22/2014	107
11/13/2013	95
11/01/2014	85
03/28/2014	98
02/13/2014	88
08/03/2014	65
08/02/2013	65
03/31/2014	90
11/29/2013	88
11/08/2014	107
05/23/2014	67
10/28/2014	87
03/24/2014	96
08/23/2014	75
09/13/2014	97
04/30/2014	65
10/31/2014	97
06/27/2014	65
06/25/2014	58
08/19/2013	53
06/03/2014	67
11/05/2013	78
08/01/2013	65
09/28/2014	113
08/17/2014	65
01/27/2014	98
10/24/2014	95
09/15/2014	103
10/12/2013	85
10/27/2014	90
08/15/2013	58
04/07/2014	82
01/14/2014	98
06/08/2014	67
08/25/2014	77
10/25/2013	75
12/13/2013	88
06/04/2014	67
10/20/2013	83
06/25/2013	55
11/07/2013	75
05/18/2014	63
09/24/2013	83
10/15/2013	95
03/11/2014	98
08/04/2013	55
01/28/2014	93
08/26/2013	58
03/26/2014	98
12/04/2013	88
10/10/2013	78
01/09/2014	93
07/16/2013	65
09/09/2014	97
04/15/2014	87
10/30/2013	75
07/15/2014	67
06/26/2014	67
01/02/2014	88
06/28/2013	55
03/27/2014	95
