Date	Average
09/08/2014	136
03/19/2014	130
11/18/2013	127
08/18/2013	155
09/20/2013	115
10/30/2014	87
07/21/2014	167
01/07/2014	107
11/01/2013	105
06/18/2014	207
07/29/2014	146
09/06/2013	125
10/25/2014	80
02/21/2014	117
12/31/2013	97
07/08/2014	153
08/29/2013	155
04/06/2014	175
03/17/2014	130
06/23/2014	187
02/09/2014	116
09/01/2014	137
09/17/2014	125
05/21/2014	195
07/15/2013	165
09/05/2013	125
02/04/2014	123
11/04/2013	95
10/22/2014	78
02/02/2014	127
12/24/2013	95
07/01/2014	140
11/24/2013	115
06/01/2014	187
06/09/2014	203
03/20/2014	127
01/26/2014	125
01/24/2014	127
07/06/2014	147
10/13/2013	145
09/09/2013	145
10/19/2014	87
09/16/2014	123
06/12/2014	207
12/29/2013	105
08/30/2013	155
03/13/2014	127
10/27/2013	115
07/10/2014	167
03/25/2014	147
08/07/2014	147
12/09/2013	95
07/11/2013	155
08/07/2013	155
08/04/2014	137
11/06/2014	77
09/30/2014	117
04/21/2014	177
12/03/2013	105
02/06/2014	116
10/08/2013	115
07/22/2013	175
01/29/2014	128
02/03/2014	127
06/19/2013	147
09/10/2013	145
05/20/2014	197
12/06/2013	105
05/05/2014	197
09/23/2013	95
09/08/2013	125
12/20/2013	105
08/13/2013	152
12/10/2013	73
08/01/2014	137
08/06/2013	165
11/21/2013	125
11/07/2014	77
06/16/2013	145
06/20/2013	145
04/10/2014	187
05/26/2014	197
07/09/2013	155
10/14/2014	87
03/06/2014	117
04/28/2014	177
11/20/2013	125
11/26/2013	105
10/08/2014	97
05/04/2014	197
05/02/2014	197
07/24/2014	153
07/11/2014	163
07/22/2014	157
09/24/2014	97
12/11/2013	84
10/26/2014	87
12/12/2013	87
09/11/2013	145
02/20/2014	117
08/27/2013	155
02/14/2014	117
02/17/2014	117
10/02/2013	95
01/13/2014	103
04/29/2014	177
01/06/2014	103
07/28/2013	175
09/22/2014	103
11/13/2013	110
11/01/2014	78
03/28/2014	147
02/13/2014	117
08/03/2014	137
08/02/2013	175
03/31/2014	177
11/29/2013	106
11/08/2014	76
05/23/2014	190
10/28/2014	87
03/24/2014	146
08/23/2014	126
09/13/2014	126
04/30/2014	177
10/31/2014	87
06/27/2014	147
06/25/2014	173
08/19/2013	155
06/03/2014	187
11/05/2013	105
08/01/2013	175
09/28/2014	97
08/17/2014	126
01/27/2014	125
10/24/2014	78
09/15/2014	123
10/12/2013	145
10/27/2014	87
08/15/2013	155
04/07/2014	175
01/14/2014	107
06/08/2014	215
08/25/2014	123
10/25/2013	115
12/13/2013	85
06/04/2014	197
10/20/2013	145
06/25/2013	145
11/07/2013	105
05/18/2014	187
09/24/2013	96
10/15/2013	145
03/11/2014	127
08/04/2013	175
01/28/2014	127
08/26/2013	175
03/26/2014	157
12/04/2013	97
10/10/2013	95
01/09/2014	107
07/16/2013	155
02/08/2014	115
09/09/2014	137
03/07/2014	117
