Date	Average
03/19/2014	58
11/18/2013	82
10/30/2014	70
01/07/2014	26
11/01/2013	95
06/18/2014	105
10/25/2014	85
02/21/2014	35
12/31/2013	47
04/06/2014	42
03/17/2014	53
06/23/2014	105
02/09/2014	38
05/21/2014	58
02/04/2014	33
11/04/2013	95
10/22/2014	88
02/02/2014	33
12/24/2013	48
11/24/2013	45
06/01/2014	78
06/09/2014	97
03/20/2014	48
01/26/2014	28
01/24/2014	33
10/19/2014	95
06/12/2014	97
12/29/2013	33
03/13/2014	42
10/27/2013	105
03/25/2014	42
12/09/2013	75
11/06/2014	87
09/30/2014	135
04/21/2014	43
12/03/2013	65
02/06/2014	33
10/08/2013	115
07/22/2013	135
01/29/2014	33
02/03/2014	33
06/19/2013	58
05/20/2014	58
12/06/2013	75
05/05/2014	43
12/20/2013	85
12/10/2013	73
11/21/2013	75
11/07/2014	87
06/16/2013	58
06/20/2013	58
04/10/2014	38
05/26/2014	62
10/14/2014	107
03/06/2014	48
04/28/2014	38
11/20/2013	110
11/26/2013	47
10/08/2014	130
05/04/2014	43
05/02/2014	43
12/11/2013	74
10/26/2014	150
12/12/2013	73
02/20/2014	48
02/14/2014	42
02/17/2014	58
10/02/2013	130
01/13/2014	28
04/29/2014	48
01/06/2014	30
07/28/2013	135
11/13/2013	68
11/01/2014	77
03/28/2014	38
02/13/2014	40
08/02/2013	95
03/31/2014	39
11/29/2013	48
11/08/2014	84
05/23/2014	58
10/28/2014	105
03/24/2014	40
04/30/2014	43
10/31/2014	73
06/27/2014	105
06/25/2014	105
06/03/2014	77
01/27/2014	29
10/24/2014	82
10/12/2013	105
10/27/2014	135
04/07/2014	48
01/14/2014	31
06/08/2014	97
10/25/2013	95
12/13/2013	75
06/04/2014	78
10/20/2013	105
06/25/2013	58
11/07/2013	125
05/18/2014	57
10/15/2013	115
03/11/2014	53
01/28/2014	32
03/26/2014	38
12/04/2013	65
10/10/2013	85
01/09/2014	24
02/08/2014	32
03/07/2014	48
04/15/2014	43
10/30/2013	105
06/26/2014	105
01/02/2014	33
03/27/2014	40
01/22/2014	28
10/23/2013	85
03/21/2014	48
04/23/2014	43
04/27/2014	48
01/03/2014	43
01/05/2014	28
11/03/2013	87
06/17/2014	105
11/15/2013	85
01/08/2014	24
04/17/2014	42
06/11/2014	97
06/10/2014	83
11/17/2013	90
12/01/2013	75
10/13/2014	105
02/24/2014	48
12/19/2013	83
06/20/2014	107
02/18/2014	53
11/25/2013	55
10/11/2013	107
05/25/2014	57
10/12/2014	107
04/20/2014	42
02/23/2014	42
05/15/2014	58
06/18/2013	58
05/27/2014	58
10/07/2013	115
01/01/2014	33
02/25/2014	48
11/22/2013	75
05/19/2014	58
10/09/2014	113
06/17/2013	58
10/16/2014	97
10/20/2014	85
05/30/2014	58
11/06/2013	145
05/07/2014	48
11/03/2014	78
02/10/2014	38
11/10/2014	76
05/12/2014	58
10/17/2014	107
12/23/2013	38
03/09/2014	63
10/01/2013	155
05/11/2014	58
04/04/2014	45
07/25/2013	145
06/21/2013	58
01/21/2014	28
10/29/2013	110
11/27/2013	45
04/16/2014	53
11/09/2014	75
06/30/2014	105
03/14/2014	38
10/23/2014	83
10/16/2013	115
01/20/2014	33
02/07/2014	33
06/15/2014	105
03/23/2014	32
11/14/2013	68
12/08/2013	77
05/06/2014	48
11/28/2013	45
11/02/2014	85
05/08/2014	48
06/16/2014	105
03/03/2014	58
04/11/2014	38
12/27/2013	41
10/24/2013	95
10/14/2013	125
01/17/2014	32
12/16/2013	75
03/05/2014	48
12/26/2013	43
02/16/2014	58
01/12/2014	32
04/13/2014	40
04/03/2014	44
06/06/2014	97
10/15/2014	107
01/10/2014	24
08/29/2014	57
12/22/2013	85
11/04/2014	73
12/15/2013	75
11/16/2013	85
09/29/2014	135
10/22/2013	105
11/10/2013	75
03/10/2014	45
05/28/2014	67
10/17/2013	115
11/05/2014	85
10/31/2013	95
05/22/2014	58
10/21/2013	90
05/13/2014	58
05/16/2014	57
06/29/2014	105
12/02/2013	75
02/05/2014	33
01/16/2014	30
04/01/2014	41
10/29/2014	87
04/18/2014	38
06/19/2014	105
12/18/2013	78
04/25/2014	42
10/21/2014	85
01/19/2014	22
04/22/2014	43
03/12/2014	48
02/12/2014	43
10/04/2013	120
02/26/2014	53
03/18/2014	57
10/03/2013	115
06/13/2014	97
02/11/2014	42
01/23/2014	27
07/26/2013	145
10/10/2014	107
04/02/2014	45
11/11/2013	65
10/28/2013	95
04/09/2014	47
12/05/2013	65
06/05/2014	78
10/06/2013	115
05/09/2014	48
02/28/2014	58
06/02/2014	78
06/26/2013	58
11/12/2013	55
10/09/2013	115
