Date	Average
09/08/2014	37
08/18/2013	38
09/20/2013	28
11/01/2013	38
09/06/2013	28
10/25/2014	33
08/29/2013	28
09/01/2014	37
09/17/2014	37
09/05/2013	28
11/04/2013	45
10/22/2014	38
09/09/2013	28
10/19/2014	28
09/16/2014	37
08/30/2013	28
10/27/2013	38
12/09/2013	55
09/30/2014	35
10/08/2013	33
09/10/2013	28
09/23/2013	28
09/08/2013	28
12/10/2013	58
11/07/2014	43
10/14/2014	37
10/08/2014	37
09/24/2014	35
09/11/2013	28
08/27/2013	33
02/14/2014	58
10/02/2013	38
09/22/2014	37
11/01/2014	38
11/29/2013	55
11/08/2014	43
08/23/2014	35
09/13/2014	37
08/19/2013	38
09/28/2014	35
08/17/2014	48
10/24/2014	31
09/15/2014	45
10/12/2013	33
08/15/2013	38
08/25/2014	45
10/25/2013	38
10/20/2013	38
09/24/2013	28
08/26/2013	38
10/10/2013	28
09/09/2014	37
10/30/2013	38
10/23/2013	38
09/21/2014	35
09/04/2013	28
09/16/2013	28
11/03/2013	58
09/15/2013	28
09/19/2014	37
08/25/2013	33
10/13/2014	37
10/11/2013	33
10/12/2014	28
08/08/2014	33
08/28/2014	35
08/12/2014	45
10/07/2013	38
09/07/2014	35
10/09/2014	35
09/30/2013	38
10/16/2014	35
10/20/2014	28
09/12/2013	28
11/03/2014	28
09/14/2014	37
11/10/2014	43
10/17/2014	28
09/03/2013	28
10/01/2013	38
08/13/2014	48
08/09/2014	33
07/25/2013	63
10/29/2013	38
08/16/2013	38
08/23/2013	38
08/18/2014	48
11/09/2014	43
10/16/2013	38
08/31/2014	28
09/02/2014	35
08/21/2014	48
09/27/2013	33
08/19/2014	45
08/20/2014	48
11/02/2014	38
09/22/2013	28
09/23/2014	37
09/05/2014	35
10/24/2013	38
08/26/2014	28
09/01/2013	28
08/29/2014	35
11/04/2014	28
09/29/2014	37
10/22/2013	38
09/11/2014	35
09/19/2013	28
10/17/2013	38
11/05/2014	28
10/31/2013	38
08/10/2014	33
09/26/2013	28
08/14/2014	48
10/21/2013	38
09/12/2014	35
09/06/2014	35
08/22/2014	48
09/17/2013	28
09/02/2013	28
08/24/2014	35
10/21/2014	33
09/25/2013	28
08/27/2014	28
09/03/2014	35
08/14/2013	38
09/13/2013	28
10/04/2013	38
10/03/2013	38
09/04/2014	30
09/20/2014	35
09/29/2013	38
10/10/2014	35
10/28/2013	38
09/26/2014	35
10/06/2013	38
09/10/2014	37
10/09/2013	33
