Date	Average
03/19/2014	65
08/18/2013	17
07/21/2014	23
01/07/2014	75
06/18/2014	28
07/29/2014	18
02/21/2014	65
12/31/2013	105
07/08/2014	25
08/29/2013	23
04/06/2014	53
03/17/2014	65
06/23/2014	28
02/09/2014	65
09/01/2014	43
05/21/2014	28
07/15/2013	16
02/04/2014	55
02/02/2014	55
12/24/2013	95
07/01/2014	23
06/01/2014	28
06/09/2014	25
03/20/2014	67
01/26/2014	85
01/24/2014	77
07/06/2014	22
06/12/2014	33
12/29/2013	75
08/30/2013	23
03/13/2014	75
07/10/2014	23
03/25/2014	65
08/07/2014	23
12/09/2013	135
07/11/2013	17
08/07/2013	18
08/04/2014	21
04/21/2014	55
02/06/2014	55
07/22/2013	17
01/29/2014	55
02/03/2014	55
06/19/2013	23
05/20/2014	37
05/05/2014	38
09/08/2013	28
12/20/2013	95
08/13/2013	17
12/10/2013	135
08/01/2014	14
06/16/2013	23
06/20/2013	23
04/10/2014	55
05/26/2014	24
07/09/2013	18
03/06/2014	65
04/28/2014	57
05/04/2014	38
05/02/2014	57
07/24/2014	17
07/11/2014	23
07/22/2014	17
02/20/2014	57
08/27/2013	23
02/14/2014	57
02/17/2014	55
01/13/2014	95
04/29/2014	57
01/06/2014	75
07/28/2013	54
03/28/2014	65
02/13/2014	65
08/03/2014	22
08/02/2013	17
03/31/2014	70
11/29/2013	95
05/23/2014	28
03/24/2014	65
08/23/2014	28
04/30/2014	57
06/27/2014	28
06/25/2014	28
08/19/2013	19
06/03/2014	25
08/01/2013	17
08/17/2014	23
01/27/2014	85
08/15/2013	17
04/07/2014	53
01/14/2014	85
06/08/2014	34
08/25/2014	28
06/04/2014	32
06/25/2013	23
05/18/2014	30
03/11/2014	65
08/04/2013	17
01/28/2014	65
08/26/2013	23
03/26/2014	65
01/09/2014	75
07/16/2013	18
03/07/2014	65
04/15/2014	48
07/15/2014	28
06/26/2014	28
01/02/2014	95
06/28/2013	19
03/27/2014	67
07/21/2013	17
01/22/2014	65
07/23/2014	17
03/21/2014	67
04/23/2014	47
04/27/2014	55
01/03/2014	75
01/05/2014	95
06/17/2014	28
08/06/2014	23
01/08/2014	75
04/17/2014	45
07/31/2014	14
06/11/2014	33
06/10/2014	33
08/25/2013	23
02/24/2014	73
07/14/2014	23
06/20/2014	33
02/18/2014	77
07/19/2013	16
07/30/2014	18
07/18/2014	23
05/25/2014	28
07/12/2013	18
04/20/2014	55
02/23/2014	55
05/15/2014	47
08/08/2014	23
08/28/2014	43
08/12/2014	23
06/18/2013	23
05/27/2014	28
07/02/2014	28
07/23/2013	17
01/01/2014	112
02/25/2014	65
05/19/2014	27
06/17/2013	23
07/24/2013	17
07/10/2013	18
05/30/2014	28
07/31/2013	17
07/28/2014	18
06/27/2013	19
05/07/2014	44
07/18/2013	18
02/10/2014	60
07/13/2014	23
07/05/2013	18
05/12/2014	38
12/23/2013	95
03/09/2014	65
08/13/2014	23
05/11/2014	35
07/04/2013	18
04/04/2014	53
08/09/2014	23
07/25/2013	17
06/21/2013	18
01/21/2014	60
08/15/2014	23
08/16/2013	17
08/23/2013	19
08/18/2014	28
04/16/2014	42
06/30/2014	28
03/14/2014	85
08/31/2014	43
07/14/2013	15
01/20/2014	65
02/07/2014	55
06/15/2014	32
03/23/2014	67
08/21/2014	28
08/19/2014	27
05/06/2014	33
07/04/2014	27
05/08/2014	47
06/16/2014	33
08/11/2014	23
07/27/2014	18
03/03/2014	65
07/05/2014	23
04/11/2014	53
07/07/2014	23
07/25/2014	18
08/02/2014	17
12/27/2013	75
08/05/2014	22
01/17/2014	65
03/05/2014	65
12/26/2013	67
02/16/2014	65
07/02/2013	85
01/12/2014	65
07/16/2014	23
04/13/2014	48
04/03/2014	55
06/06/2014	27
08/26/2014	28
07/01/2013	18
01/10/2014	75
08/29/2014	43
12/22/2013	95
03/10/2014	67
05/28/2014	23
05/22/2014	22
08/10/2014	23
08/14/2014	23
05/13/2014	47
05/16/2014	47
07/19/2014	23
07/20/2014	23
06/29/2014	28
07/17/2014	23
02/05/2014	67
01/16/2014	95
07/09/2014	23
08/22/2014	28
04/01/2014	68
04/18/2014	48
06/19/2014	33
08/24/2014	28
04/25/2014	45
01/19/2014	65
04/22/2014	42
08/27/2014	39
07/03/2014	28
03/12/2014	85
08/14/2013	17
02/12/2014	56
08/05/2013	17
02/26/2014	65
03/18/2014	75
06/24/2014	28
07/03/2013	18
06/13/2014	37
02/11/2014	57
08/16/2014	23
01/23/2014	65
07/26/2013	17
06/30/2013	18
07/30/2013	17
04/02/2014	65
07/17/2013	19
07/12/2014	23
04/09/2014	48
06/05/2014	27
07/26/2014	17
05/09/2014	43
08/08/2013	17
02/28/2014	63
06/02/2014	27
06/26/2013	23
