Date	Average
03/19/2014	58
01/07/2014	53
02/21/2014	58
04/06/2014	68
03/17/2014	65
02/09/2014	48
02/04/2014	48
02/02/2014	48
03/20/2014	58
01/26/2014	53
01/24/2014	48
03/13/2014	58
03/25/2014	65
02/06/2014	48
01/29/2014	48
02/03/2014	48
04/10/2014	65
03/06/2014	58
02/20/2014	48
02/14/2014	48
02/17/2014	53
01/13/2014	48
03/28/2014	58
02/13/2014	48
03/31/2014	63
03/24/2014	58
01/27/2014	58
04/07/2014	68
01/14/2014	48
03/11/2014	58
01/28/2014	48
03/26/2014	58
01/09/2014	48
03/07/2014	58
04/15/2014	65
03/27/2014	58
01/22/2014	48
03/21/2014	58
01/08/2014	48
04/17/2014	65
02/24/2014	58
02/18/2014	53
02/23/2014	58
02/25/2014	53
02/10/2014	48
03/09/2014	58
04/04/2014	68
01/21/2014	48
04/16/2014	65
03/14/2014	58
01/20/2014	48
02/07/2014	48
03/23/2014	58
03/03/2014	58
04/11/2014	65
01/17/2014	48
03/05/2014	58
02/16/2014	55
01/12/2014	48
04/13/2014	65
04/03/2014	63
01/10/2014	48
03/10/2014	58
02/05/2014	48
01/16/2014	48
04/01/2014	63
04/18/2014	65
04/25/2014	85
01/19/2014	48
03/12/2014	58
02/12/2014	48
02/26/2014	58
03/18/2014	58
02/11/2014	48
01/23/2014	48
04/02/2014	63
04/09/2014	65
02/28/2014	58
