Date	Average
03/19/2014	33
01/07/2014	39
06/18/2014	48
02/21/2014	33
12/31/2013	43
04/06/2014	43
03/17/2014	33
06/23/2014	48
02/09/2014	33
05/21/2014	58
02/04/2014	33
02/02/2014	38
12/24/2013	39
07/01/2014	48
06/01/2014	58
06/09/2014	58
03/20/2014	28
01/26/2014	39
01/24/2014	33
06/12/2014	53
12/29/2013	38
03/13/2014	33
03/25/2014	29
04/21/2014	68
02/06/2014	33
01/29/2014	33
02/03/2014	33
05/20/2014	57
05/05/2014	47
12/20/2013	39
04/10/2014	58
05/26/2014	57
03/06/2014	33
04/28/2014	58
05/04/2014	47
05/02/2014	48
02/20/2014	33
02/14/2014	33
02/17/2014	38
01/13/2014	39
04/29/2014	48
01/06/2014	39
03/28/2014	43
02/13/2014	33
03/31/2014	43
05/23/2014	58
03/24/2014	29
04/30/2014	53
06/27/2014	48
06/25/2014	48
06/03/2014	58
01/27/2014	38
04/07/2014	43
01/14/2014	39
06/08/2014	57
06/04/2014	58
05/18/2014	58
03/11/2014	33
01/28/2014	33
03/26/2014	38
01/09/2014	39
03/07/2014	33
04/15/2014	48
06/26/2014	48
01/02/2014	39
03/27/2014	43
01/22/2014	38
03/21/2014	29
04/23/2014	58
04/27/2014	73
01/03/2014	39
01/05/2014	38
06/17/2014	58
01/08/2014	38
04/17/2014	58
06/11/2014	48
06/10/2014	58
02/24/2014	33
12/19/2013	48
06/20/2014	48
02/18/2014	33
05/25/2014	58
04/20/2014	78
02/23/2014	33
05/15/2014	57
05/27/2014	57
01/01/2014	38
02/25/2014	33
05/19/2014	58
05/30/2014	58
05/07/2014	48
02/10/2014	33
05/12/2014	48
12/23/2013	38
03/09/2014	33
05/11/2014	58
04/04/2014	38
01/21/2014	38
04/16/2014	48
03/14/2014	33
01/20/2014	39
02/07/2014	33
06/15/2014	48
03/23/2014	29
05/06/2014	58
05/08/2014	47
06/16/2014	48
03/03/2014	33
04/11/2014	48
12/27/2013	43
01/17/2014	38
12/16/2013	43
03/05/2014	33
12/26/2013	48
02/16/2014	33
01/12/2014	39
04/13/2014	43
04/03/2014	38
06/06/2014	58
01/10/2014	39
12/22/2013	38
03/10/2014	33
05/28/2014	58
11/05/2014	87
05/22/2014	58
05/13/2014	48
05/16/2014	58
02/05/2014	33
01/16/2014	38
04/01/2014	43
04/18/2014	65
12/18/2013	38
04/25/2014	58
01/19/2014	39
04/22/2014	65
07/03/2014	48
03/12/2014	33
02/12/2014	29
02/26/2014	33
03/18/2014	33
06/13/2014	48
02/11/2014	33
01/23/2014	39
04/02/2014	38
04/09/2014	28
06/05/2014	58
05/09/2014	48
02/28/2014	33
06/02/2014	58
