Date	Average
03/19/2014	38
09/20/2013	23
10/30/2014	38
01/07/2014	33
11/01/2013	28
10/25/2014	33
02/21/2014	28
12/31/2013	33
03/17/2014	43
02/09/2014	33
09/17/2014	38
02/04/2014	33
11/04/2013	33
10/22/2014	45
02/02/2014	33
12/24/2013	33
01/26/2014	38
01/24/2014	33
09/09/2013	45
10/19/2014	38
12/29/2013	33
03/13/2014	38
10/27/2013	33
12/09/2013	43
09/30/2014	38
12/03/2013	38
02/06/2014	33
10/08/2013	28
01/29/2014	28
02/03/2014	33
09/10/2013	35
12/06/2013	43
09/23/2013	28
12/20/2013	33
12/10/2013	43
03/06/2014	38
09/24/2014	38
12/11/2013	43
10/26/2014	35
12/12/2013	38
09/11/2013	33
02/20/2014	33
02/14/2014	33
02/17/2014	33
10/02/2013	28
01/13/2014	33
01/06/2014	33
09/22/2014	38
02/13/2014	28
11/29/2013	33
09/13/2014	35
10/31/2014	38
11/05/2013	35
09/28/2014	38
01/27/2014	35
10/24/2014	33
10/12/2013	33
01/14/2014	33
10/25/2013	33
12/13/2013	33
10/20/2013	33
11/07/2013	33
03/11/2014	38
01/28/2014	33
12/04/2013	55
10/10/2013	28
01/09/2014	33
03/07/2014	38
10/30/2013	33
01/02/2014	33
01/22/2014	33
09/21/2014	38
01/03/2014	33
01/05/2014	33
11/03/2013	33
01/08/2014	33
09/19/2014	33
12/01/2013	38
02/24/2014	33
12/19/2013	33
02/18/2014	33
10/11/2013	28
02/23/2014	38
10/07/2013	28
01/01/2014	33
02/25/2014	28
09/30/2013	28
10/20/2014	38
02/10/2014	33
09/14/2014	38
10/17/2014	38
12/23/2013	33
09/18/2014	38
03/09/2014	35
10/01/2013	28
01/21/2014	38
10/29/2013	33
03/14/2014	38
10/23/2014	50
10/16/2013	33
01/20/2014	33
12/08/2013	43
09/27/2013	28
03/03/2014	38
09/22/2013	28
09/23/2014	38
01/17/2014	33
12/16/2013	38
03/05/2014	38
12/26/2013	33
02/16/2014	33
01/12/2014	33
01/10/2014	33
12/15/2013	33
09/29/2014	38
10/22/2013	33
09/11/2014	39
03/10/2014	38
09/19/2013	33
10/17/2013	33
10/31/2013	33
09/26/2013	28
10/21/2013	38
09/12/2014	38
12/02/2013	38
02/05/2014	33
01/16/2014	33
12/18/2013	33
10/21/2014	43
01/19/2014	38
09/25/2013	28
03/12/2014	38
02/12/2014	28
10/04/2013	28
02/26/2014	33
10/03/2013	28
09/20/2014	38
02/11/2014	33
01/23/2014	33
09/29/2013	28
10/28/2013	38
09/26/2014	38
12/05/2013	43
10/06/2013	28
02/28/2014	33
09/10/2014	45
10/09/2013	28
