Date	Average
09/08/2014	420
03/19/2014	367
11/18/2013	300
08/18/2013	350
09/20/2013	350
10/30/2014	567
07/21/2014	300
01/07/2014	367
11/01/2013	350
06/18/2014	433
07/29/2014	360
09/06/2013	350
10/25/2014	350
02/21/2014	350
12/31/2013	350
07/08/2014	233
08/29/2013	450
04/06/2014	450
03/17/2014	367
06/23/2014	467
02/09/2014	360
09/01/2014	367
09/17/2014	567
05/21/2014	650
07/15/2013	350
09/05/2013	350
02/04/2014	367
11/04/2013	350
10/22/2014	567
02/02/2014	367
12/24/2013	350
07/01/2014	300
11/24/2013	350
06/01/2014	533
06/09/2014	467
03/20/2014	367
01/26/2014	300
01/24/2014	367
07/06/2014	300
10/13/2013	467
09/09/2013	350
10/19/2014	567
09/16/2014	567
06/12/2014	450
12/29/2013	350
08/30/2013	450
03/13/2014	367
10/27/2013	350
07/10/2014	300
03/25/2014	367
08/07/2014	367
12/09/2013	350
07/11/2013	400
08/07/2013	350
08/04/2014	367
11/06/2014	467
09/30/2014	767
04/21/2014	350
12/03/2013	350
02/06/2014	360
10/08/2013	230
07/22/2013	350
01/29/2014	367
02/03/2014	367
06/19/2013	300
09/10/2013	350
05/20/2014	667
12/06/2013	350
05/05/2014	633
09/23/2013	350
09/08/2013	350
12/20/2013	367
08/13/2013	350
12/10/2013	333
08/01/2014	367
08/06/2013	350
11/21/2013	350
11/07/2014	433
06/16/2013	300
06/20/2013	300
04/10/2014	367
05/26/2014	567
07/09/2013	300
10/14/2014	533
03/06/2014	367
04/28/2014	667
11/20/2013	288
11/26/2013	350
10/08/2014	700
05/04/2014	633
05/02/2014	667
07/24/2014	267
07/11/2014	267
07/22/2014	300
09/24/2014	667
12/11/2013	350
10/26/2014	467
12/12/2013	350
09/11/2013	350
02/20/2014	367
08/27/2013	450
02/14/2014	400
02/17/2014	367
10/02/2013	350
01/13/2014	367
04/29/2014	650
01/06/2014	350
07/28/2013	350
09/22/2014	633
11/13/2013	300
11/01/2014	460
02/13/2014	400
08/03/2014	367
08/02/2013	350
03/31/2014	450
11/29/2013	350
11/08/2014	460
05/23/2014	533
10/28/2014	467
03/24/2014	360
08/23/2014	360
09/13/2014	460
04/30/2014	650
10/31/2014	467
06/27/2014	300
06/25/2014	367
08/19/2013	350
06/03/2014	467
11/05/2013	350
08/01/2013	350
09/28/2014	667
08/17/2014	360
01/27/2014	300
10/24/2014	350
09/15/2014	567
10/12/2013	450
10/27/2014	433
08/15/2013	350
04/07/2014	450
01/14/2014	350
06/08/2014	467
08/25/2014	367
10/25/2013	350
12/13/2013	350
06/04/2014	467
10/20/2013	350
06/25/2013	300
11/07/2013	350
05/18/2014	667
09/24/2013	350
10/15/2013	367
03/11/2014	367
08/04/2013	350
01/28/2014	350
08/26/2013	400
03/26/2014	367
12/04/2013	350
10/10/2013	350
01/09/2014	367
07/16/2013	350
02/08/2014	300
09/09/2014	400
03/07/2014	350
04/15/2014	367
10/30/2013	350
06/26/2014	367
01/02/2014	350
06/28/2013	300
03/27/2014	367
07/21/2013	350
01/22/2014	350
10/23/2013	350
07/23/2014	300
09/21/2014	533
09/04/2013	350
03/21/2014	367
04/23/2014	533
04/27/2014	633
09/16/2013	350
01/03/2014	367
01/05/2014	350
11/03/2013	350
06/17/2014	467
08/06/2014	367
11/15/2013	288
01/08/2014	367
04/17/2014	367
07/31/2014	367
09/15/2013	350
09/19/2014	567
06/11/2014	433
06/10/2014	467
11/17/2013	300
12/01/2013	350
08/25/2013	350
10/13/2014	567
02/24/2014	367
07/14/2014	300
12/19/2013	350
06/20/2014	400
02/18/2014	350
11/25/2013	350
07/19/2013	350
10/11/2013	360
07/30/2014	367
07/18/2014	275
05/25/2014	567
10/12/2014	667
07/12/2013	450
04/20/2014	367
02/23/2014	367
05/15/2014	667
08/08/2014	367
08/28/2014	367
08/12/2014	360
06/18/2013	300
05/27/2014	567
10/07/2013	350
07/02/2014	300
07/23/2013	350
01/01/2014	367
02/25/2014	400
11/22/2013	350
09/07/2014	367
05/19/2014	633
10/09/2014	767
09/30/2013	350
06/17/2013	300
10/16/2014	533
07/24/2013	350
07/10/2013	400
10/20/2014	567
05/30/2014	500
07/31/2013	350
11/06/2013	350
09/12/2013	350
07/28/2014	267
06/27/2013	300
05/07/2014	667
07/18/2013	350
11/03/2014	467
02/10/2014	360
09/14/2014	433
07/13/2014	275
07/05/2013	300
11/10/2014	467
05/12/2014	650
10/17/2014	567
12/23/2013	350
09/18/2014	567
03/09/2014	350
09/03/2013	350
10/01/2013	350
08/13/2014	367
05/11/2014	667
07/04/2013	300
04/04/2014	450
08/09/2014	360
07/25/2013	350
06/21/2013	300
01/21/2014	367
08/15/2014	367
10/29/2013	350
08/16/2013	350
08/23/2013	350
08/18/2014	375
11/27/2013	350
04/16/2014	350
11/09/2014	467
06/30/2014	300
03/14/2014	333
10/23/2014	275
10/16/2013	450
08/31/2014	367
07/14/2013	350
01/20/2014	350
02/07/2014	400
06/15/2014	467
03/23/2014	350
11/14/2013	333
09/02/2014	360
08/21/2014	367
12/08/2013	350
07/29/2013	367
09/27/2013	350
08/19/2014	375
05/06/2014	667
07/04/2014	300
08/20/2014	367
11/28/2013	350
11/02/2014	467
05/08/2014	667
06/16/2014	467
08/11/2014	350
07/27/2014	300
03/03/2014	367
07/05/2014	280
04/11/2014	350
09/22/2013	350
07/07/2014	300
07/25/2014	300
08/02/2014	360
09/23/2014	625
12/27/2013	350
08/05/2014	367
09/05/2014	375
10/24/2013	350
10/14/2013	467
01/17/2014	350
12/16/2013	350
03/05/2014	367
12/26/2013	350
02/16/2014	367
07/02/2013	300
01/12/2014	367
07/16/2014	300
04/13/2014	367
04/03/2014	450
06/06/2014	450
08/26/2014	367
07/01/2013	300
09/01/2013	450
10/15/2014	667
01/10/2014	350
08/29/2014	367
12/22/2013	350
11/04/2014	467
12/15/2013	350
11/16/2013	288
09/29/2014	567
10/22/2013	350
09/11/2014	467
11/10/2013	300
03/10/2014	350
05/28/2014	533
09/19/2013	350
10/17/2013	350
11/05/2014	467
10/31/2013	350
05/22/2014	567
08/10/2014	360
09/26/2013	350
08/14/2014	367
10/21/2013	350
05/13/2014	633
09/12/2014	450
09/06/2014	420
05/16/2014	667
07/20/2014	300
06/29/2014	250
12/02/2013	350
07/17/2014	280
02/05/2014	350
01/16/2014	350
08/12/2013	250
07/09/2014	267
08/22/2014	367
04/01/2014	400
10/29/2014	460
04/18/2014	367
06/19/2014	467
09/17/2013	333
09/02/2013	350
08/24/2014	367
12/18/2013	350
04/25/2014	667
10/21/2014	567
01/19/2014	350
04/22/2014	350
09/25/2013	350
08/27/2014	367
07/03/2014	275
09/03/2014	375
03/12/2014	367
08/14/2013	350
09/13/2013	350
02/12/2014	360
10/04/2013	350
08/05/2013	350
02/26/2014	350
03/18/2014	333
06/24/2014	467
10/03/2013	350
09/04/2014	400
07/03/2013	300
09/20/2014	560
06/13/2014	467
02/11/2014	360
08/16/2014	380
01/23/2014	367
07/26/2013	350
09/29/2013	350
10/10/2014	633
06/30/2013	300
07/30/2013	333
04/02/2014	433
11/11/2013	300
10/28/2013	350
09/26/2014	667
07/17/2013	350
07/12/2014	280
04/09/2014	367
12/05/2013	350
06/05/2014	467
10/06/2013	350
07/26/2014	280
05/09/2014	667
08/08/2013	350
02/28/2014	350
06/02/2014	467
09/10/2014	467
06/26/2013	300
11/12/2013	300
10/09/2013	350
