Date	Average
08/18/2013	145
07/21/2014	78
06/18/2014	57
07/29/2014	75
07/08/2014	73
06/23/2014	77
09/01/2014	170
05/21/2014	77
07/15/2013	65
07/01/2014	80
06/01/2014	70
06/09/2014	67
07/06/2014	73
06/12/2014	60
07/10/2014	87
08/07/2014	93
07/11/2013	65
08/07/2013	95
08/04/2014	95
04/21/2014	92
07/22/2013	65
06/19/2013	55
05/20/2014	77
05/05/2014	70
08/13/2013	105
08/01/2014	87
08/06/2013	75
06/16/2013	55
06/20/2013	55
04/10/2014	105
05/26/2014	67
07/09/2013	60
04/28/2014	85
05/04/2014	67
05/02/2014	85
07/24/2014	75
07/11/2014	87
07/22/2014	78
04/29/2014	85
07/28/2013	55
08/03/2014	95
08/02/2013	65
05/23/2014	69
08/23/2014	85
04/30/2014	75
06/27/2014	87
06/25/2014	87
06/03/2014	67
08/01/2013	75
08/17/2014	83
08/15/2013	115
06/08/2014	67
08/25/2014	85
06/04/2014	67
06/25/2013	55
05/18/2014	65
08/04/2013	75
08/26/2013	145
07/16/2013	365
04/15/2014	105
07/15/2014	77
06/26/2014	87
06/28/2013	55
07/21/2013	55
07/23/2014	75
04/23/2014	80
04/27/2014	90
06/17/2014	55
08/06/2014	95
04/17/2014	85
06/11/2014	60
06/10/2014	60
08/25/2013	145
07/14/2014	85
06/20/2014	68
07/19/2013	65
07/30/2014	73
07/18/2014	68
05/25/2014	67
07/12/2013	65
04/20/2014	92
05/15/2014	73
08/08/2014	95
08/12/2014	95
06/18/2013	55
05/27/2014	65
07/02/2014	77
07/23/2013	65
05/19/2014	77
06/17/2013	55
07/24/2013	55
07/10/2013	75
05/30/2014	67
07/31/2013	65
07/28/2014	77
06/27/2013	55
05/07/2014	67
07/18/2013	75
07/13/2014	85
07/05/2013	55
05/12/2014	73
08/13/2014	87
05/11/2014	73
07/04/2013	55
08/09/2014	95
07/25/2013	55
06/21/2013	45
08/15/2014	87
08/16/2013	125
08/23/2013	145
08/18/2014	87
04/16/2014	87
06/30/2014	80
07/14/2013	65
06/15/2014	60
09/02/2014	175
08/21/2014	85
07/29/2013	65
08/19/2014	87
05/06/2014	77
07/04/2014	78
08/20/2014	97
05/08/2014	67
06/16/2014	57
08/11/2014	95
07/27/2014	74
07/05/2014	73
04/11/2014	105
07/07/2014	78
07/25/2014	77
08/02/2014	85
08/05/2014	95
07/02/2013	55
07/16/2014	75
04/13/2014	105
06/06/2014	67
08/26/2014	125
07/01/2013	55
05/28/2014	67
05/22/2014	65
08/10/2014	95
08/14/2014	87
05/13/2014	77
05/16/2014	67
07/19/2014	77
07/20/2014	77
06/29/2014	85
07/17/2014	75
08/22/2014	87
04/18/2014	88
06/19/2014	57
08/24/2014	85
04/25/2014	80
04/22/2014	85
08/27/2014	150
07/03/2014	87
08/14/2013	115
08/05/2013	85
06/24/2014	80
07/03/2013	55
06/13/2014	63
08/16/2014	73
07/26/2013	55
06/30/2013	55
07/30/2013	65
07/17/2013	75
07/12/2014	85
04/09/2014	105
06/05/2014	67
07/26/2014	74
05/09/2014	77
08/08/2013	95
06/02/2014	67
06/26/2013	55
