Date	Average
09/08/2014	145
03/19/2014	175
08/18/2013	125
09/20/2013	155
07/21/2014	95
01/07/2014	145
11/01/2013	125
06/18/2014	147
07/29/2014	125
09/06/2013	125
10/25/2014	115
02/21/2014	145
12/31/2013	145
07/08/2014	155
08/29/2013	125
04/06/2014	188
03/17/2014	95
06/23/2014	145
02/09/2014	145
09/01/2014	145
09/17/2014	125
05/21/2014	155
07/15/2013	125
09/05/2013	125
02/04/2014	145
11/04/2013	125
10/22/2014	115
02/02/2014	125
12/24/2013	155
07/01/2014	145
11/24/2013	125
06/01/2014	147
06/09/2014	155
03/20/2014	155
01/26/2014	168
01/24/2014	145
07/06/2014	145
09/09/2013	125
10/19/2014	115
09/16/2014	125
06/12/2014	155
12/29/2013	145
08/30/2013	125
03/13/2014	175
10/27/2013	125
03/25/2014	155
08/07/2014	135
12/09/2013	125
07/11/2013	125
08/07/2013	135
08/04/2014	135
11/06/2014	145
09/30/2014	115
04/21/2014	205
12/03/2013	145
02/06/2014	125
10/08/2013	125
07/22/2013	125
01/29/2014	115
02/03/2014	125
06/19/2013	125
09/10/2013	125
05/20/2014	155
12/06/2013	125
05/05/2014	144
09/23/2013	155
09/08/2013	125
12/20/2013	125
08/13/2013	125
12/10/2013	125
08/01/2014	125
08/06/2013	135
11/21/2013	125
11/07/2014	145
06/16/2013	125
06/20/2013	125
04/10/2014	195
05/26/2014	147
07/09/2013	125
10/14/2014	115
03/06/2014	155
04/28/2014	115
11/20/2013	213
11/26/2013	125
10/08/2014	125
05/04/2014	57
05/02/2014	125
07/24/2014	95
07/11/2014	105
07/22/2014	95
09/24/2014	125
12/11/2013	125
10/26/2014	115
12/12/2013	125
09/11/2013	125
02/20/2014	145
08/27/2013	125
02/14/2014	145
02/17/2014	145
10/02/2013	125
01/13/2014	145
04/29/2014	115
01/06/2014	135
07/28/2013	125
09/22/2014	125
11/01/2014	145
03/28/2014	175
02/13/2014	33
08/03/2014	145
08/02/2013	125
03/31/2014	190
11/29/2013	135
11/08/2014	145
05/23/2014	135
03/24/2014	155
08/23/2014	145
09/13/2014	115
04/30/2014	125
06/27/2014	145
06/25/2014	145
06/03/2014	175
08/01/2013	125
09/28/2014	125
08/17/2014	125
01/27/2014	125
10/24/2014	115
09/15/2014	125
10/12/2013	145
08/15/2013	125
04/07/2014	170
01/14/2014	125
06/08/2014	143
08/25/2014	145
10/25/2013	125
12/13/2013	125
06/04/2014	155
10/20/2013	125
06/25/2013	127
11/07/2013	125
05/18/2014	125
09/24/2013	155
03/11/2014	175
08/04/2013	125
01/28/2014	145
08/26/2013	125
03/26/2014	165
12/04/2013	135
10/10/2013	125
01/09/2014	125
07/16/2013	125
09/09/2014	115
03/07/2014	155
04/15/2014	195
10/30/2013	125
07/15/2014	85
06/26/2014	145
01/02/2014	145
06/28/2013	125
03/27/2014	175
07/21/2013	125
01/22/2014	145
10/23/2013	125
07/23/2014	95
09/21/2014	115
09/04/2013	155
03/21/2014	155
