Date	Average
09/08/2014	23
03/19/2014	127
11/18/2013	30
08/18/2013	19
09/20/2013	28
10/30/2014	30
01/07/2014	35
11/01/2013	26
07/29/2014	28
09/06/2013	23
10/25/2014	24
02/21/2014	97
12/31/2013	33
08/29/2013	23
03/17/2014	117
02/09/2014	48
09/01/2014	25
09/17/2014	23
09/05/2013	23
02/04/2014	48
11/04/2013	28
10/22/2014	28
02/02/2014	43
12/24/2013	33
11/24/2013	29
03/20/2014	125
01/26/2014	48
01/24/2014	38
10/13/2013	29
09/09/2013	28
10/19/2014	24
09/16/2014	23
12/29/2013	33
08/30/2013	23
03/13/2014	117
10/27/2013	27
03/25/2014	123
08/07/2014	29
12/09/2013	29
08/07/2013	23
08/04/2014	29
11/06/2014	29
09/30/2014	23
12/03/2013	29
02/06/2014	43
10/08/2013	23
01/29/2014	43
02/03/2014	48
09/10/2013	28
12/06/2013	29
09/23/2013	21
09/08/2013	23
12/20/2013	29
08/13/2013	19
12/10/2013	29
08/01/2014	28
08/06/2013	23
11/21/2013	28
11/07/2014	29
10/14/2014	29
03/06/2014	117
11/20/2013	28
11/26/2013	33
10/08/2014	29
09/24/2014	19
12/11/2013	29
10/26/2014	28
12/12/2013	29
09/11/2013	28
02/20/2014	98
08/27/2013	23
02/17/2014	58
10/02/2013	23
01/13/2014	33
01/06/2014	38
09/22/2014	23
11/13/2013	30
11/01/2014	30
02/13/2014	58
08/03/2014	28
08/02/2013	23
11/29/2013	29
11/08/2014	29
03/24/2014	125
08/23/2014	28
09/13/2014	23
10/31/2014	29
08/19/2013	19
11/05/2013	28
08/01/2013	22
09/28/2014	21
08/17/2014	19
01/27/2014	48
10/24/2014	21
09/15/2014	23
10/12/2013	28
10/27/2014	28
08/15/2013	19
01/14/2014	33
08/25/2014	29
10/25/2013	29
12/13/2013	27
10/20/2013	28
09/24/2013	23
10/15/2013	28
03/11/2014	115
08/04/2013	23
01/28/2014	43
08/26/2013	23
03/26/2014	125
12/04/2013	29
10/10/2013	28
01/09/2014	38
09/09/2014	23
03/07/2014	115
10/30/2013	28
01/02/2014	33
01/22/2014	38
10/23/2013	28
09/21/2014	23
09/04/2013	23
03/21/2014	127
09/16/2013	23
01/03/2014	33
01/05/2014	38
11/03/2013	28
08/06/2014	28
11/15/2013	29
01/08/2014	38
07/31/2014	28
09/15/2013	23
09/19/2014	24
11/17/2013	32
12/01/2013	29
08/25/2013	19
10/13/2014	27
02/24/2014	98
12/19/2013	29
02/18/2014	58
11/25/2013	33
10/11/2013	28
07/30/2014	28
10/12/2014	29
02/23/2014	97
08/08/2014	23
08/28/2014	28
08/12/2014	20
10/07/2013	23
01/01/2014	33
02/25/2014	97
11/22/2013	28
09/07/2014	24
10/09/2014	31
09/30/2013	23
10/16/2014	28
10/20/2014	24
09/12/2013	23
07/28/2014	29
11/03/2014	29
02/10/2014	58
09/14/2014	23
11/10/2014	26
10/17/2014	24
12/23/2013	33
09/18/2014	23
03/09/2014	115
09/03/2013	23
10/01/2013	23
08/13/2014	21
08/09/2014	23
01/21/2014	38
08/15/2014	19
10/29/2013	28
08/16/2013	19
08/23/2013	19
08/18/2014	19
11/27/2013	30
11/09/2014	29
03/14/2014	117
10/23/2014	24
10/16/2013	28
08/31/2014	23
01/20/2014	38
02/07/2014	48
03/23/2014	125
11/14/2013	26
09/02/2014	23
08/21/2014	29
12/08/2013	29
09/27/2013	28
08/19/2014	20
08/20/2014	29
11/28/2013	29
11/02/2014	29
08/11/2014	23
03/03/2014	110
09/22/2013	23
08/02/2014	28
09/23/2014	24
12/27/2013	33
08/05/2014	28
09/05/2014	23
10/24/2013	29
01/17/2014	43
12/16/2013	28
03/05/2014	115
12/26/2013	33
02/16/2014	58
01/12/2014	38
08/26/2014	29
09/01/2013	23
10/15/2014	29
01/10/2014	37
08/29/2014	23
12/22/2013	29
11/04/2014	29
12/15/2013	27
11/16/2013	28
09/29/2014	24
10/22/2013	29
09/11/2014	21
11/10/2013	30
03/10/2014	115
09/19/2013	23
10/17/2013	28
11/05/2014	29
10/31/2013	26
08/10/2014	23
09/26/2013	23
08/14/2014	19
10/21/2013	31
09/12/2014	23
09/06/2014	24
02/05/2014	43
01/16/2014	33
08/22/2014	28
10/29/2014	31
09/17/2013	28
09/02/2013	23
08/24/2014	28
12/18/2013	29
10/21/2014	28
01/19/2014	38
09/25/2013	23
08/27/2014	19
09/03/2014	22
03/12/2014	115
08/14/2013	19
09/13/2013	23
02/12/2014	58
10/04/2013	23
08/05/2013	23
02/26/2014	97
03/18/2014	125
10/03/2013	23
09/04/2014	23
09/20/2014	23
02/11/2014	58
08/16/2014	19
01/23/2014	38
09/29/2013	23
10/10/2014	29
11/11/2013	32
10/28/2013	28
09/26/2014	21
12/05/2013	29
10/06/2013	28
08/08/2013	23
02/28/2014	97
09/10/2014	21
11/12/2013	30
10/09/2013	23
