Date	Average
09/08/2014	55
08/18/2013	55
07/21/2014	55
06/18/2014	55
07/29/2014	55
09/06/2013	55
08/29/2013	55
04/06/2014	75
06/23/2014	55
09/01/2014	55
09/17/2014	55
05/21/2014	55
07/15/2013	55
09/05/2013	55
10/22/2014	33
07/01/2014	55
06/01/2014	55
06/09/2014	65
07/06/2014	55
09/09/2013	55
10/19/2014	55
09/16/2014	55
06/12/2014	65
08/30/2013	55
07/10/2014	57
03/25/2014	55
08/07/2014	55
07/11/2013	55
08/07/2013	55
08/04/2014	53
09/30/2014	55
04/21/2014	55
10/08/2013	75
07/22/2013	55
06/19/2013	45
09/10/2013	55
05/20/2014	55
05/05/2014	67
09/23/2013	55
09/08/2013	55
08/13/2013	55
08/01/2014	55
08/06/2013	55
06/16/2013	55
06/20/2013	55
04/10/2014	55
05/26/2014	53
07/09/2013	55
10/14/2014	55
04/28/2014	55
10/08/2014	55
05/04/2014	57
05/02/2014	65
07/24/2014	55
07/11/2014	55
07/22/2014	58
09/24/2014	55
09/11/2013	55
08/27/2013	55
10/02/2013	65
04/29/2014	55
07/28/2013	45
09/22/2014	55
11/01/2014	55
03/28/2014	55
08/03/2014	55
08/02/2013	55
03/31/2014	63
05/23/2014	55
08/23/2014	55
09/13/2014	55
04/30/2014	65
06/27/2014	55
06/25/2014	55
08/19/2013	55
06/03/2014	55
08/01/2013	55
09/28/2014	55
08/17/2014	65
10/24/2014	31
09/15/2014	65
08/15/2013	55
04/07/2014	78
06/08/2014	67
08/25/2014	65
06/04/2014	53
06/25/2013	57
05/18/2014	65
09/24/2013	55
08/04/2013	55
08/26/2013	55
03/26/2014	55
07/16/2013	55
09/09/2014	55
04/15/2014	55
07/15/2014	55
06/26/2014	55
06/28/2013	55
03/27/2014	55
07/21/2013	55
07/23/2014	55
09/21/2014	65
09/04/2013	55
04/23/2014	45
04/27/2014	55
09/16/2013	55
06/17/2014	55
08/06/2014	55
04/17/2014	55
07/31/2014	55
09/15/2013	55
09/19/2014	65
06/11/2014	65
06/10/2014	65
08/25/2013	55
10/13/2014	55
07/14/2014	55
06/20/2014	55
07/19/2013	55
07/30/2014	55
07/18/2014	55
05/25/2014	53
10/12/2014	55
07/12/2013	55
04/20/2014	55
05/15/2014	63
08/08/2014	55
08/28/2014	85
08/12/2014	55
06/18/2013	55
05/27/2014	53
10/07/2013	55
07/02/2014	55
07/23/2013	55
09/07/2014	55
05/19/2014	55
10/09/2014	55
09/30/2013	65
06/17/2013	55
07/24/2013	55
07/10/2013	55
10/20/2014	35
05/30/2014	55
07/31/2013	55
09/12/2013	55
07/28/2014	55
06/27/2013	55
05/07/2014	67
07/18/2013	55
11/03/2014	47
09/14/2014	35
07/05/2013	55
11/10/2014	55
05/12/2014	65
09/18/2014	55
09/03/2013	55
10/01/2013	65
08/13/2014	55
05/11/2014	65
07/04/2013	55
04/04/2014	85
08/09/2014	55
07/25/2013	55
06/21/2013	55
08/15/2014	65
08/16/2013	55
08/23/2013	55
08/18/2014	55
04/16/2014	55
06/30/2014	65
10/23/2014	33
08/31/2014	28
07/14/2013	55
06/15/2014	65
09/02/2014	65
08/21/2014	65
07/29/2013	55
09/27/2013	55
08/19/2014	55
05/06/2014	57
07/04/2014	55
08/20/2014	48
11/02/2014	65
05/08/2014	57
06/16/2014	53
08/11/2014	55
07/27/2014	55
07/05/2014	55
04/11/2014	55
09/22/2013	55
07/07/2014	55
07/25/2014	55
08/02/2014	55
09/23/2014	55
08/05/2014	55
09/05/2014	55
07/02/2013	55
07/16/2014	55
04/13/2014	55
04/03/2014	75
06/06/2014	53
08/26/2014	65
07/01/2013	55
09/01/2013	55
08/29/2014	75
09/29/2014	55
09/11/2014	55
05/28/2014	55
09/19/2013	65
11/05/2014	55
05/22/2014	57
08/10/2014	55
09/26/2013	55
08/14/2014	55
05/13/2014	55
09/12/2014	55
09/06/2014	55
05/16/2014	67
07/19/2014	55
07/20/2014	53
06/29/2014	65
07/17/2014	55
08/12/2013	63
07/09/2014	55
08/22/2014	55
04/01/2014	65
04/18/2014	55
06/19/2014	48
09/17/2013	55
09/02/2013	55
08/24/2014	55
04/25/2014	55
10/21/2014	33
04/22/2014	55
09/25/2013	55
08/27/2014	65
07/03/2014	55
09/03/2014	55
08/14/2013	55
09/13/2013	55
10/04/2013	65
08/05/2013	55
06/24/2014	55
10/03/2013	45
09/04/2014	55
07/03/2013	55
09/20/2014	55
06/13/2014	58
08/16/2014	65
07/26/2013	55
09/29/2013	65
10/10/2014	55
06/30/2013	55
07/30/2013	55
04/02/2014	83
09/26/2014	55
07/17/2013	55
04/09/2014	55
06/05/2014	55
10/06/2013	65
07/26/2014	55
05/09/2014	65
08/08/2013	55
06/02/2014	55
09/10/2014	55
06/26/2013	45
