Date	Average
03/19/2014	78
08/18/2013	48
09/20/2013	48
07/21/2014	29
01/07/2014	95
11/01/2013	78
06/18/2014	33
07/29/2014	26
09/06/2013	58
10/25/2014	75
02/21/2014	125
12/31/2013	155
07/08/2014	40
08/29/2013	43
04/06/2014	65
03/17/2014	87
06/23/2014	32
02/09/2014	135
09/01/2014	38
09/17/2014	55
05/21/2014	22
07/15/2013	33
09/05/2013	48
02/04/2014	77
11/04/2013	77
10/22/2014	78
02/02/2014	87
12/24/2013	145
07/01/2014	37
11/24/2013	58
06/01/2014	33
06/09/2014	22
03/20/2014	58
01/24/2014	65
07/06/2014	40
09/09/2013	43
10/19/2014	73
09/16/2014	47
06/12/2014	58
12/29/2013	155
08/30/2013	48
03/13/2014	107
07/10/2014	39
03/25/2014	87
08/07/2014	17
12/09/2013	85
07/11/2013	34
08/07/2013	43
08/04/2014	16
11/06/2014	73
09/30/2014	42
04/21/2014	67
12/03/2013	95
02/06/2014	74
10/08/2013	41
07/22/2013	19
01/29/2014	97
02/03/2014	95
06/19/2013	38
09/10/2013	58
05/20/2014	29
12/06/2013	95
05/05/2014	38
09/23/2013	43
09/08/2013	45
08/13/2013	43
12/10/2013	78
08/01/2014	24
08/06/2013	42
11/07/2014	77
06/16/2013	22
06/20/2013	38
04/10/2014	75
05/26/2014	22
07/09/2013	38
10/14/2014	67
03/06/2014	115
04/28/2014	55
11/26/2013	55
10/08/2014	53
05/04/2014	38
05/02/2014	45
07/24/2014	25
07/11/2014	39
07/22/2014	28
09/24/2014	43
12/11/2013	75
12/12/2013	65
09/11/2013	43
02/20/2014	125
08/27/2013	38
02/14/2014	115
02/17/2014	97
10/02/2013	38
01/13/2014	65
04/29/2014	53
01/06/2014	95
07/28/2013	22
09/22/2014	39
11/13/2013	125
11/01/2014	74
03/28/2014	77
02/13/2014	113
08/03/2014	18
08/02/2013	27
03/31/2014	53
11/29/2013	57
11/08/2014	75
05/23/2014	19
03/24/2014	76
08/23/2014	38
09/13/2014	53
04/30/2014	55
10/31/2014	73
06/27/2014	43
06/25/2014	38
08/19/2013	50
06/03/2014	23
08/01/2013	24
09/28/2014	37
08/17/2014	15
01/27/2014	155
10/24/2014	72
09/15/2014	55
10/12/2013	53
08/15/2013	53
04/07/2014	74
01/14/2014	58
06/08/2014	23
08/25/2014	39
12/13/2013	73
06/04/2014	33
10/20/2013	53
06/25/2013	43
05/18/2014	48
09/24/2013	48
03/11/2014	107
08/04/2013	26
01/28/2014	95
08/26/2013	40
03/26/2014	77
12/04/2013	97
10/10/2013	43
01/09/2014	95
07/16/2013	38
02/08/2014	140
09/09/2014	43
03/07/2014	117
04/15/2014	53
10/30/2013	105
07/15/2014	37
06/26/2014	38
01/02/2014	98
06/28/2013	38
03/27/2014	78
07/21/2013	19
01/22/2014	55
07/23/2014	26
09/21/2014	39
09/04/2013	53
03/21/2014	83
04/23/2014	55
04/27/2014	57
09/16/2013	48
01/03/2014	105
01/05/2014	95
11/03/2013	78
06/17/2014	38
08/06/2014	16
11/15/2013	105
01/08/2014	85
04/17/2014	57
07/31/2014	25
09/15/2013	48
09/19/2014	42
06/11/2014	23
06/10/2014	22
12/01/2013	65
08/25/2013	45
10/13/2014	58
02/24/2014	107
07/14/2014	38
06/20/2014	43
02/18/2014	77
11/25/2013	55
07/19/2013	20
10/11/2013	58
07/30/2014	24
07/18/2014	28
05/25/2014	22
10/12/2014	48
07/12/2013	33
04/20/2014	67
02/23/2014	110
05/15/2014	45
08/08/2014	16
08/28/2014	38
08/12/2014	13
06/18/2013	23
05/27/2014	22
10/07/2013	58
07/02/2014	38
07/23/2013	19
01/01/2014	117
02/25/2014	105
11/22/2013	115
09/07/2014	48
05/19/2014	42
10/09/2014	48
09/30/2013	43
06/17/2013	20
10/16/2014	58
07/24/2013	22
07/10/2013	38
10/20/2014	75
05/30/2014	45
07/31/2013	26
09/12/2013	53
07/28/2014	24
06/27/2013	38
05/07/2014	38
07/18/2013	26
11/03/2014	67
02/10/2014	135
09/14/2014	51
07/13/2014	43
07/05/2013	43
11/10/2014	77
05/12/2014	56
12/23/2013	130
09/18/2014	41
03/09/2014	115
09/03/2013	48
10/01/2013	38
08/13/2014	11
05/11/2014	57
07/04/2013	42
04/04/2014	75
08/09/2014	17
07/25/2013	20
06/21/2013	50
01/21/2014	55
08/15/2014	12
10/29/2013	115
08/16/2013	40
08/23/2013	43
08/18/2014	26
11/27/2013	55
04/16/2014	67
11/09/2014	78
06/30/2014	40
03/14/2014	95
10/23/2014	75
10/16/2013	68
08/31/2014	38
07/14/2013	36
01/20/2014	55
02/07/2014	87
06/15/2014	33
03/23/2014	97
11/14/2013	115
09/02/2014	43
08/21/2014	29
12/08/2013	98
07/29/2013	22
09/27/2013	38
08/19/2014	26
05/06/2014	28
07/04/2014	42
08/20/2014	28
11/28/2013	55
11/02/2014	85
05/08/2014	57
06/16/2014	35
08/11/2014	12
07/27/2014	24
03/03/2014	123
07/05/2014	43
04/11/2014	65
09/22/2013	33
07/07/2014	40
07/25/2014	26
08/02/2014	24
09/23/2014	67
12/27/2013	115
08/05/2014	16
09/05/2014	48
10/14/2013	53
01/17/2014	57
12/16/2013	77
03/05/2014	115
02/16/2014	97
07/02/2013	40
01/12/2014	65
07/16/2014	32
04/13/2014	58
04/03/2014	72
06/06/2014	27
08/26/2014	38
07/01/2013	43
09/01/2013	48
01/10/2014	85
08/29/2014	38
12/22/2013	155
11/04/2014	68
12/15/2013	75
09/29/2014	39
10/22/2013	53
09/11/2014	48
03/10/2014	117
05/28/2014	28
09/19/2013	53
10/17/2013	55
11/05/2014	68
10/31/2013	115
05/22/2014	18
08/10/2014	13
09/26/2013	38
08/14/2014	12
10/21/2013	53
05/13/2014	45
09/12/2014	52
09/06/2014	54
05/16/2014	47
07/19/2014	27
07/20/2014	26
06/29/2014	38
12/02/2013	95
07/17/2014	27
02/05/2014	77
01/16/2014	55
08/12/2013	28
07/09/2014	40
08/22/2014	33
04/01/2014	63
04/18/2014	58
06/19/2014	40
09/17/2013	53
09/02/2013	43
08/24/2014	38
12/18/2013	77
04/25/2014	57
10/21/2014	75
01/19/2014	65
04/22/2014	60
09/25/2013	33
08/27/2014	42
07/03/2014	37
09/03/2014	41
03/12/2014	105
08/14/2013	42
09/13/2013	43
02/12/2014	125
10/04/2013	55
08/05/2013	33
02/26/2014	115
03/18/2014	83
06/24/2014	42
10/03/2013	53
09/04/2014	43
07/03/2013	43
09/20/2014	39
06/13/2014	32
02/11/2014	135
08/16/2014	12
01/23/2014	55
07/26/2013	22
09/29/2013	43
10/10/2014	53
06/30/2013	43
07/30/2013	22
04/02/2014	73
10/28/2013	105
09/26/2014	39
07/17/2013	33
07/12/2014	39
04/09/2014	67
12/05/2013	95
06/05/2014	28
10/06/2013	58
07/26/2014	24
05/09/2014	58
08/08/2013	48
02/28/2014	130
06/02/2014	33
09/10/2014	45
06/26/2013	38
10/09/2013	43
