Date	Average
09/08/2014	40
03/19/2014	29
11/18/2013	103
08/18/2013	83
09/20/2013	103
10/30/2014	45
07/21/2014	46
01/07/2014	34
11/01/2013	103
06/18/2014	34
07/29/2014	45
09/06/2013	83
10/25/2014	39
02/21/2014	26
12/31/2013	34
07/08/2014	47
08/29/2013	81
04/06/2014	29
03/17/2014	30
06/23/2014	38
02/09/2014	27
09/01/2014	40
09/17/2014	39
05/21/2014	29
07/15/2013	45
09/05/2013	83
02/04/2014	28
11/04/2013	95
10/22/2014	43
02/02/2014	28
12/24/2013	35
07/01/2014	45
11/24/2013	68
06/01/2014	30
06/09/2014	31
03/20/2014	29
01/26/2014	30
01/24/2014	30
07/06/2014	48
10/13/2013	93
09/09/2013	81
10/19/2014	39
09/16/2014	39
06/12/2014	31
12/29/2013	32
08/30/2013	78
03/13/2014	30
10/27/2013	115
07/10/2014	47
03/25/2014	28
08/07/2014	43
12/09/2013	48
07/11/2013	45
08/07/2013	61
08/04/2014	45
11/06/2014	43
09/30/2014	38
04/21/2014	28
12/03/2013	48
02/06/2014	28
10/08/2013	88
07/22/2013	51
01/29/2014	30
02/03/2014	28
06/19/2013	35
09/10/2013	81
05/20/2014	28
12/06/2013	47
05/05/2014	29
09/23/2013	103
09/08/2013	79
12/20/2013	38
08/13/2013	89
12/10/2013	49
08/01/2014	45
08/06/2013	61
11/21/2013	83
11/07/2014	42
06/16/2013	29
06/20/2013	36
04/10/2014	29
05/26/2014	30
07/09/2013	45
10/14/2014	41
03/06/2014	29
04/28/2014	31
11/20/2013	85
11/26/2013	64
10/08/2014	36
05/04/2014	28
05/02/2014	29
07/24/2014	45
07/11/2014	46
07/22/2014	46
09/24/2014	38
12/11/2013	49
10/26/2014	38
12/12/2013	49
09/11/2013	83
02/20/2014	25
08/27/2013	78
02/14/2014	25
02/17/2014	23
10/02/2013	93
01/13/2014	33
04/29/2014	31
01/06/2014	35
07/28/2013	51
09/22/2014	39
11/13/2013	105
11/01/2014	45
03/28/2014	26
02/13/2014	26
08/03/2014	45
08/02/2013	52
03/31/2014	27
11/29/2013	59
11/08/2014	43
05/23/2014	29
