Date	Average
03/19/2014	78
11/18/2013	65
10/30/2014	51
01/07/2014	67
11/01/2013	75
10/25/2014	58
02/21/2014	57
12/31/2013	48
04/06/2014	98
03/17/2014	65
02/09/2014	55
02/04/2014	65
11/04/2013	77
10/22/2014	68
02/02/2014	65
12/24/2013	48
11/24/2013	65
03/20/2014	78
01/26/2014	85
01/24/2014	75
10/13/2013	85
10/19/2014	68
12/29/2013	48
03/13/2014	65
10/27/2013	75
03/25/2014	93
12/09/2013	55
11/06/2014	55
09/30/2014	75
04/21/2014	125
12/03/2013	55
02/06/2014	65
10/08/2013	75
01/29/2014	57
02/03/2014	67
12/06/2013	57
12/20/2013	48
12/10/2013	53
11/21/2013	65
11/07/2014	57
04/10/2014	105
10/14/2014	68
03/06/2014	65
04/28/2014	205
11/20/2013	65
11/26/2013	75
10/08/2014	70
05/02/2014	195
12/11/2013	55
10/26/2014	48
12/12/2013	55
02/20/2014	65
02/14/2014	57
02/17/2014	65
10/02/2013	75
01/13/2014	58
04/29/2014	195
01/06/2014	57
11/13/2013	75
11/01/2014	53
03/28/2014	93
02/13/2014	55
03/31/2014	95
11/29/2013	60
11/08/2014	42
10/28/2014	58
03/24/2014	90
04/30/2014	195
10/31/2014	49
11/05/2013	75
01/27/2014	82
10/24/2014	55
10/12/2013	87
04/07/2014	98
01/14/2014	58
10/25/2013	75
12/13/2013	53
10/20/2013	95
11/07/2013	75
09/24/2013	78
10/15/2013	95
03/11/2014	75
01/28/2014	85
03/26/2014	93
12/04/2013	57
10/10/2013	85
01/09/2014	58
02/08/2014	85
03/07/2014	65
04/15/2014	105
10/30/2013	75
01/02/2014	48
03/27/2014	95
01/22/2014	85
10/23/2013	75
03/21/2014	70
04/23/2014	145
04/27/2014	135
01/03/2014	48
01/05/2014	55
11/03/2013	73
11/15/2013	75
01/08/2014	58
04/17/2014	125
11/17/2013	65
12/01/2013	65
10/13/2014	68
02/24/2014	67
12/19/2013	48
02/18/2014	75
11/25/2013	65
10/11/2013	85
10/12/2014	65
04/20/2014	125
02/23/2014	65
10/07/2013	75
01/01/2014	48
02/25/2014	65
11/22/2013	65
09/07/2014	63
10/09/2014	63
10/16/2014	68
10/20/2014	68
11/06/2013	75
11/03/2014	53
02/10/2014	66
11/10/2014	53
10/17/2014	68
12/23/2013	48
03/09/2014	65
04/04/2014	105
01/21/2014	83
10/29/2013	75
11/27/2013	75
04/16/2014	123
11/09/2014	42
03/14/2014	65
10/23/2014	70
10/16/2013	95
01/20/2014	75
02/07/2014	65
03/23/2014	65
11/14/2013	85
12/08/2013	57
09/27/2013	85
11/28/2013	75
11/02/2014	53
03/03/2014	68
04/11/2014	105
12/27/2013	48
10/24/2013	85
10/14/2013	85
01/17/2014	68
12/16/2013	53
03/05/2014	72
12/26/2013	48
02/16/2014	65
01/12/2014	58
04/13/2014	105
04/03/2014	95
01/10/2014	65
12/22/2013	48
11/04/2014	50
12/15/2013	48
11/16/2013	75
09/29/2014	68
10/22/2013	95
11/10/2013	75
03/10/2014	75
10/17/2013	95
11/05/2014	48
10/31/2013	75
09/26/2013	75
10/21/2013	95
12/02/2013	58
02/05/2014	65
01/16/2014	68
04/01/2014	95
10/29/2014	55
04/18/2014	125
12/18/2013	48
04/25/2014	145
10/21/2014	68
01/19/2014	72
03/12/2014	75
02/12/2014	55
10/04/2013	65
02/26/2014	65
03/18/2014	75
10/03/2013	75
02/11/2014	55
01/23/2014	75
09/29/2013	85
10/10/2014	68
04/02/2014	100
11/11/2013	75
10/28/2013	75
04/09/2014	105
12/05/2013	65
10/06/2013	75
02/28/2014	75
11/12/2013	75
10/09/2013	75
