Date	Average
09/08/2014	58
03/19/2014	58
11/18/2013	85
08/18/2013	58
09/20/2013	58
10/30/2014	78
07/21/2014	72
01/07/2014	55
11/01/2013	65
06/18/2014	67
07/29/2014	73
09/06/2013	95
10/25/2014	58
02/21/2014	58
12/31/2013	55
07/08/2014	73
08/29/2013	58
04/06/2014	63
03/17/2014	58
06/23/2014	60
02/09/2014	55
09/01/2014	63
09/17/2014	58
05/21/2014	53
07/15/2013	53
09/05/2013	95
02/04/2014	55
11/04/2013	67
10/22/2014	58
02/02/2014	55
12/24/2013	55
07/01/2014	73
11/24/2013	65
06/01/2014	58
06/09/2014	53
03/20/2014	58
01/26/2014	58
01/24/2014	55
07/06/2014	73
09/09/2013	65
10/19/2014	58
09/16/2014	58
06/12/2014	63
12/29/2013	53
08/30/2013	53
03/13/2014	58
10/27/2013	55
07/10/2014	67
03/25/2014	58
08/07/2014	56
12/09/2013	55
07/11/2013	55
08/07/2013	58
08/04/2014	58
11/06/2014	78
09/30/2014	68
04/21/2014	58
12/03/2013	65
02/06/2014	55
10/08/2013	53
07/22/2013	63
01/29/2014	55
02/03/2014	55
06/19/2013	63
09/10/2013	58
05/20/2014	53
12/06/2013	65
05/05/2014	57
09/23/2013	77
09/08/2013	65
12/20/2013	53
08/13/2013	58
12/10/2013	55
08/01/2014	60
08/06/2013	63
11/21/2013	85
11/07/2014	78
06/16/2013	65
06/20/2013	55
04/10/2014	57
05/26/2014	53
07/09/2013	55
10/14/2014	68
03/06/2014	58
04/28/2014	53
11/20/2013	83
11/26/2013	67
10/08/2014	53
05/04/2014	48
05/02/2014	48
07/24/2014	77
07/11/2014	73
07/22/2014	77
09/24/2014	58
12/11/2013	53
10/26/2014	58
12/12/2013	53
09/11/2013	58
02/20/2014	58
08/27/2013	55
02/14/2014	55
02/17/2014	55
10/02/2013	63
01/13/2014	55
04/29/2014	53
01/06/2014	55
07/28/2013	63
09/22/2014	53
11/13/2013	58
11/01/2014	58
03/28/2014	58
02/13/2014	55
08/03/2014	57
08/02/2013	63
03/31/2014	58
11/29/2013	65
11/08/2014	78
05/23/2014	53
03/24/2014	63
08/23/2014	58
09/13/2014	58
04/30/2014	53
10/31/2014	58
06/27/2014	53
06/25/2014	53
08/19/2013	58
06/03/2014	55
11/05/2013	65
08/01/2013	63
09/28/2014	63
08/17/2014	58
01/27/2014	58
10/24/2014	55
09/15/2014	58
10/12/2013	58
08/15/2013	58
04/07/2014	63
01/14/2014	55
06/08/2014	63
08/25/2014	58
10/25/2013	58
12/13/2013	55
06/04/2014	55
10/20/2013	55
06/25/2013	58
11/07/2013	65
05/18/2014	53
09/24/2013	62
03/11/2014	58
08/04/2013	63
01/28/2014	55
08/26/2013	55
03/26/2014	55
12/04/2013	55
10/10/2013	58
01/09/2014	55
07/16/2013	53
09/09/2014	63
03/07/2014	58
10/30/2013	65
07/15/2014	75
06/26/2014	53
01/02/2014	55
06/28/2013	55
03/27/2014	57
07/21/2013	68
01/22/2014	55
10/23/2013	55
07/23/2014	73
09/21/2014	53
09/04/2013	80
03/21/2014	58
04/23/2014	53
04/27/2014	53
09/16/2013	58
01/03/2014	55
01/05/2014	53
11/03/2013	65
06/17/2014	65
08/06/2014	58
11/15/2013	65
01/08/2014	55
04/17/2014	57
07/31/2014	67
09/15/2013	58
09/19/2014	58
06/11/2014	53
06/10/2014	53
11/17/2013	75
12/01/2013	55
08/25/2013	58
10/13/2014	68
02/24/2014	55
07/14/2014	70
12/19/2013	55
06/20/2014	63
02/18/2014	48
11/25/2013	65
07/19/2013	75
10/11/2013	58
07/30/2014	73
07/18/2014	68
05/25/2014	53
10/12/2014	68
07/12/2013	48
04/20/2014	55
02/23/2014	55
05/15/2014	53
08/08/2014	58
08/28/2014	65
08/12/2014	68
06/18/2013	58
05/27/2014	53
10/07/2013	53
07/02/2014	73
07/23/2013	63
01/01/2014	55
02/25/2014	55
11/22/2013	75
05/19/2014	53
10/09/2014	58
09/30/2013	63
06/17/2013	65
10/16/2014	68
07/24/2013	63
07/10/2013	55
10/20/2014	58
05/30/2014	53
07/31/2013	63
11/06/2013	65
09/12/2013	58
07/28/2014	67
06/27/2013	58
05/07/2014	50
07/18/2013	75
11/03/2014	58
02/10/2014	55
09/14/2014	58
07/13/2014	75
07/05/2013	55
11/10/2014	75
05/12/2014	53
10/17/2014	58
12/23/2013	53
09/18/2014	58
03/09/2014	58
09/03/2013	55
10/01/2013	58
08/13/2014	63
05/11/2014	53
07/04/2013	55
04/04/2014	65
08/09/2014	58
06/21/2013	58
01/21/2014	55
08/15/2014	55
10/29/2013	55
08/16/2013	58
08/23/2013	58
08/18/2014	58
11/27/2013	65
04/16/2014	58
11/09/2014	78
06/30/2014	65
03/14/2014	58
10/23/2014	55
10/16/2013	55
08/31/2014	63
07/14/2013	48
01/20/2014	55
02/07/2014	55
06/15/2014	60
03/23/2014	58
11/14/2013	58
09/02/2014	60
08/21/2014	58
12/08/2013	65
07/29/2013	63
09/27/2013	58
08/19/2014	58
05/06/2014	53
07/04/2014	70
08/20/2014	58
11/28/2013	65
11/02/2014	58
05/08/2014	47
06/16/2014	63
08/11/2014	55
07/27/2014	63
03/03/2014	58
07/05/2014	73
04/11/2014	58
09/22/2013	58
07/07/2014	73
07/25/2014	73
08/02/2014	58
09/23/2014	58
12/27/2013	53
08/05/2014	58
09/05/2014	63
10/24/2013	55
10/14/2013	57
01/17/2014	55
12/16/2013	55
03/05/2014	55
12/26/2013	55
02/16/2014	55
07/02/2013	58
01/12/2014	55
07/16/2014	75
04/13/2014	58
04/03/2014	58
06/06/2014	62
08/26/2014	58
07/01/2013	58
09/01/2013	55
10/15/2014	68
01/10/2014	55
08/29/2014	63
12/22/2013	53
11/04/2014	58
12/15/2013	53
11/16/2013	55
09/29/2014	68
10/22/2013	53
09/11/2014	63
11/10/2013	58
03/10/2014	58
05/28/2014	55
09/19/2013	58
10/17/2013	75
11/05/2014	73
10/31/2013	65
05/22/2014	52
08/10/2014	55
09/26/2013	63
08/14/2014	67
10/21/2013	55
05/13/2014	53
09/12/2014	58
09/06/2014	63
05/16/2014	53
07/19/2014	67
07/20/2014	67
06/29/2014	53
12/02/2013	55
07/17/2014	75
02/05/2014	55
01/16/2014	55
07/09/2014	75
08/22/2014	58
04/01/2014	58
04/18/2014	58
06/19/2014	63
09/17/2013	58
09/02/2013	55
08/24/2014	58
12/18/2013	55
04/25/2014	48
10/21/2014	58
01/19/2014	55
04/22/2014	55
09/25/2013	63
08/27/2014	58
07/03/2014	70
09/03/2014	63
03/12/2014	58
08/14/2013	58
09/13/2013	58
02/12/2014	55
10/04/2013	55
08/05/2013	63
02/26/2014	55
03/18/2014	58
06/24/2014	58
10/03/2013	48
09/04/2014	63
07/03/2013	58
09/20/2014	53
06/13/2014	58
02/11/2014	55
08/16/2014	58
01/23/2014	55
07/26/2013	65
09/29/2013	58
10/10/2014	58
07/30/2013	63
04/02/2014	58
11/11/2013	58
10/28/2013	55
09/26/2014	63
07/17/2013	65
07/12/2014	75
04/09/2014	58
12/05/2013	55
06/05/2014	55
10/06/2013	58
07/26/2014	66
05/09/2014	53
08/08/2013	58
02/28/2014	58
06/02/2014	58
09/10/2014	68
06/26/2013	55
11/12/2013	63
10/09/2013	58
