Date	Average
03/19/2014	95
11/18/2013	188
08/18/2013	155
09/20/2013	155
07/21/2014	95
01/07/2014	175
11/01/2013	145
06/18/2014	115
07/29/2014	115
09/06/2013	155
02/21/2014	175
12/31/2013	175
07/08/2014	145
08/29/2013	175
04/06/2014	155
03/17/2014	75
06/23/2014	105
02/09/2014	175
05/21/2014	145
07/15/2013	165
09/05/2013	155
02/04/2014	175
11/04/2013	145
02/02/2014	175
12/24/2013	155
07/01/2014	105
11/24/2013	145
06/01/2014	123
06/09/2014	125
03/20/2014	75
01/26/2014	195
01/24/2014	175
07/06/2014	105
09/09/2013	155
06/12/2014	125
12/29/2013	175
08/30/2013	165
03/13/2014	125
10/27/2013	145
07/10/2014	145
03/25/2014	78
08/07/2014	105
12/09/2013	145
07/11/2013	175
08/07/2013	165
08/04/2014	115
04/21/2014	145
12/03/2013	145
02/06/2014	175
10/08/2013	145
07/22/2013	175
01/29/2014	175
02/03/2014	175
06/19/2013	185
09/10/2013	145
05/20/2014	147
12/06/2013	145
05/05/2014	133
09/23/2013	155
09/08/2013	155
12/20/2013	145
08/13/2013	175
12/10/2013	145
08/01/2014	105
08/06/2013	175
11/21/2013	145
06/16/2013	185
06/20/2013	175
04/10/2014	125
05/26/2014	133
07/09/2013	175
03/06/2014	145
04/28/2014	155
11/20/2013	235
11/26/2013	145
05/04/2014	135
05/02/2014	135
07/24/2014	95
07/11/2014	95
07/22/2014	95
12/11/2013	145
12/12/2013	145
09/11/2013	155
02/20/2014	175
08/27/2013	155
02/14/2014	175
02/17/2014	175
10/02/2013	145
01/13/2014	175
04/29/2014	145
01/06/2014	175
07/28/2013	165
11/13/2013	175
03/28/2014	95
02/13/2014	175
08/03/2014	115
08/02/2013	175
03/31/2014	135
11/29/2013	145
05/23/2014	115
03/24/2014	85
04/30/2014	145
06/27/2014	107
06/25/2014	105
08/19/2013	165
06/03/2014	143
08/01/2013	175
01/27/2014	183
10/12/2013	48
08/15/2013	155
04/07/2014	135
01/14/2014	175
06/08/2014	125
10/25/2013	145
12/13/2013	145
06/04/2014	135
10/20/2013	145
06/25/2013	187
11/07/2013	145
05/18/2014	135
09/24/2013	155
03/11/2014	125
08/04/2013	175
01/28/2014	175
08/26/2013	155
03/26/2014	95
12/04/2013	145
10/10/2013	145
01/09/2014	175
07/16/2013	175
03/07/2014	145
04/15/2014	155
10/30/2013	145
07/15/2014	85
06/26/2014	105
01/02/2014	175
06/28/2013	175
03/27/2014	95
07/21/2013	175
01/22/2014	175
10/23/2013	145
07/23/2014	95
09/04/2013	155
03/21/2014	85
04/23/2014	155
04/27/2014	145
09/16/2013	155
01/03/2014	175
01/05/2014	175
11/03/2013	145
06/17/2014	105
08/06/2014	115
11/15/2013	163
01/08/2014	175
04/17/2014	155
07/31/2014	105
09/15/2013	155
06/11/2014	125
06/10/2014	135
11/17/2013	163
12/01/2013	145
08/25/2013	155
02/24/2014	175
07/14/2014	105
12/19/2013	145
06/20/2014	105
02/18/2014	175
11/25/2013	145
07/19/2013	175
10/11/2013	145
07/30/2014	115
07/18/2014	95
05/25/2014	125
07/12/2013	175
04/20/2014	145
02/23/2014	175
05/15/2014	135
08/08/2014	105
08/12/2014	115
06/18/2013	190
05/27/2014	127
10/07/2013	145
07/02/2014	125
07/23/2013	175
01/01/2014	175
02/25/2014	175
11/22/2013	145
05/19/2014	145
09/30/2013	145
06/17/2013	185
07/24/2013	175
07/10/2013	175
05/30/2014	145
07/31/2013	175
09/12/2013	155
07/28/2014	115
06/27/2013	175
05/07/2014	123
07/18/2013	175
02/10/2014	175
07/13/2014	140
07/05/2013	175
05/12/2014	125
12/23/2013	160
03/09/2014	145
09/03/2013	155
10/01/2013	145
08/13/2014	105
05/11/2014	133
07/04/2013	175
04/04/2014	155
08/09/2014	115
07/25/2013	175
06/21/2013	185
01/21/2014	175
10/29/2013	145
08/16/2013	155
08/23/2013	175
11/27/2013	145
04/16/2014	175
06/30/2014	105
03/14/2014	125
10/16/2013	145
07/14/2013	175
01/20/2014	175
02/07/2014	175
06/15/2014	117
03/23/2014	87
11/14/2013	188
12/08/2013	145
07/29/2013	175
09/27/2013	155
05/06/2014	145
07/04/2014	105
11/28/2013	145
05/08/2014	123
06/16/2014	115
08/11/2014	115
07/27/2014	95
03/03/2014	145
07/05/2014	105
04/11/2014	145
09/22/2013	155
07/07/2014	105
07/25/2014	95
08/02/2014	115
12/27/2013	155
08/05/2014	115
10/24/2013	145
01/17/2014	175
12/16/2013	145
03/05/2014	145
12/26/2013	170
02/16/2014	175
07/02/2013	175
