Date	Average
09/08/2014	37
10/30/2014	185
07/29/2014	28
10/25/2014	53
04/06/2014	145
09/01/2014	28
09/17/2014	37
10/22/2014	53
09/16/2014	37
08/07/2014	37
08/04/2014	33
11/06/2014	185
09/30/2014	35
08/01/2014	28
11/07/2014	185
10/14/2014	145
07/24/2014	28
07/22/2014	28
09/24/2014	45
10/26/2014	55
09/22/2014	45
11/01/2014	185
08/03/2014	35
03/31/2014	145
11/08/2014	185
08/23/2014	45
09/13/2014	35
10/31/2014	185
09/28/2014	37
08/17/2014	35
10/24/2014	50
09/15/2014	37
10/27/2014	190
08/25/2014	47
09/09/2014	45
04/15/2014	58
07/15/2014	29
07/23/2014	28
09/21/2014	43
08/06/2014	35
07/31/2014	28
09/19/2014	35
10/13/2014	145
07/30/2014	28
07/18/2014	29
10/12/2014	115
08/08/2014	37
08/28/2014	28
08/12/2014	35
09/07/2014	37
10/09/2014	125
10/16/2014	160
07/28/2014	28
11/03/2014	185
09/14/2014	35
11/10/2014	185
09/18/2014	35
08/13/2014	33
08/09/2014	35
08/15/2014	35
08/18/2014	37
11/09/2014	185
10/23/2014	53
08/31/2014	28
09/02/2014	35
08/21/2014	47
08/19/2014	37
08/20/2014	37
11/02/2014	185
08/11/2014	35
07/27/2014	27
07/25/2014	28
08/02/2014	34
09/23/2014	37
08/05/2014	32
09/05/2014	37
04/03/2014	145
08/26/2014	28
08/29/2014	37
11/04/2014	185
09/29/2014	35
09/11/2014	45
11/05/2014	185
08/10/2014	36
08/14/2014	33
09/12/2014	35
09/06/2014	37
07/19/2014	29
07/20/2014	29
07/17/2014	29
08/22/2014	45
04/01/2014	145
10/29/2014	185
08/24/2014	45
10/21/2014	55
08/27/2014	28
09/03/2014	37
09/04/2014	45
09/20/2014	43
08/16/2014	35
10/10/2014	125
09/26/2014	38
07/26/2014	28
09/10/2014	45
