Date	Average
09/08/2014	48
03/19/2014	63
11/18/2013	58
08/18/2013	42
09/20/2013	48
10/30/2014	42
07/21/2014	38
11/01/2013	65
06/18/2014	36
07/29/2014	33
09/06/2013	43
10/25/2014	48
12/31/2013	125
07/08/2014	40
08/29/2013	39
04/06/2014	68
03/17/2014	97
06/23/2014	38
09/01/2014	53
09/17/2014	53
05/21/2014	39
07/15/2013	43
09/05/2013	38
11/04/2013	65
10/22/2014	48
12/24/2013	145
07/01/2014	34
11/24/2013	75
06/01/2014	39
06/09/2014	39
03/20/2014	67
01/24/2014	290
07/06/2014	39
10/13/2013	43
09/09/2013	47
10/19/2014	38
09/16/2014	48
06/12/2014	39
08/30/2013	38
03/13/2014	117
10/27/2013	63
07/10/2014	42
03/25/2014	77
08/07/2014	32
07/11/2013	58
08/07/2013	43
08/04/2014	33
11/06/2014	43
09/30/2014	58
04/21/2014	57
12/03/2013	65
10/08/2013	43
07/22/2013	38
06/19/2013	33
09/10/2013	53
05/20/2014	38
12/06/2013	77
05/05/2014	35
09/23/2013	43
09/08/2013	47
12/20/2013	105
08/13/2013	43
08/01/2014	33
08/06/2013	41
11/21/2013	78
11/07/2014	42
06/16/2013	33
06/20/2013	33
04/10/2014	73
05/26/2014	37
07/09/2013	43
10/14/2014	36
03/06/2014	155
04/28/2014	58
11/20/2013	63
11/26/2013	58
10/08/2014	40
05/04/2014	48
05/02/2014	58
07/24/2014	35
07/11/2014	41
07/22/2014	35
09/24/2014	48
10/26/2014	55
09/11/2013	53
08/27/2013	39
02/14/2014	290
10/02/2013	33
04/29/2014	53
07/28/2013	33
09/22/2014	48
11/13/2013	65
11/01/2014	48
03/28/2014	77
02/13/2014	290
08/03/2014	31
08/02/2013	33
03/31/2014	62
11/29/2013	75
11/08/2014	53
05/23/2014	36
10/28/2014	58
03/24/2014	76
08/23/2014	59
09/13/2014	42
04/30/2014	48
10/31/2014	48
06/27/2014	26
06/25/2014	29
08/19/2013	43
06/03/2014	47
11/05/2013	65
08/01/2013	30
09/28/2014	48
