Date	Average
09/08/2014	165
03/19/2014	255
11/18/2013	238
08/18/2013	225
09/20/2013	210
10/30/2014	225
07/21/2014	255
01/07/2014	255
11/01/2013	295
06/18/2014	265
07/29/2014	255
09/06/2013	205
10/25/2014	235
02/21/2014	255
12/31/2013	210
07/08/2014	255
08/29/2013	205
04/06/2014	280
03/17/2014	290
06/23/2014	255
02/09/2014	255
09/01/2014	175
09/17/2014	195
05/21/2014	255
07/15/2013	205
09/05/2013	205
02/04/2014	275
11/04/2013	290
10/22/2014	233
02/02/2014	255
12/24/2013	210
07/01/2014	255
11/24/2013	225
06/01/2014	263
06/09/2014	253
03/20/2014	265
01/26/2014	288
01/24/2014	245
07/06/2014	270
10/13/2013	230
09/09/2013	195
10/19/2014	225
09/16/2014	195
06/12/2014	255
12/29/2013	215
08/30/2013	205
03/13/2014	290
10/27/2013	255
07/10/2014	265
03/25/2014	255
08/07/2014	195
12/09/2013	210
07/11/2013	197
08/07/2013	205
08/04/2014	210
11/06/2014	275
09/30/2014	225
04/21/2014	255
12/03/2013	205
02/06/2014	255
07/22/2013	205
01/29/2014	255
02/03/2014	255
06/19/2013	210
09/10/2013	190
05/20/2014	265
12/06/2013	230
05/05/2014	263
09/23/2013	195
09/08/2013	205
12/20/2013	210
08/13/2013	205
12/10/2013	210
08/01/2014	210
08/06/2013	205
11/21/2013	230
11/07/2014	255
06/16/2013	210
06/20/2013	197
04/10/2014	255
05/26/2014	253
07/09/2013	210
10/14/2014	225
03/06/2014	290
04/28/2014	255
11/26/2013	230
10/08/2014	225
05/04/2014	253
05/02/2014	265
07/24/2014	270
07/11/2014	265
07/22/2014	255
09/24/2014	190
12/11/2013	210
10/26/2014	235
12/12/2013	210
09/11/2013	210
02/20/2014	255
08/27/2013	205
02/14/2014	245
02/17/2014	245
10/02/2013	210
01/13/2014	245
04/29/2014	275
01/06/2014	255
07/28/2013	205
09/22/2014	195
11/13/2013	265
11/01/2014	235
03/28/2014	265
02/13/2014	245
08/03/2014	210
08/02/2013	195
03/31/2014	280
11/29/2013	230
11/08/2014	255
05/23/2014	265
10/28/2014	225
03/24/2014	255
08/23/2014	175
09/13/2014	170
04/30/2014	265
10/31/2014	225
06/27/2014	255
06/25/2014	255
08/19/2013	145
06/03/2014	255
11/05/2013	290
08/01/2013	205
09/28/2014	215
08/17/2014	185
01/27/2014	295
10/24/2014	235
09/15/2014	195
10/12/2013	233
10/27/2014	235
08/15/2013	225
04/07/2014	288
01/14/2014	245
06/08/2014	255
08/25/2014	170
10/25/2013	275
12/13/2013	215
06/04/2014	255
10/20/2013	255
06/25/2013	240
11/07/2013	290
05/18/2014	255
09/24/2013	190
10/15/2013	230
03/11/2014	290
08/04/2013	205
01/28/2014	245
08/26/2013	205
03/26/2014	255
12/04/2013	205
10/10/2013	230
01/09/2014	255
07/16/2013	205
09/09/2014	165
03/07/2014	290
04/15/2014	263
10/30/2013	285
07/15/2014	270
06/26/2014	255
01/02/2014	205
06/28/2013	230
03/27/2014	255
07/21/2013	210
01/22/2014	275
10/23/2013	255
07/23/2014	255
09/21/2014	185
09/04/2013	210
03/21/2014	265
04/23/2014	245
04/27/2014	245
09/16/2013	210
01/03/2014	210
01/05/2014	255
11/03/2013	290
06/17/2014	255
08/06/2014	195
11/15/2013	250
01/08/2014	255
04/17/2014	257
07/31/2014	240
09/15/2013	210
09/19/2014	195
06/11/2014	255
06/10/2014	255
11/17/2013	225
12/01/2013	205
08/25/2013	197
10/13/2014	225
02/24/2014	255
07/14/2014	255
12/19/2013	210
06/20/2014	255
02/18/2014	255
11/25/2013	230
07/19/2013	195
10/11/2013	230
07/30/2014	255
07/18/2014	255
05/25/2014	255
10/12/2014	225
07/12/2013	205
04/20/2014	255
02/23/2014	255
05/15/2014	247
08/08/2014	195
08/28/2014	195
08/12/2014	175
06/18/2013	210
05/27/2014	263
10/07/2013	210
07/02/2014	255
07/23/2013	205
01/01/2014	205
02/25/2014	255
11/22/2013	233
09/07/2014	175
05/19/2014	265
10/09/2014	215
09/30/2013	195
06/17/2013	210
10/16/2014	225
