Date	Average
09/08/2014	46
03/19/2014	23
11/18/2013	42
08/18/2013	30
09/20/2013	31
10/30/2014	40
07/21/2014	41
01/07/2014	25
11/01/2013	37
06/18/2014	37
07/29/2014	41
09/06/2013	33
10/25/2014	44
02/21/2014	20
12/31/2013	31
07/08/2014	36
08/29/2013	31
04/06/2014	25
03/17/2014	23
06/23/2014	40
02/09/2014	17
09/01/2014	46
09/17/2014	46
05/21/2014	27
07/15/2013	24
09/05/2013	32
02/04/2014	20
11/04/2013	43
10/22/2014	53
02/02/2014	21
12/24/2013	31
07/01/2014	41
11/24/2013	38
06/01/2014	31
06/09/2014	34
03/20/2014	24
01/26/2014	22
01/24/2014	23
07/06/2014	46
10/13/2013	31
09/09/2013	32
10/19/2014	59
09/16/2014	45
06/12/2014	35
12/29/2013	32
08/30/2013	31
03/13/2014	22
10/27/2013	54
07/10/2014	36
03/25/2014	24
08/07/2014	45
12/09/2013	31
07/11/2013	24
08/07/2013	27
08/04/2014	43
11/06/2014	47
09/30/2014	48
04/21/2014	28
12/03/2013	31
02/06/2014	17
10/08/2013	29
07/22/2013	24
01/29/2014	22
02/03/2014	19
06/19/2013	21
09/10/2013	32
05/20/2014	28
12/06/2013	31
05/05/2014	29
09/23/2013	32
09/08/2013	32
12/20/2013	29
08/13/2013	28
12/10/2013	31
08/01/2014	41
08/06/2013	27
11/21/2013	41
11/07/2014	47
06/16/2013	21
06/20/2013	21
04/10/2014	28
05/26/2014	29
07/09/2013	24
10/14/2014	53
03/06/2014	23
04/28/2014	25
11/20/2013	40
11/26/2013	37
10/08/2014	49
05/04/2014	28
05/02/2014	28
07/24/2014	41
07/11/2014	36
07/22/2014	41
09/24/2014	46
12/11/2013	32
10/26/2014	51
12/12/2013	31
09/11/2013	32
02/20/2014	20
08/27/2013	31
02/14/2014	20
02/17/2014	20
10/02/2013	26
01/13/2014	24
04/29/2014	25
01/06/2014	26
07/28/2013	24
09/22/2014	45
11/13/2013	37
11/01/2014	52
03/28/2014	24
02/13/2014	19
08/03/2014	43
08/02/2013	24
03/31/2014	24
11/29/2013	33
11/08/2014	49
05/23/2014	28
10/28/2014	41
03/24/2014	23
08/23/2014	46
09/13/2014	46
04/30/2014	25
10/31/2014	55
06/27/2014	41
06/25/2014	41
08/19/2013	30
06/03/2014	33
11/05/2013	43
08/01/2013	24
09/28/2014	48
08/17/2014	49
01/27/2014	22
10/24/2014	47
09/15/2014	46
10/12/2013	31
10/27/2014	47
08/15/2013	28
04/07/2014	25
01/14/2014	24
06/08/2014	34
08/25/2014	46
10/25/2013	54
12/13/2013	31
06/04/2014	33
10/20/2013	46
06/25/2013	24
11/07/2013	43
05/18/2014	28
09/24/2013	31
10/15/2013	31
03/11/2014	22
08/04/2013	28
01/28/2014	23
08/26/2013	31
03/26/2014	24
12/04/2013	31
10/10/2013	31
01/09/2014	23
07/16/2013	24
02/08/2014	23
09/09/2014	46
03/07/2014	23
04/15/2014	28
10/30/2013	43
07/15/2014	37
06/26/2014	39
01/02/2014	26
06/28/2013	24
03/27/2014	23
07/21/2013	25
01/22/2014	23
10/23/2013	49
07/23/2014	41
09/21/2014	45
09/04/2013	32
03/21/2014	24
04/23/2014	26
04/27/2014	26
09/16/2013	32
01/03/2014	26
01/05/2014	26
11/03/2013	41
06/17/2014	37
08/06/2014	45
11/15/2013	42
01/08/2014	25
04/17/2014	28
07/31/2014	42
09/15/2013	32
09/19/2014	45
06/11/2014	34
06/10/2014	35
11/17/2013	42
12/01/2013	31
08/25/2013	31
10/13/2014	53
02/24/2014	20
07/14/2014	37
12/19/2013	29
06/20/2014	38
02/18/2014	20
11/25/2013	37
07/19/2013	24
10/11/2013	31
07/30/2014	41
07/18/2014	37
05/25/2014	28
10/12/2014	54
07/12/2013	24
04/20/2014	29
02/23/2014	20
05/15/2014	28
08/08/2014	45
08/28/2014	46
08/12/2014	46
06/18/2013	20
05/27/2014	29
10/07/2013	27
07/02/2014	41
07/23/2013	24
01/01/2014	26
02/25/2014	20
11/22/2013	41
09/07/2014	53
05/19/2014	28
10/09/2014	49
09/30/2013	25
06/17/2013	21
10/16/2014	53
07/24/2013	24
07/10/2013	24
10/20/2014	64
05/30/2014	31
07/31/2013	24
11/06/2013	43
09/12/2013	31
07/28/2014	41
06/27/2013	23
05/07/2014	29
07/18/2013	24
11/03/2014	47
02/10/2014	18
09/14/2014	53
07/13/2014	44
07/05/2013	23
11/10/2014	46
05/12/2014	29
10/17/2014	51
12/23/2013	29
09/18/2014	45
03/09/2014	22
09/03/2013	31
10/01/2013	25
08/13/2014	46
05/11/2014	29
07/04/2013	24
04/04/2014	24
08/09/2014	45
07/25/2013	24
06/21/2013	22
01/21/2014	23
08/15/2014	49
10/29/2013	48
08/16/2013	29
08/23/2013	31
08/18/2014	49
11/27/2013	35
04/16/2014	28
11/09/2014	48
06/30/2014	41
03/14/2014	21
10/23/2014	53
10/16/2013	31
08/31/2014	51
07/14/2013	24
01/20/2014	23
02/07/2014	17
06/15/2014	37
03/23/2014	24
11/14/2013	42
09/02/2014	45
08/21/2014	46
12/08/2013	33
07/29/2013	24
09/27/2013	26
08/19/2014	53
05/06/2014	29
07/04/2014	41
08/20/2014	51
11/28/2013	34
11/02/2014	51
05/08/2014	30
06/16/2014	37
08/11/2014	46
07/27/2014	41
03/03/2014	20
07/05/2014	41
04/11/2014	29
09/22/2013	32
07/07/2014	38
07/25/2014	41
08/02/2014	41
09/23/2014	46
12/27/2013	33
08/05/2014	43
09/05/2014	46
10/24/2013	53
10/14/2013	31
01/17/2014	23
12/16/2013	31
03/05/2014	22
12/26/2013	31
02/16/2014	20
07/02/2013	24
01/12/2014	25
07/16/2014	37
04/13/2014	27
04/03/2014	24
06/06/2014	34
08/26/2014	46
07/01/2013	23
09/01/2013	32
10/15/2014	54
01/10/2014	24
08/29/2014	46
12/22/2013	31
11/04/2014	47
12/15/2013	31
11/16/2013	42
09/29/2014	49
10/22/2013	45
09/11/2014	45
11/10/2013	41
03/10/2014	22
05/28/2014	29
09/19/2013	32
10/17/2013	31
11/05/2014	48
10/31/2013	43
05/22/2014	29
08/10/2014	45
09/26/2013	26
08/14/2014	47
10/21/2013	46
05/13/2014	28
09/12/2014	45
09/06/2014	45
05/16/2014	28
07/19/2014	41
07/20/2014	41
06/29/2014	41
12/02/2013	31
07/17/2014	36
02/05/2014	17
01/16/2014	23
08/12/2013	26
07/09/2014	37
08/22/2014	46
04/01/2014	24
10/29/2014	40
04/18/2014	29
06/19/2014	39
09/17/2013	32
09/02/2013	32
08/24/2014	46
12/18/2013	29
04/25/2014	26
10/21/2014	68
01/19/2014	23
04/22/2014	26
09/25/2013	31
08/27/2014	46
07/03/2014	41
09/03/2014	45
03/12/2014	22
08/14/2013	28
09/13/2013	31
02/12/2014	20
10/04/2013	27
08/05/2013	27
02/26/2014	21
03/18/2014	23
06/24/2014	38
10/03/2013	26
09/04/2014	45
07/03/2013	23
09/20/2014	45
06/13/2014	35
02/11/2014	18
08/16/2014	49
01/23/2014	23
07/26/2013	24
09/29/2013	25
10/10/2014	51
06/30/2013	24
07/30/2013	24
04/02/2014	23
11/11/2013	36
10/28/2013	51
