Date	Average
09/08/2014	35
03/19/2014	20
11/18/2013	39
08/18/2013	25
09/20/2013	28
10/30/2014	35
07/21/2014	32
01/07/2014	21
11/01/2013	34
06/18/2014	31
07/29/2014	31
09/06/2013	28
10/25/2014	36
02/21/2014	16
12/31/2013	26
07/08/2014	30
08/29/2013	27
04/06/2014	24
03/17/2014	20
06/23/2014	31
02/09/2014	16
09/01/2014	36
09/17/2014	40
05/21/2014	25
07/15/2013	20
09/05/2013	28
02/04/2014	16
11/04/2013	40
10/22/2014	58
02/02/2014	17
12/24/2013	29
07/01/2014	31
11/24/2013	37
06/01/2014	26
06/09/2014	29
03/20/2014	20
01/26/2014	21
01/24/2014	21
07/06/2014	38
10/13/2013	21
09/09/2013	28
10/19/2014	49
09/16/2014	38
06/12/2014	30
12/29/2013	26
08/30/2013	28
03/13/2014	20
10/27/2013	47
07/10/2014	47
03/25/2014	21
08/07/2014	33
12/09/2013	29
07/11/2013	19
08/07/2013	24
08/04/2014	32
11/06/2014	44
09/30/2014	35
04/21/2014	24
12/03/2013	27
02/06/2014	16
10/08/2013	19
07/22/2013	20
01/29/2014	18
02/03/2014	15
06/19/2013	16
09/10/2013	28
05/20/2014	25
12/06/2013	29
05/05/2014	25
09/23/2013	29
09/08/2013	28
12/20/2013	26
08/13/2013	24
12/10/2013	29
08/01/2014	32
08/06/2013	23
11/21/2013	37
11/07/2014	46
06/16/2013	16
06/20/2013	16
04/10/2014	23
05/26/2014	25
07/09/2013	19
10/14/2014	47
03/06/2014	19
04/28/2014	21
11/20/2013	35
11/26/2013	35
10/08/2014	37
05/04/2014	25
05/02/2014	23
07/24/2014	41
07/11/2014	30
07/22/2014	30
09/24/2014	35
12/11/2013	30
10/26/2014	33
12/12/2013	29
09/11/2013	28
02/20/2014	16
08/27/2013	27
02/14/2014	17
02/17/2014	16
10/02/2013	20
01/13/2014	21
04/29/2014	22
01/06/2014	23
07/28/2013	21
09/22/2014	37
11/13/2013	34
11/01/2014	48
03/28/2014	20
02/13/2014	17
08/03/2014	31
08/02/2013	21
03/31/2014	21
11/29/2013	33
11/08/2014	43
05/23/2014	24
10/28/2014	35
03/24/2014	21
08/23/2014	41
09/13/2014	40
04/30/2014	21
10/31/2014	49
06/27/2014	31
06/25/2014	31
08/19/2013	25
06/03/2014	29
11/05/2013	39
08/01/2013	21
09/28/2014	36
08/17/2014	37
01/27/2014	21
10/24/2014	34
09/15/2014	39
10/12/2013	21
10/27/2014	35
08/15/2013	24
04/07/2014	24
01/14/2014	21
06/08/2014	30
08/25/2014	40
10/25/2013	49
12/13/2013	29
06/04/2014	28
10/20/2013	25
06/25/2013	18
11/07/2013	39
05/18/2014	24
09/24/2013	29
10/15/2013	21
03/11/2014	20
08/04/2013	21
01/28/2014	18
08/26/2013	28
03/26/2014	21
12/04/2013	27
10/10/2013	19
01/09/2014	21
07/16/2013	20
09/09/2014	36
03/07/2014	18
04/15/2014	24
10/30/2013	39
07/15/2014	31
06/26/2014	31
01/02/2014	24
06/28/2013	20
03/27/2014	21
07/21/2013	20
01/22/2014	20
10/23/2013	45
07/23/2014	31
09/21/2014	39
09/04/2013	27
03/21/2014	20
04/23/2014	24
04/27/2014	22
09/16/2013	29
01/03/2014	24
01/05/2014	23
11/03/2013	39
06/17/2014	34
08/06/2014	33
11/15/2013	40
01/08/2014	21
