Date	Average
09/08/2014	27
03/19/2014	29
11/18/2013	19
08/18/2013	29
09/20/2013	38
10/30/2014	33
07/21/2014	24
01/07/2014	17
11/01/2013	19
06/18/2014	23
07/29/2014	27
09/06/2013	38
10/25/2014	38
02/21/2014	27
12/31/2013	17
07/08/2014	23
08/29/2013	30
04/06/2014	30
03/17/2014	33
06/23/2014	21
02/09/2014	19
09/01/2014	29
09/17/2014	35
05/21/2014	22
07/15/2013	19
09/05/2013	38
02/04/2014	20
11/04/2013	19
10/22/2014	33
02/02/2014	21
12/24/2013	17
07/01/2014	21
11/24/2013	17
06/01/2014	23
06/09/2014	23
03/20/2014	28
01/26/2014	19
01/24/2014	20
07/06/2014	23
09/09/2013	38
10/19/2014	28
09/16/2014	34
06/12/2014	21
12/29/2013	16
08/30/2013	29
03/13/2014	32
10/27/2013	17
07/10/2014	23
03/25/2014	28
08/07/2014	25
12/09/2013	18
07/11/2013	19
08/07/2013	25
08/04/2014	23
11/06/2014	19
09/30/2014	28
04/21/2014	19
12/03/2013	18
02/06/2014	21
10/08/2013	18
07/22/2013	19
01/29/2014	21
02/03/2014	20
06/19/2013	19
09/10/2013	38
05/20/2014	22
12/06/2013	17
05/05/2014	22
09/23/2013	38
09/08/2013	38
12/20/2013	18
08/13/2013	25
12/10/2013	17
08/01/2014	25
08/06/2013	25
11/21/2013	17
11/07/2014	19
06/16/2013	19
06/20/2013	19
04/10/2014	24
05/26/2014	23
07/09/2013	19
10/14/2014	28
04/28/2014	24
11/20/2013	21
11/26/2013	17
10/08/2014	24
05/04/2014	24
05/02/2014	23
07/24/2014	23
07/11/2014	23
07/22/2014	23
09/24/2014	36
12/11/2013	15
12/12/2013	18
09/11/2013	38
02/20/2014	26
08/27/2013	29
02/14/2014	22
02/17/2014	25
10/02/2013	28
01/13/2014	17
04/29/2014	24
01/06/2014	17
07/28/2013	19
09/22/2014	35
11/13/2013	20
11/01/2014	19
03/28/2014	29
02/13/2014	24
08/03/2014	29
08/02/2013	19
03/31/2014	32
11/29/2013	16
11/08/2014	19
05/23/2014	21
10/28/2014	38
03/24/2014	33
09/13/2014	27
04/30/2014	24
10/31/2014	19
06/27/2014	23
06/25/2014	23
08/19/2013	29
06/03/2014	24
11/05/2013	19
08/01/2013	19
09/28/2014	35
08/17/2014	29
01/27/2014	20
10/24/2014	33
09/15/2014	34
10/12/2013	13
10/27/2014	35
08/15/2013	29
04/07/2014	30
01/14/2014	17
06/08/2014	21
10/25/2013	17
12/13/2013	16
06/04/2014	23
10/20/2013	18
06/25/2013	19
11/07/2013	19
05/18/2014	24
09/24/2013	38
03/11/2014	33
08/04/2013	19
01/28/2014	20
08/26/2013	31
03/26/2014	29
12/04/2013	17
10/10/2013	13
01/09/2014	17
07/16/2013	19
09/09/2014	27
03/07/2014	26
04/15/2014	20
10/30/2013	19
07/15/2014	23
06/26/2014	23
01/02/2014	17
06/28/2013	18
03/27/2014	29
07/21/2013	19
01/22/2014	19
10/23/2013	15
07/23/2014	24
09/04/2013	37
03/21/2014	28
04/23/2014	19
04/27/2014	19
09/16/2013	38
01/03/2014	17
01/05/2014	18
11/03/2013	19
06/17/2014	23
08/06/2014	25
11/15/2013	19
01/08/2014	17
04/17/2014	20
07/31/2014	29
09/15/2013	38
06/11/2014	23
06/10/2014	23
11/17/2013	20
12/01/2013	15
