Date	Average
03/19/2014	28
11/18/2013	37
01/07/2014	28
11/01/2013	43
02/21/2014	28
12/31/2013	27
04/06/2014	32
03/17/2014	28
02/09/2014	28
02/04/2014	28
11/04/2013	48
10/22/2014	38
02/02/2014	33
12/24/2013	28
11/24/2013	38
03/20/2014	28
01/26/2014	32
01/24/2014	28
10/19/2014	33
12/29/2013	28
03/13/2014	28
10/27/2013	48
03/25/2014	28
12/09/2013	28
11/06/2014	48
04/21/2014	33
12/03/2013	28
02/06/2014	28
10/08/2013	43
01/29/2014	28
02/03/2014	28
06/19/2013	38
05/20/2014	33
12/06/2013	28
05/05/2014	33
12/20/2013	28
12/10/2013	28
11/21/2013	38
11/07/2014	48
06/16/2013	38
06/20/2013	38
04/10/2014	33
03/06/2014	28
04/28/2014	33
11/20/2013	38
11/26/2013	28
05/04/2014	33
05/02/2014	33
12/11/2013	28
12/12/2013	28
02/20/2014	28
02/14/2014	28
02/17/2014	28
01/13/2014	28
04/29/2014	33
01/06/2014	28
11/13/2013	40
03/28/2014	28
02/13/2014	33
03/31/2014	26
11/29/2013	28
11/08/2014	48
10/28/2014	28
03/24/2014	28
04/30/2014	33
01/27/2014	29
10/24/2014	31
10/12/2013	43
04/07/2014	32
01/14/2014	28
10/25/2013	48
12/13/2013	28
10/20/2013	39
06/25/2013	43
11/07/2013	43
05/18/2014	33
03/11/2014	28
01/28/2014	28
03/26/2014	28
12/04/2013	28
10/10/2013	43
01/09/2014	28
02/08/2014	29
03/07/2014	28
04/15/2014	33
10/30/2013	38
01/02/2014	28
06/28/2013	38
03/27/2014	28
01/22/2014	28
03/21/2014	28
04/23/2014	33
04/27/2014	33
01/03/2014	28
01/05/2014	28
11/03/2013	43
11/15/2013	42
01/08/2014	28
04/17/2014	33
11/17/2013	37
12/01/2013	28
02/24/2014	28
12/19/2013	28
02/18/2014	28
11/25/2013	38
10/11/2013	43
04/20/2014	33
02/23/2014	28
05/15/2014	32
06/18/2013	38
10/07/2013	38
01/01/2014	28
02/25/2014	28
11/22/2013	33
05/19/2014	33
06/17/2013	38
10/20/2014	33
06/27/2013	38
05/07/2014	33
02/10/2014	28
11/10/2014	48
05/12/2014	33
12/23/2013	28
03/09/2014	28
05/11/2014	33
04/04/2014	34
06/21/2013	38
01/21/2014	28
10/29/2013	38
11/27/2013	28
04/16/2014	33
11/09/2014	33
03/14/2014	28
10/23/2014	35
10/16/2013	43
01/20/2014	28
02/07/2014	28
03/23/2014	28
11/14/2013	43
12/08/2013	28
05/06/2014	33
11/28/2013	28
05/08/2014	33
03/03/2014	28
04/11/2014	33
12/27/2013	28
10/24/2013	43
01/17/2014	28
12/16/2013	28
03/05/2014	28
12/26/2013	28
02/16/2014	27
01/12/2014	28
04/13/2014	28
04/03/2014	33
07/01/2013	48
01/10/2014	28
12/22/2013	28
12/15/2013	28
11/16/2013	37
11/10/2013	45
03/10/2014	28
11/05/2014	48
10/31/2013	38
05/22/2014	33
10/21/2013	43
05/13/2014	33
12/02/2013	28
02/05/2014	29
01/16/2014	28
08/12/2013	19
04/01/2014	28
04/18/2014	33
12/18/2013	28
04/25/2014	33
10/21/2014	33
01/19/2014	14
04/22/2014	33
03/12/2014	28
02/12/2014	33
02/26/2014	28
03/18/2014	28
02/11/2014	28
01/23/2014	33
06/30/2013	48
04/02/2014	32
11/11/2013	45
10/28/2013	58
04/09/2014	33
12/05/2013	29
05/09/2014	33
02/28/2014	28
06/26/2013	38
11/12/2013	40
10/09/2013	43
