Date	Average
09/08/2014	13
03/19/2014	11
11/18/2013	19
08/18/2013	28
09/20/2013	28
10/30/2014	28
07/21/2014	10
01/07/2014	16
11/01/2013	28
06/18/2014	32
07/29/2014	10
09/06/2013	38
10/25/2014	23
02/21/2014	11
12/31/2013	14
07/08/2014	20
08/29/2013	28
04/06/2014	23
03/17/2014	12
06/23/2014	32
02/09/2014	9
09/01/2014	14
09/17/2014	14
05/21/2014	22
07/15/2013	23
09/05/2013	28
02/04/2014	11
11/04/2013	28
10/22/2014	33
02/02/2014	13
12/24/2013	12
07/01/2014	32
11/24/2013	20
06/01/2014	28
06/09/2014	22
03/20/2014	11
01/26/2014	11
01/24/2014	11
07/06/2014	22
10/13/2013	53
09/09/2013	33
10/19/2014	20
09/16/2014	17
06/12/2014	28
12/29/2013	12
08/30/2013	33
03/13/2014	11
10/27/2013	38
07/10/2014	19
03/25/2014	9
08/07/2014	10
12/09/2013	13
07/11/2013	28
08/07/2013	19
08/04/2014	7
11/06/2014	20
09/30/2014	26
04/21/2014	18
12/03/2013	18
02/06/2014	10
10/08/2013	33
07/22/2013	23
01/29/2014	9
02/03/2014	13
06/19/2013	33
09/10/2013	33
05/20/2014	22
12/06/2013	18
05/05/2014	19
09/23/2013	33
09/08/2013	33
12/20/2013	18
08/13/2013	18
12/10/2013	14
08/01/2014	9
08/06/2013	18
11/21/2013	23
11/07/2014	20
06/16/2013	28
06/20/2013	30
04/10/2014	18
05/26/2014	28
07/09/2013	23
10/14/2014	27
03/06/2014	10
04/28/2014	18
11/20/2013	22
11/26/2013	14
10/08/2014	38
05/04/2014	22
05/02/2014	20
07/24/2014	14
07/11/2014	18
07/22/2014	7
09/24/2014	26
12/11/2013	15
10/26/2014	23
12/12/2013	17
09/11/2013	33
02/20/2014	10
08/27/2013	29
02/14/2014	10
02/17/2014	10
10/02/2013	33
01/13/2014	15
04/29/2014	17
01/06/2014	18
07/28/2013	16
09/22/2014	27
11/13/2013	24
11/01/2014	22
03/28/2014	13
02/13/2014	10
08/03/2014	9
08/02/2013	21
03/31/2014	17
11/29/2013	13
11/08/2014	20
05/23/2014	22
10/28/2014	28
03/24/2014	11
08/23/2014	18
09/13/2014	15
04/30/2014	22
10/31/2014	21
06/27/2014	34
06/25/2014	33
08/19/2013	28
06/03/2014	22
11/05/2013	28
08/01/2013	18
09/28/2014	21
08/17/2014	18
01/27/2014	12
10/24/2014	22
09/15/2014	16
10/12/2013	33
10/27/2014	33
08/15/2013	24
04/07/2014	20
01/14/2014	14
06/08/2014	28
08/25/2014	17
10/25/2013	43
12/13/2013	12
06/04/2014	23
10/20/2013	23
06/25/2013	23
11/07/2013	20
05/18/2014	20
09/24/2013	28
10/15/2013	55
03/11/2014	10
08/04/2013	18
01/28/2014	9
08/26/2013	28
03/26/2014	11
12/04/2013	16
10/10/2013	29
01/09/2014	14
07/16/2013	23
02/08/2014	10
09/09/2014	14
03/07/2014	12
04/15/2014	19
10/30/2013	28
07/15/2014	20
06/26/2014	32
01/02/2014	14
06/28/2013	28
03/27/2014	11
07/21/2013	23
01/22/2014	12
10/23/2013	43
07/23/2014	10
09/21/2014	23
09/04/2013	33
03/21/2014	11
04/23/2014	18
04/27/2014	17
09/16/2013	33
01/03/2014	14
01/05/2014	14
11/03/2013	33
06/17/2014	32
08/06/2014	9
11/15/2013	25
01/08/2014	15
04/17/2014	17
07/31/2014	13
09/15/2013	38
09/19/2014	20
06/11/2014	30
06/10/2014	28
11/17/2013	22
12/01/2013	18
08/25/2013	28
10/13/2014	27
02/24/2014	7
07/14/2014	19
12/19/2013	14
06/20/2014	33
02/18/2014	11
11/25/2013	18
07/19/2013	23
10/11/2013	35
07/30/2014	12
07/18/2014	19
05/25/2014	23
10/12/2014	38
07/12/2013	22
04/20/2014	19
02/23/2014	7
05/15/2014	24
08/08/2014	8
08/28/2014	17
08/12/2014	13
06/18/2013	33
05/27/2014	27
10/07/2013	30
07/02/2014	22
07/23/2013	20
01/01/2014	12
02/25/2014	9
11/22/2013	23
09/07/2014	10
05/19/2014	22
10/09/2014	32
09/30/2013	30
06/17/2013	33
10/16/2014	28
07/24/2013	23
07/10/2013	28
10/20/2014	20
05/30/2014	22
07/31/2013	18
11/06/2013	23
09/12/2013	38
07/28/2014	10
06/27/2013	23
05/07/2014	18
07/18/2013	23
11/03/2014	23
02/10/2014	9
09/14/2014	18
07/13/2014	16
07/05/2013	33
11/10/2014	17
05/12/2014	20
10/17/2014	33
12/23/2013	14
09/18/2014	18
03/09/2014	14
09/03/2013	38
10/01/2013	33
08/13/2014	11
05/11/2014	19
07/04/2013	28
04/04/2014	20
08/09/2014	8
07/25/2013	20
06/21/2013	28
01/21/2014	12
08/15/2014	11
10/29/2013	33
08/16/2013	28
08/23/2013	28
08/18/2014	17
11/27/2013	14
04/16/2014	18
11/09/2014	18
06/30/2014	30
03/14/2014	12
10/23/2014	30
10/16/2013	60
08/31/2014	14
07/14/2013	23
01/20/2014	12
02/07/2014	9
06/15/2014	32
03/23/2014	11
11/14/2013	23
09/02/2014	15
08/21/2014	14
12/08/2013	18
07/29/2013	16
09/27/2013	33
08/19/2014	12
05/06/2014	17
07/04/2014	20
08/20/2014	13
11/28/2013	18
11/02/2014	23
05/08/2014	17
06/16/2014	33
08/11/2014	12
07/27/2014	12
03/03/2014	13
07/05/2014	22
04/11/2014	17
09/22/2013	33
07/07/2014	20
07/25/2014	14
08/02/2014	9
09/23/2014	25
12/27/2013	13
08/05/2014	7
09/05/2014	10
10/24/2013	38
10/14/2013	48
01/17/2014	14
12/16/2013	17
03/05/2014	12
12/26/2013	12
02/16/2014	10
07/02/2013	33
01/12/2014	16
07/16/2014	19
04/13/2014	20
04/03/2014	18
06/06/2014	20
08/26/2014	14
07/01/2013	23
09/01/2013	28
10/15/2014	38
01/10/2014	16
08/29/2014	14
12/22/2013	14
11/04/2014	23
12/15/2013	16
11/16/2013	25
09/29/2014	26
10/22/2013	28
09/11/2014	14
11/10/2013	27
03/10/2014	10
05/28/2014	25
09/19/2013	33
10/17/2013	58
11/05/2014	23
10/31/2013	28
05/22/2014	20
08/10/2014	9
09/26/2013	33
08/14/2014	8
10/21/2013	23
05/13/2014	23
09/12/2014	14
09/06/2014	12
05/16/2014	22
07/19/2014	18
07/20/2014	19
06/29/2014	33
12/02/2013	18
07/17/2014	18
02/05/2014	10
01/16/2014	14
08/12/2013	21
07/09/2014	22
08/22/2014	15
04/01/2014	20
10/29/2014	29
04/18/2014	18
06/19/2014	32
09/17/2013	33
09/02/2013	33
08/24/2014	18
12/18/2013	13
04/25/2014	18
10/21/2014	21
04/22/2014	18
09/25/2013	33
08/27/2014	16
07/03/2014	22
09/03/2014	13
03/12/2014	11
08/14/2013	22
09/13/2013	33
02/12/2014	9
10/04/2013	28
08/05/2013	18
02/26/2014	9
03/18/2014	11
06/24/2014	33
10/03/2013	29
09/04/2014	12
07/03/2013	28
09/20/2014	23
06/13/2014	28
02/11/2014	11
08/16/2014	17
01/23/2014	12
07/26/2013	23
09/29/2013	29
10/10/2014	27
06/30/2013	28
07/30/2013	18
04/02/2014	20
11/11/2013	24
10/28/2013	33
09/26/2014	23
07/17/2013	23
07/12/2014	13
04/09/2014	20
12/05/2013	18
06/05/2014	23
10/06/2013	38
07/26/2014	13
05/09/2014	18
08/08/2013	23
02/28/2014	9
06/02/2014	24
09/10/2014	13
06/26/2013	23
11/12/2013	24
10/09/2013	33
