Date	Average
09/08/2014	95
03/19/2014	55
08/18/2013	75
09/20/2013	145
10/30/2014	95
07/21/2014	145
01/07/2014	155
11/01/2013	85
06/18/2014	55
07/29/2014	145
09/06/2013	75
02/21/2014	85
12/31/2013	155
08/29/2013	75
04/06/2014	85
03/17/2014	45
06/23/2014	55
02/09/2014	55
09/01/2014	95
09/17/2014	95
05/21/2014	48
07/15/2013	65
09/05/2013	75
02/04/2014	85
11/04/2013	85
10/22/2014	115
02/02/2014	145
12/24/2013	155
07/01/2014	55
11/24/2013	85
06/01/2014	53
06/09/2014	55
03/20/2014	45
01/26/2014	88
01/24/2014	85
09/09/2013	125
10/19/2014	105
09/16/2014	95
06/12/2014	55
12/29/2013	155
08/30/2013	65
03/13/2014	65
10/27/2013	95
03/25/2014	45
08/07/2014	95
12/09/2013	155
07/11/2013	65
08/07/2013	75
08/04/2014	95
11/06/2014	87
09/30/2014	95
04/21/2014	65
12/03/2013	190
02/06/2014	95
10/08/2013	145
07/22/2013	65
01/29/2014	85
02/03/2014	95
06/19/2013	75
09/10/2013	145
05/20/2014	57
12/06/2013	175
05/05/2014	63
09/23/2013	145
09/08/2013	95
12/20/2013	160
08/13/2013	75
12/10/2013	265
08/01/2014	145
08/06/2013	75
11/21/2013	85
11/07/2014	97
06/16/2013	75
06/20/2013	75
04/10/2014	55
05/26/2014	53
07/09/2013	65
10/14/2014	95
03/06/2014	85
04/28/2014	65
11/20/2013	190
10/08/2014	125
05/04/2014	65
05/02/2014	47
07/24/2014	145
07/22/2014	135
09/24/2014	95
12/11/2013	255
12/12/2013	255
09/11/2013	125
02/20/2014	85
08/27/2013	75
02/14/2014	55
02/17/2014	85
10/02/2013	145
01/13/2014	155
04/29/2014	55
01/06/2014	155
07/28/2013	65
09/22/2014	95
11/01/2014	95
03/28/2014	55
02/13/2014	55
08/03/2014	145
08/02/2013	75
03/31/2014	65
11/29/2013	190
11/08/2014	87
05/23/2014	55
10/28/2014	95
03/24/2014	45
08/23/2014	125
09/13/2014	95
04/30/2014	45
10/31/2014	95
06/27/2014	57
06/25/2014	55
08/19/2013	75
06/03/2014	55
08/01/2013	75
09/28/2014	95
08/17/2014	95
01/27/2014	85
10/24/2014	115
09/15/2014	95
10/27/2014	95
08/15/2013	75
04/07/2014	75
01/14/2014	155
06/08/2014	55
08/25/2014	145
10/25/2013	95
12/13/2013	255
06/04/2014	55
10/20/2013	135
06/25/2013	75
11/07/2013	95
05/18/2014	65
09/24/2013	145
03/11/2014	85
08/04/2013	75
01/28/2014	85
08/26/2013	65
03/26/2014	45
12/04/2013	175
10/10/2013	145
01/09/2014	155
07/16/2013	65
09/09/2014	95
03/07/2014	75
04/15/2014	75
10/30/2013	95
07/15/2014	165
06/26/2014	55
01/02/2014	155
06/28/2013	75
03/27/2014	58
07/21/2013	65
01/22/2014	85
10/23/2013	145
07/23/2014	145
09/21/2014	85
09/04/2013	65
03/21/2014	45
09/16/2013	145
01/03/2014	155
01/05/2014	155
11/03/2013	190
06/17/2014	55
08/06/2014	95
11/15/2013	225
01/08/2014	155
04/17/2014	75
07/31/2014	95
09/15/2013	145
09/19/2014	95
06/11/2014	55
06/10/2014	55
12/01/2013	165
08/25/2013	75
10/13/2014	105
02/24/2014	85
07/14/2014	175
12/19/2013	155
06/20/2014	55
02/18/2014	85
07/19/2013	65
10/11/2013	145
07/30/2014	155
07/18/2014	145
05/25/2014	55
10/12/2014	105
07/12/2013	65
04/20/2014	65
02/23/2014	85
05/15/2014	63
08/08/2014	95
08/28/2014	95
08/12/2014	95
06/18/2013	55
05/27/2014	53
10/07/2013	145
07/02/2014	55
07/23/2013	65
01/01/2014	155
02/25/2014	85
11/22/2013	95
09/07/2014	95
05/19/2014	57
10/09/2014	105
09/30/2013	145
06/17/2013	65
10/16/2014	97
07/24/2013	65
07/10/2013	65
10/20/2014	105
05/30/2014	57
07/31/2013	75
09/12/2013	145
07/28/2014	145
06/27/2013	75
05/07/2014	48
07/18/2013	65
11/03/2014	95
02/10/2014	65
09/14/2014	95
07/05/2013	65
11/10/2014	95
05/12/2014	65
10/17/2014	95
12/23/2013	155
09/18/2014	95
03/09/2014	85
09/03/2013	75
10/01/2013	145
08/13/2014	95
05/11/2014	77
07/04/2013	65
04/04/2014	75
08/09/2014	95
07/25/2013	65
06/21/2013	75
01/21/2014	95
10/29/2013	95
08/16/2013	75
08/23/2013	75
08/18/2014	95
04/16/2014	75
11/09/2014	87
06/30/2014	55
03/14/2014	85
10/23/2014	115
10/16/2013	145
08/31/2014	95
07/14/2013	65
01/20/2014	155
02/07/2014	95
06/15/2014	55
03/23/2014	48
09/02/2014	95
08/21/2014	125
12/08/2013	155
07/29/2013	75
09/27/2013	145
08/19/2014	105
05/06/2014	65
07/04/2014	75
08/20/2014	95
11/02/2014	95
05/08/2014	63
06/16/2014	55
08/11/2014	95
07/27/2014	145
03/03/2014	85
04/11/2014	75
09/22/2013	145
07/25/2014	145
08/02/2014	145
09/23/2014	95
12/27/2013	155
08/05/2014	95
09/05/2014	95
10/24/2013	145
01/17/2014	155
12/16/2013	160
03/05/2014	85
12/26/2013	125
02/16/2014	55
07/02/2013	75
01/12/2014	155
07/16/2014	125
04/13/2014	65
04/03/2014	78
06/06/2014	55
08/26/2014	95
07/01/2013	65
09/01/2013	75
01/10/2014	155
08/29/2014	95
12/22/2013	155
11/04/2014	95
12/15/2013	175
11/16/2013	175
