Date	Average
09/08/2014	33
11/18/2013	78
08/18/2013	33
09/20/2013	38
10/30/2014	48
07/21/2014	30
06/18/2014	25
07/29/2014	17
09/06/2013	38
07/08/2014	23
08/29/2013	23
04/06/2014	55
06/23/2014	21
09/01/2014	33
09/17/2014	36
05/21/2014	43
07/15/2013	33
09/05/2013	28
07/01/2014	20
06/01/2014	39
06/09/2014	32
07/06/2014	22
09/09/2013	28
09/16/2014	38
06/12/2014	28
08/30/2013	23
03/13/2014	115
07/10/2014	33
03/25/2014	85
08/07/2014	16
07/11/2013	28
08/07/2013	33
08/04/2014	18
11/06/2014	68
09/30/2014	57
04/21/2014	73
12/03/2013	75
10/08/2013	48
07/22/2013	23
06/19/2013	23
09/10/2013	33
05/20/2014	45
05/05/2014	38
09/23/2013	29
09/08/2013	33
08/13/2013	23
08/01/2014	22
08/06/2013	33
11/07/2014	70
06/16/2013	23
06/20/2013	23
04/10/2014	95
05/26/2014	30
07/09/2013	43
10/14/2014	47
04/28/2014	58
11/26/2013	75
10/08/2014	48
05/04/2014	42
05/02/2014	45
07/24/2014	26
07/11/2014	33
07/22/2014	27
09/24/2014	45
09/11/2013	33
08/27/2013	23
10/02/2013	23
04/29/2014	47
07/28/2013	28
09/22/2014	38
11/01/2014	67
03/28/2014	85
08/03/2014	17
08/02/2013	28
11/08/2014	58
05/23/2014	27
10/28/2014	58
03/24/2014	77
08/23/2014	23
09/13/2014	28
04/30/2014	48
10/31/2014	77
06/27/2014	18
06/25/2014	19
08/19/2013	38
06/03/2014	45
08/01/2013	23
09/28/2014	53
08/17/2014	13
09/15/2014	38
10/12/2013	44
08/15/2013	38
04/07/2014	55
06/08/2014	32
08/25/2014	23
10/25/2013	48
06/04/2014	43
06/25/2013	28
11/07/2013	105
05/18/2014	42
09/24/2013	28
08/04/2013	28
08/26/2013	28
03/26/2014	85
10/10/2013	33
07/16/2013	30
09/09/2014	33
03/07/2014	115
04/15/2014	67
10/30/2013	105
07/15/2014	28
06/26/2014	18
06/28/2013	28
03/27/2014	75
07/21/2013	28
07/23/2014	27
09/21/2014	39
09/04/2013	33
03/21/2014	85
04/23/2014	77
04/27/2014	60
09/16/2013	28
06/17/2014	21
08/06/2014	17
11/15/2013	78
04/17/2014	67
07/31/2014	23
09/15/2013	28
09/19/2014	39
06/11/2014	32
06/10/2014	32
11/17/2013	73
08/25/2013	28
10/13/2014	43
02/24/2014	115
07/14/2014	34
06/20/2014	33
07/19/2013	28
10/11/2013	43
07/30/2014	17
07/18/2014	38
05/25/2014	32
10/12/2014	47
07/12/2013	28
04/20/2014	97
02/23/2014	115
05/15/2014	37
08/08/2014	14
08/28/2014	33
08/12/2014	17
06/18/2013	23
05/27/2014	22
10/07/2013	39
07/02/2014	16
07/23/2013	23
02/25/2014	115
11/22/2013	78
09/07/2014	25
05/19/2014	48
10/09/2014	40
09/30/2013	38
06/17/2013	18
10/16/2014	47
07/24/2013	28
07/10/2013	38
05/30/2014	43
07/31/2013	23
09/12/2013	28
07/28/2014	20
06/27/2013	23
05/07/2014	32
07/18/2013	23
11/03/2014	58
09/14/2014	33
07/13/2014	31
07/05/2013	33
11/10/2014	58
05/12/2014	47
10/17/2014	48
09/18/2014	45
03/09/2014	115
09/03/2013	33
10/01/2013	33
08/13/2014	12
05/11/2014	37
07/04/2013	28
04/04/2014	63
08/09/2014	18
07/25/2013	28
06/21/2013	20
08/15/2014	10
08/16/2013	35
08/23/2013	30
08/18/2014	14
04/16/2014	68
11/09/2014	43
06/30/2014	18
03/14/2014	105
10/16/2013	48
08/31/2014	23
07/14/2013	28
06/15/2014	28
03/23/2014	75
09/02/2014	38
08/21/2014	15
07/29/2013	23
09/27/2013	38
08/19/2014	18
05/06/2014	33
07/04/2014	23
08/20/2014	23
11/02/2014	67
05/08/2014	43
06/16/2014	18
08/11/2014	14
07/27/2014	18
07/05/2014	28
04/11/2014	77
09/22/2013	38
07/07/2014	28
07/25/2014	22
08/02/2014	23
09/23/2014	47
08/05/2014	18
09/05/2014	35
10/24/2013	48
07/02/2013	28
07/16/2014	22
04/13/2014	55
04/03/2014	58
06/06/2014	34
08/26/2014	35
07/01/2013	23
09/01/2013	28
08/29/2014	29
11/04/2014	57
11/16/2013	75
09/29/2014	48
10/22/2013	39
09/11/2014	33
05/28/2014	58
09/19/2013	33
10/17/2013	43
05/22/2014	33
08/10/2014	18
09/26/2013	33
08/14/2014	10
05/13/2014	43
09/12/2014	28
09/06/2014	36
05/16/2014	46
07/19/2014	30
07/20/2014	31
08/12/2013	33
07/09/2014	38
08/22/2014	20
04/01/2014	63
04/18/2014	57
06/19/2014	36
09/17/2013	28
09/02/2013	23
08/24/2014	23
04/25/2014	65
04/22/2014	75
09/25/2013	33
08/27/2014	33
07/03/2014	47
09/03/2014	33
08/14/2013	28
09/13/2013	23
10/04/2013	33
08/05/2013	25
06/24/2014	18
10/03/2013	29
09/04/2014	35
07/03/2013	23
09/20/2014	39
06/13/2014	25
08/16/2014	18
07/26/2013	28
09/29/2013	38
10/10/2014	53
06/30/2013	28
07/30/2013	23
04/02/2014	63
09/26/2014	53
07/17/2013	28
07/12/2014	23
04/09/2014	58
06/05/2014	43
10/06/2013	38
07/26/2014	18
05/09/2014	48
08/08/2013	28
06/02/2014	42
09/10/2014	35
06/26/2013	23
10/09/2013	43
