Date	Average
09/08/2014	28
08/18/2013	31
09/20/2013	28
07/21/2014	29
06/18/2014	35
07/29/2014	22
09/06/2013	28
07/08/2014	27
08/29/2013	23
06/23/2014	29
09/17/2014	33
05/21/2014	58
07/15/2013	33
09/05/2013	23
07/01/2014	19
06/01/2014	47
06/09/2014	48
07/06/2014	19
09/09/2013	28
09/16/2014	28
06/12/2014	39
08/30/2013	23
03/13/2014	68
07/10/2014	22
08/07/2014	22
07/11/2013	38
08/07/2013	28
08/04/2014	23
09/30/2014	35
10/08/2013	28
07/22/2013	29
06/19/2013	28
09/10/2013	28
05/20/2014	53
05/05/2014	63
09/23/2013	28
09/08/2013	23
08/13/2013	28
08/01/2014	22
08/06/2013	29
06/16/2013	28
06/20/2013	33
05/26/2014	47
07/09/2013	33
10/14/2014	28
03/06/2014	68
10/08/2014	33
05/04/2014	65
05/02/2014	58
07/24/2014	29
07/11/2014	23
07/22/2014	28
09/24/2014	38
09/11/2013	28
08/27/2013	29
10/02/2013	23
07/28/2013	38
03/28/2014	58
08/03/2014	21
08/02/2013	28
05/23/2014	48
08/23/2014	23
09/13/2014	28
04/30/2014	58
06/27/2014	26
06/25/2014	28
08/19/2013	33
06/03/2014	48
08/01/2013	28
09/28/2014	38
08/17/2014	19
09/15/2014	28
10/12/2013	28
08/15/2013	38
06/08/2014	44
08/25/2014	19
06/04/2014	48
06/25/2013	33
05/18/2014	48
09/24/2013	28
08/04/2013	28
08/26/2013	32
10/10/2013	23
07/16/2013	33
09/09/2014	28
03/07/2014	68
07/15/2014	26
06/26/2014	29
06/28/2013	30
07/21/2013	29
07/23/2014	29
09/21/2014	43
09/04/2013	23
09/16/2013	28
06/17/2014	38
08/06/2014	22
07/31/2014	21
09/15/2013	28
09/19/2014	38
06/11/2014	41
06/10/2014	43
08/25/2013	28
10/13/2014	38
07/14/2014	29
06/20/2014	29
07/19/2013	30
10/11/2013	23
07/30/2014	21
07/18/2014	29
05/25/2014	48
10/12/2014	39
07/12/2013	38
05/15/2014	52
08/08/2014	22
08/28/2014	29
08/12/2014	19
06/18/2013	33
05/27/2014	43
10/07/2013	28
07/02/2014	19
07/23/2013	28
05/19/2014	48
10/09/2014	33
09/30/2013	22
06/17/2013	33
07/24/2013	28
07/10/2013	33
05/30/2014	48
07/31/2013	28
09/12/2013	23
07/28/2014	25
06/27/2013	38
05/07/2014	65
07/18/2013	33
07/13/2014	29
07/05/2013	38
05/12/2014	63
09/18/2014	28
03/09/2014	68
09/03/2013	23
10/01/2013	23
08/13/2014	19
05/11/2014	63
07/04/2013	31
08/09/2014	19
07/25/2013	19
06/21/2013	38
08/15/2014	19
08/16/2013	33
08/23/2013	29
08/18/2014	19
06/30/2014	23
03/14/2014	68
08/31/2014	39
07/14/2013	33
06/15/2014	38
09/02/2014	38
08/21/2014	19
07/29/2013	33
09/27/2013	21
08/19/2014	19
05/06/2014	53
07/04/2014	19
08/20/2014	19
05/08/2014	58
06/16/2014	38
08/11/2014	21
07/27/2014	28
03/03/2014	68
07/05/2014	19
09/22/2013	23
07/07/2014	20
07/25/2014	26
08/02/2014	23
09/23/2014	38
08/05/2014	20
09/05/2014	38
03/05/2014	68
07/02/2013	33
07/16/2014	22
06/06/2014	48
08/26/2014	29
07/01/2013	38
09/01/2013	23
08/29/2014	39
12/15/2013	195
09/29/2014	34
09/11/2014	28
03/10/2014	68
05/28/2014	57
09/19/2013	23
05/22/2014	48
08/10/2014	22
09/26/2013	23
08/14/2014	19
05/13/2014	47
09/12/2014	28
09/06/2014	38
05/16/2014	48
07/19/2014	28
07/20/2014	28
07/17/2014	29
08/12/2013	18
07/09/2014	22
08/22/2014	19
04/01/2014	59
06/19/2014	30
09/17/2013	28
09/02/2013	23
08/24/2014	23
09/25/2013	28
08/27/2014	38
07/03/2014	19
09/03/2014	33
08/14/2013	33
09/13/2013	28
10/04/2013	23
08/05/2013	29
02/26/2014	68
06/24/2014	27
10/03/2013	23
09/04/2014	29
07/03/2013	33
09/20/2014	43
06/13/2014	39
08/16/2014	21
07/26/2013	23
09/29/2013	23
10/10/2014	38
06/30/2013	29
07/30/2013	23
09/26/2014	38
07/17/2013	30
07/12/2014	29
06/05/2014	47
10/06/2013	28
07/26/2014	28
05/09/2014	67
08/08/2013	28
06/02/2014	58
09/10/2014	28
06/26/2013	33
10/09/2013	28
