Date	Average
09/08/2014	53
08/18/2013	53
09/20/2013	38
10/30/2014	48
07/21/2014	60
11/01/2013	53
06/18/2014	67
07/29/2014	57
09/06/2013	75
07/08/2014	37
08/29/2013	43
06/23/2014	55
09/01/2014	43
09/17/2014	42
07/15/2013	58
09/05/2013	65
07/01/2014	38
06/09/2014	67
07/06/2014	38
09/09/2013	75
09/16/2014	47
06/12/2014	67
08/30/2013	53
10/27/2013	53
07/10/2014	38
08/07/2014	48
07/11/2013	48
08/07/2013	53
08/04/2014	42
11/06/2014	45
09/30/2014	43
10/08/2013	48
07/22/2013	55
06/19/2013	58
09/10/2013	43
09/23/2013	38
09/08/2013	75
08/13/2013	58
08/01/2014	42
08/06/2013	53
11/07/2014	43
06/16/2013	65
06/20/2013	53
05/26/2014	117
10/14/2014	42
10/08/2014	48
07/24/2014	77
07/11/2014	37
07/22/2014	65
09/24/2014	43
09/11/2013	38
08/27/2013	48
10/02/2013	38
07/28/2013	53
09/22/2014	45
11/01/2014	48
08/03/2014	42
08/02/2013	53
11/08/2014	48
08/23/2014	55
09/13/2014	58
10/31/2014	48
06/27/2014	43
06/25/2014	47
08/19/2013	48
06/03/2014	93
08/01/2013	53
09/28/2014	48
08/17/2014	58
09/15/2014	53
08/15/2013	58
06/08/2014	87
08/25/2014	48
10/25/2013	53
10/20/2013	55
06/25/2013	53
09/24/2013	38
08/04/2013	53
08/26/2013	48
10/10/2013	43
07/16/2013	58
09/09/2014	55
10/30/2013	53
07/15/2014	38
06/26/2014	47
06/28/2013	43
07/21/2013	58
10/23/2013	48
07/23/2014	67
09/21/2014	48
09/04/2013	65
09/16/2013	38
11/03/2013	53
06/17/2014	67
08/06/2014	54
07/31/2014	48
09/15/2013	38
09/19/2014	45
06/11/2014	67
06/10/2014	73
08/25/2013	43
10/13/2014	43
07/14/2014	38
06/20/2014	67
07/19/2013	63
10/11/2013	43
07/30/2014	48
07/18/2014	53
10/12/2014	48
07/12/2013	58
08/08/2014	53
08/28/2014	58
08/12/2014	48
06/18/2013	58
10/07/2013	38
07/02/2014	38
07/23/2013	58
09/07/2014	41
10/09/2014	48
09/30/2013	38
06/17/2013	58
10/16/2014	48
07/24/2013	53
07/10/2013	48
05/30/2014	117
07/31/2013	48
09/12/2013	58
07/28/2014	67
06/27/2013	48
07/18/2013	58
11/03/2014	48
09/14/2014	43
07/13/2014	38
07/05/2013	43
10/17/2014	42
09/18/2014	43
09/03/2013	75
10/01/2013	38
08/13/2014	42
07/04/2013	38
08/09/2014	48
07/25/2013	58
06/21/2013	58
08/15/2014	58
10/29/2013	53
08/16/2013	53
08/23/2013	43
08/18/2014	58
06/30/2014	37
08/31/2014	38
07/14/2013	53
06/15/2014	67
09/02/2014	48
08/21/2014	47
07/29/2013	53
09/27/2013	38
08/19/2014	55
07/04/2014	38
08/20/2014	53
11/02/2014	68
06/16/2014	67
08/11/2014	48
07/27/2014	74
07/05/2014	38
09/22/2013	38
07/07/2014	42
07/25/2014	78
08/02/2014	43
09/23/2014	43
08/05/2014	43
09/05/2014	48
10/24/2013	48
07/02/2013	38
07/16/2014	38
06/06/2014	87
08/26/2014	58
07/01/2013	39
09/01/2013	58
08/29/2014	47
11/04/2014	43
09/29/2014	41
10/22/2013	48
09/11/2014	48
09/19/2013	38
11/05/2014	48
10/31/2013	58
09/26/2013	40
08/14/2014	47
10/21/2013	43
09/12/2014	58
09/06/2014	53
07/19/2014	53
07/20/2014	53
06/29/2014	43
07/17/2014	52
08/12/2013	33
07/09/2014	38
08/22/2014	43
10/29/2014	43
06/19/2014	65
09/17/2013	38
09/02/2013	58
08/24/2014	55
09/25/2013	33
08/27/2014	47
07/03/2014	43
09/03/2014	53
08/14/2013	58
09/13/2013	43
10/04/2013	38
08/05/2013	48
06/24/2014	48
10/03/2013	38
09/04/2014	48
07/03/2013	38
09/20/2014	48
06/13/2014	67
08/16/2014	53
07/26/2013	53
09/29/2013	38
10/10/2014	48
06/30/2013	43
07/30/2013	53
10/28/2013	53
09/26/2014	48
07/17/2013	58
07/12/2014	38
06/05/2014	93
10/06/2013	48
07/26/2014	74
08/08/2013	58
09/10/2014	53
06/26/2013	48
10/09/2013	48
