Date	Average
09/08/2014	48
08/18/2013	29
09/20/2013	33
07/21/2014	29
06/18/2014	38
07/29/2014	21
09/06/2013	38
07/08/2014	41
08/29/2013	29
06/23/2014	43
09/01/2014	42
05/21/2014	48
07/15/2013	33
09/05/2013	33
07/01/2014	43
06/01/2014	48
07/06/2014	23
09/09/2013	33
06/12/2014	48
08/30/2013	29
07/10/2014	42
08/07/2014	21
07/11/2013	43
08/07/2013	33
08/04/2014	21
09/30/2014	58
07/22/2013	23
06/19/2013	43
09/10/2013	38
05/20/2014	48
05/05/2014	38
09/23/2013	33
09/08/2013	33
08/13/2013	28
08/01/2014	21
08/06/2013	31
06/16/2013	48
06/20/2013	48
05/26/2014	29
07/09/2013	43
04/28/2014	53
05/04/2014	48
05/02/2014	48
07/24/2014	29
07/11/2014	43
07/22/2014	29
09/24/2014	48
09/11/2013	33
08/27/2013	28
04/29/2014	48
07/28/2013	23
09/22/2014	48
08/03/2014	21
08/02/2013	23
05/23/2014	29
08/23/2014	48
09/13/2014	42
04/30/2014	48
06/27/2014	38
06/25/2014	43
08/19/2013	33
06/03/2014	43
08/01/2013	23
09/28/2014	48
08/17/2014	21
09/15/2014	77
08/15/2013	33
08/25/2014	39
06/04/2014	43
06/25/2013	48
05/18/2014	48
09/24/2013	33
08/04/2013	23
08/26/2013	31
07/16/2013	33
09/09/2014	48
07/15/2014	39
06/26/2014	38
06/28/2013	43
07/21/2013	30
07/23/2014	29
09/21/2014	48
09/04/2013	33
04/27/2014	49
09/16/2013	33
06/17/2014	43
08/06/2014	21
07/31/2014	23
09/15/2013	38
09/19/2014	58
06/11/2014	48
06/10/2014	48
08/25/2013	28
07/14/2014	41
06/20/2014	43
07/19/2013	38
07/30/2014	23
07/18/2014	29
05/25/2014	47
07/12/2013	33
05/15/2014	47
08/08/2014	21
08/28/2014	39
08/12/2014	19
05/27/2014	33
07/02/2014	48
07/23/2013	23
05/19/2014	48
06/17/2013	48
07/24/2013	23
07/10/2013	43
05/30/2014	43
07/31/2013	28
09/12/2013	33
07/28/2014	22
06/27/2013	25
05/07/2014	47
07/18/2013	33
07/13/2014	43
05/12/2014	47
09/18/2014	58
08/13/2014	19
05/11/2014	47
07/04/2013	43
08/09/2014	21
07/25/2013	28
06/21/2013	48
08/15/2014	19
08/16/2013	33
08/23/2013	29
08/18/2014	26
06/30/2014	53
08/31/2014	39
07/14/2013	43
06/15/2014	49
09/02/2014	39
08/21/2014	38
07/29/2013	23
08/19/2014	38
05/06/2014	48
07/04/2014	48
08/20/2014	29
05/08/2014	48
06/16/2014	43
08/11/2014	18
07/27/2014	28
07/05/2014	43
09/22/2013	33
07/07/2014	39
07/25/2014	25
08/02/2014	23
09/23/2014	48
08/05/2014	21
09/05/2014	40
07/02/2013	43
07/16/2014	39
04/03/2014	58
08/26/2014	39
07/01/2013	43
09/01/2013	29
08/29/2014	41
09/29/2014	48
09/11/2014	47
05/28/2014	43
09/19/2013	33
05/22/2014	29
08/10/2014	22
08/14/2014	18
05/13/2014	48
09/12/2014	43
09/06/2014	48
05/16/2014	47
07/19/2014	29
07/20/2014	29
07/17/2014	39
07/09/2014	41
08/22/2014	39
06/19/2014	43
09/17/2013	38
08/24/2014	48
09/25/2013	33
08/27/2014	39
07/03/2014	47
09/03/2014	39
08/14/2013	28
09/13/2013	33
08/05/2013	23
06/24/2014	38
09/04/2014	39
07/03/2013	43
09/20/2014	48
06/13/2014	48
08/16/2014	29
07/26/2013	23
06/30/2013	43
07/30/2013	23
09/26/2014	48
07/17/2013	33
07/12/2014	43
06/05/2014	43
07/26/2014	28
05/09/2014	48
08/08/2013	33
06/02/2014	43
09/10/2014	43
06/26/2013	48
