Date	Average
09/08/2014	28
03/19/2014	18
08/18/2013	48
09/20/2013	23
10/30/2014	38
07/21/2014	58
01/07/2014	19
11/01/2013	39
06/18/2014	28
07/29/2014	38
09/06/2013	28
10/25/2014	43
02/21/2014	28
12/31/2013	23
07/08/2014	49
08/29/2013	38
04/06/2014	10
03/17/2014	19
06/23/2014	29
02/09/2014	18
09/01/2014	43
09/17/2014	27
05/21/2014	33
07/15/2013	38
09/05/2013	33
02/04/2014	11
11/04/2013	38
10/22/2014	28
02/02/2014	12
12/24/2013	29
07/01/2014	29
11/24/2013	43
06/01/2014	33
06/09/2014	29
03/20/2014	18
01/26/2014	20
01/24/2014	14
07/06/2014	48
10/13/2013	19
09/09/2013	28
10/19/2014	18
09/16/2014	27
06/12/2014	33
12/29/2013	29
08/30/2013	38
03/13/2014	20
10/27/2013	33
07/10/2014	48
03/25/2014	14
08/07/2014	28
12/09/2013	38
07/11/2013	53
08/07/2013	30
08/04/2014	27
11/06/2014	43
09/30/2014	33
04/21/2014	22
12/03/2013	43
02/06/2014	11
10/08/2013	18
07/22/2013	29
01/29/2014	15
02/03/2014	16
06/19/2013	18
09/10/2013	23
05/20/2014	33
12/06/2013	37
05/05/2014	23
09/23/2013	23
09/08/2013	23
12/20/2013	33
08/13/2013	33
12/10/2013	38
08/01/2014	38
08/06/2013	33
11/21/2013	48
11/07/2014	43
06/16/2013	33
06/20/2013	18
04/10/2014	11
05/26/2014	27
07/09/2013	33
10/14/2014	28
04/28/2014	23
11/26/2013	38
10/08/2014	32
05/04/2014	19
05/02/2014	22
07/24/2014	58
07/11/2014	53
07/22/2014	58
09/24/2014	28
12/11/2013	39
12/12/2013	38
09/11/2013	23
02/20/2014	22
08/27/2013	33
02/14/2014	14
02/17/2014	20
10/02/2013	18
01/13/2014	19
04/29/2014	23
01/06/2014	19
07/28/2013	33
09/22/2014	28
11/01/2014	41
03/28/2014	17
02/13/2014	22
08/03/2014	30
08/02/2013	31
03/31/2014	20
11/29/2013	38
11/08/2014	41
05/23/2014	33
10/28/2014	43
03/24/2014	14
08/23/2014	48
09/13/2014	28
04/30/2014	22
10/31/2014	40
06/27/2014	29
06/25/2014	28
08/19/2013	38
06/03/2014	33
