Date	Average
03/19/2014	190
01/07/2014	190
02/21/2014	195
03/17/2014	195
02/09/2014	225
03/20/2014	195
03/13/2014	195
03/25/2014	195
01/29/2014	325
04/10/2014	195
03/06/2014	195
02/20/2014	190
02/14/2014	195
02/17/2014	190
03/28/2014	195
02/13/2014	195
03/24/2014	195
03/11/2014	195
03/26/2014	195
01/09/2014	190
03/07/2014	195
04/15/2014	195
03/27/2014	195
03/21/2014	195
01/08/2014	190
02/24/2014	195
02/18/2014	190
02/23/2014	195
02/25/2014	195
02/10/2014	195
03/09/2014	195
04/16/2014	195
03/14/2014	195
03/23/2014	195
03/03/2014	195
04/11/2014	195
02/16/2014	190
04/13/2014	195
01/10/2014	190
03/10/2014	195
03/12/2014	195
02/12/2014	195
02/26/2014	195
03/18/2014	195
02/11/2014	190
04/09/2014	195
02/28/2014	195
