Date	Average
09/08/2014	65
03/19/2014	45
11/18/2013	110
08/18/2013	55
09/20/2013	55
07/21/2014	65
01/07/2014	95
11/01/2013	65
06/18/2014	55
07/29/2014	65
09/06/2013	55
02/21/2014	65
12/31/2013	95
08/29/2013	55
04/06/2014	68
03/17/2014	45
06/23/2014	55
02/09/2014	55
09/01/2014	65
09/17/2014	70
05/21/2014	45
07/15/2013	58
09/05/2013	55
02/04/2014	75
11/04/2013	65
10/22/2014	70
02/02/2014	85
12/24/2013	125
07/01/2014	55
11/24/2013	55
06/01/2014	57
06/09/2014	57
03/20/2014	45
01/26/2014	75
01/24/2014	85
10/13/2013	55
09/09/2013	55
10/19/2014	65
09/16/2014	75
06/12/2014	55
12/29/2013	105
08/30/2013	55
03/13/2014	75
10/27/2013	55
07/10/2014	65
03/25/2014	55
08/07/2014	67
12/09/2013	75
07/11/2013	58
08/07/2013	55
08/04/2014	65
09/30/2014	65
04/21/2014	45
12/03/2013	75
02/06/2014	55
10/08/2013	65
07/22/2013	58
01/29/2014	85
02/03/2014	55
06/19/2013	48
09/10/2013	55
05/20/2014	57
12/06/2013	65
05/05/2014	53
09/23/2013	55
09/08/2013	55
12/20/2013	85
08/13/2013	55
12/10/2013	75
08/01/2014	65
08/06/2013	55
11/21/2013	58
06/16/2013	38
06/20/2013	38
04/10/2014	55
05/26/2014	53
07/09/2013	58
10/14/2014	65
03/06/2014	85
04/28/2014	48
11/20/2013	125
11/26/2013	55
10/08/2014	65
05/04/2014	53
05/02/2014	45
07/24/2014	65
07/11/2014	65
07/22/2014	65
09/24/2014	65
12/12/2013	75
09/11/2013	55
02/20/2014	65
08/27/2013	55
02/14/2014	55
02/17/2014	65
10/02/2013	75
01/13/2014	85
04/29/2014	45
01/06/2014	95
07/28/2013	58
09/22/2014	65
03/28/2014	55
02/13/2014	57
08/03/2014	65
08/02/2013	55
03/31/2014	67
11/29/2013	65
05/23/2014	55
03/24/2014	45
08/23/2014	65
09/13/2014	65
04/30/2014	43
06/27/2014	55
06/25/2014	55
08/19/2013	55
06/03/2014	53
08/01/2013	55
09/28/2014	65
